n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,ms_blocks_total,ms_blocks_positive,ms_min_avg_trade,ms_mean_avg_trade,ms_min_n_trades,expected_avg_trade,passes_multisplit,passes_expectancy
192,61652.0,205358.0,143706.0,1.4290147940934965,0.6666666666666666,321.1041666666667,1604.359375,-2245.40625,18590.0,16475.0,0.1859,10,7,0.7,19.2,5.055689863905815,0.2633171804117612,11,0.03229416726140271,3.316406670252824,57.89398559657432,2.9515197465568797,2012-01-12 12:00:00,2021-05-12 22:00:00,BO,5,,,,,,,4000,2000,,125,78695.0,191136.0,112441.0,1.6998781583230316,0.768,629.56,1991.0,-3877.2758620689656,13951.0,10090.0,0.13951,5,4,0.8,25.0,6.957010852370434,0.27828043409481734,15,0.025300209670245887,5.64081427854634,22.1599212148167,6.679960652525502,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,144.84615384615384,614.5301132975552,39.0,157.39,True,True
263,39893.0,112208.0,72315.0,1.5516559496646616,0.5817490494296578,151.68441064638785,733.3856209150326,-657.4090909090909,11689.0,9609.0,0.11689,10,6,0.6,26.3,6.372597586541928,0.24230409074303907,11,0.0985385907302033,3.412866797844127,77.06131401499009,1.758294898971046,2012-01-12 12:00:00,2021-05-13 06:00:00,BO,5,,,,,,,4000,3000,,127,80202.0,173238.0,93036.0,1.8620533986843801,0.6535433070866141,631.511811023622,2087.2048192771085,-2114.4545454545455,15074.0,13598.0,0.15074,5,5,1.0,25.4,7.059745037889116,0.27794271802713055,15,0.03729333433081469,5.320551943744196,23.86970399740655,6.446242943278285,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,24.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,67.25,616.5118040873855,40.0,157.8779527559055,True,True
246,78081.0,161070.0,82989.0,1.9408596319994216,0.6504065040650406,317.4024390243902,1006.6875,-964.9883720930233,8827.0,6973.0,0.08827,10,8,0.8,24.6,5.9363288318623315,0.24131418015700534,11,0.024090367695085872,8.845700691061516,27.810120259730283,4.233924831790313,2012-01-12 12:00:00,2021-05-12 18:30:00,BO,5,,,,,,,4000,1500,,127,72777.0,150947.0,78170.0,1.9310093386209544,0.8031496062992126,573.0472440944882,1479.8725490196077,-3126.8,13456.0,11099.0,0.13456,5,4,0.8,25.4,7.059745037889116,0.27794271802713055,15,0.025296453549885266,5.408516646848989,23.481484534949228,6.191157979251386,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,425.125,568.6258809020436,40.0,143.26181102362204,True,True
175,51070.0,251551.0,200481.0,1.2547373566572393,0.5485714285714286,291.8285714285714,2620.3229166666665,-2537.73417721519,26105.0,20045.0,0.26105,10,6,0.6,17.5,4.2485291572496005,0.24277309469997718,10,0.09772860779322498,1.956330204941582,89.45320148815351,2.2636298246000464,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,5000,,116,97886.0,306543.0,208657.0,1.4691239690017588,0.5431034482758621,843.8448275862069,4865.761904761905,-3936.9245283018868,29366.0,22171.0,0.29366,5,5,1.0,23.2,6.04648658313239,0.26062442168674094,15,0.05098788386490407,3.3333106313423686,34.800237010399854,6.171342396097196,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,427.57142857142856,826.6965737514516,35.0,210.96120689655172,True,True
189,90109.0,240168.0,150059.0,1.600490473746993,0.6507936507936508,476.76719576719574,1952.5853658536585,-2273.621212121212,15074.0,12838.0,0.15074,10,7,0.7,18.9,5.048762224545735,0.2671302764309913,11,0.027644297461962734,5.977776303569059,31.61710816899533,4.866666177342329,2012-01-12 12:00:00,2021-05-13 10:30:00,BO,5,,,,,,,4000,2500,,124,98204.0,226681.0,128477.0,1.7643702763918834,0.7338709677419355,791.9677419354839,2491.0,-3893.242424242424,26093.0,23743.0,0.26093,5,5,1.0,24.8,7.138627319029899,0.2878478757673346,15,0.025365565557411103,3.7636147625800023,32.94704900004073,6.1444771329892856,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,-175.66666666666666,766.2417866371355,39.0,197.99193548387098,True,True
164,79704.0,270767.0,191063.0,1.4171608317675322,0.5304878048780488,486.0,3112.264367816092,-2481.3376623376626,26105.0,20045.0,0.26105,10,9,0.9,16.4,4.903060268852505,0.2989670895641771,10,0.0628073873331326,3.0532081976632828,53.71399176954733,3.7697614368951227,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,5000,,116,91321.0,307807.0,216486.0,1.4218332825217335,0.5344827586206896,787.25,4964.629032258064,-4009.0,25965.0,24297.0,0.25965,5,4,0.8,23.2,5.114684741017769,0.2204605491818004,16,0.0546533656004643,3.5170806855382244,32.981899015560494,6.122911085424389,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,460.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,354.6363636363636,780.3261562998405,33.0,196.8125,True,True
289,53364.0,169969.0,116605.0,1.4576476137386905,0.5674740484429066,184.65051903114187,1036.3963414634147,-932.84,12148.0,7519.0,0.12148,10,7,0.7,28.9,7.7517739905133975,0.2682274737201868,11,0.07478824675811409,4.392821863681265,65.78914624091148,2.0996049505451846,2012-01-12 11:30:00,2021-05-13 18:00:00,BO,5,,,,,,,4000,4000,,126,78006.0,219779.0,141773.0,1.550217601376849,0.5873015873015873,619.0952380952381,2969.9864864864867,-2726.403846153846,18891.0,14789.0,0.18891,5,5,1.0,25.2,5.192301994298868,0.20604372993249476,18,0.05116273107196882,4.129267905351755,30.51388354741943,5.6450713634124225,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,48.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,175.30555555555554,595.7957327688896,36.0,154.77380952380952,True,True
579,45309.0,263215.0,217906.0,1.2079291070461575,0.24179620034542315,78.25388601036269,1880.107142857143,-496.36902050113895,22685.0,21586.0,0.22685,10,7,0.7,57.9,15.423683088030561,0.26638485471555373,19,0.23661965613895694,1.9973109984571302,289.88975700192015,0.651142388961942,2012-01-13 02:00:00,2021-05-11 14:30:00,TF_M,5,,,,,,,500,10000,,201,115156.0,204740.0,89584.0,2.285452759421325,0.12437810945273632,572.9154228855722,8189.6,-509.0,16390.0,10689.0,0.1639,5,5,1.0,40.2,19.394844675841053,0.4824588227821157,14,0.08676056827260412,7.0259914582062235,28.608062107054774,5.608419411763961,True,True,True,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,493.910447761194,575.5858391194212,56.0,143.22885572139305,True,True
238,63548.0,190632.0,127084.0,1.50004721286708,0.5756302521008403,267.00840336134456,1391.4744525547446,-1258.2574257425742,14291.0,11244.0,0.14291,10,8,0.8,23.8,5.653317610041028,0.23753435336306838,10,0.0785390570907031,4.4467147155552444,53.52266003650783,2.7991944421871082,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,5000,,122,82467.0,257225.0,174758.0,1.4718925599972534,0.5327868852459017,675.9590163934427,3957.3076923076924,-3065.9298245614036,23034.0,21164.0,0.23034,5,5,1.0,24.4,6.343500610861482,0.259979533232028,15,0.06052117816823699,3.5802292263610314,34.07603041216486,5.5818110496009155,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,446.81081081081084,666.3468668003552,37.0,168.98975409836066,True,True
203,64548.0,214588.0,150040.0,1.4302052785923753,0.6551724137931034,317.9704433497537,1613.4436090225563,-2143.4285714285716,21687.0,21199.0,0.21687,10,7,0.7,20.3,4.859012245302536,0.23936020912820374,11,0.030845262440354466,2.9763452759717803,68.20445250046477,2.7059916968628674,2012-01-12 11:30:00,2021-05-12 22:00:00,BO,5,,,,,,,4000,2000,,127,70717.0,191136.0,120419.0,1.5872578247618732,0.7559055118110236,556.8267716535433,1991.0,-3884.483870967742,15969.0,12135.0,0.15969,5,4,0.8,25.4,5.4258639865002145,0.21361669238189823,18,0.02815447487874203,4.428392510489073,28.67857799397599,5.522308875366949,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,207.21621621621622,539.638128479791,37.0,139.20669291338584,True,True
