rank,engine,block,start,end,net_profit,avg_trade,n_trades
1,TF_M,1,2021-05-20,2022-09-21,55068.0,1147.25,48
1,TF_M,2,2022-09-21,2024-01-25,487.0,8.543859649122806,57
1,TF_M,3,2024-01-25,2025-05-30,30825.0,411.0,75
2,TF_M,1,2021-05-20,2022-09-21,51496.0,919.5714285714286,56
2,TF_M,2,2022-09-21,2024-01-25,24390.0,375.2307692307692,65
2,TF_M,3,2024-01-25,2025-05-30,15280.0,191.0,80
3,TF_M,1,2021-05-20,2022-09-21,39208.0,445.54545454545456,88
3,TF_M,2,2022-09-21,2024-01-25,8334.0,112.62162162162163,74
3,TF_M,3,2024-01-25,2025-05-30,62753.0,756.0602409638554,83
4,PC,1,2021-05-20,2022-09-21,29012.0,376.7792207792208,77
4,PC,2,2022-09-21,2024-01-25,69725.0,697.25,100
4,PC,3,2024-01-25,2025-05-30,55301.0,547.5346534653465,101
5,PC,1,2021-05-20,2022-09-21,7272.0,139.84615384615384,52
5,PC,2,2022-09-21,2024-01-25,37811.0,675.1964285714286,56
5,PC,3,2024-01-25,2025-05-30,22649.0,328.2463768115942,69
6,PC,1,2021-05-20,2022-09-21,6818.0,142.04166666666666,48
6,PC,2,2022-09-21,2024-01-25,47952.0,841.2631578947369,57
6,PC,3,2024-01-25,2025-05-30,14722.0,204.47222222222223,72
7,TF_M,1,2021-05-20,2022-09-21,68300.0,1366.0,50
7,TF_M,2,2022-09-21,2024-01-25,6174.0,96.46875,64
7,TF_M,3,2024-01-25,2025-05-30,10066.0,132.44736842105263,76
8,PC,1,2021-05-20,2022-09-21,18139.0,283.421875,64
8,PC,2,2022-09-21,2024-01-25,30392.0,453.6119402985075,67
8,PC,3,2024-01-25,2025-05-30,15967.0,238.3134328358209,67
9,TF_M,1,2021-05-20,2022-09-21,63264.0,1171.5555555555557,54
9,TF_M,2,2022-09-21,2024-01-25,25674.0,401.15625,64
9,TF_M,3,2024-01-25,2025-05-30,26798.0,343.56410256410254,78
10,TF_M,1,2021-05-20,2022-09-21,52764.0,977.1111111111111,54
10,TF_M,2,2022-09-21,2024-01-25,14138.0,207.91176470588235,68
10,TF_M,3,2024-01-25,2025-05-30,22548.0,289.0769230769231,78
