n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
221,40258.49999999994,77941.99999999996,37683.500000000015,2.0683322939748146,0.5113122171945701,182.16515837104046,689.7522123893801,-348.9212962962964,4387.500000000007,2880.999999999971,0.043875000000000074,10,8,0.8,22.1,6.6550732527899354,0.30113453632533643,12,0.15924587354223355,9.175726495726467,24.08528633704691,3.4466421747401013,2012-01-24 23:00:00,2021-05-06 11:30:00,VBO,7,,,,,,0.0,1750,10000,1000.0,134,38375.5000000002,87401.00000000012,49025.49999999991,1.7827661115134017,0.417910447761194,286.38432835821044,1560.732142857145,-628.5320512820501,8037.000000000029,6163.499999999971,0.08037000000000029,5,4,0.8,26.8,10.684568311354464,0.3986779220654651,6,0.21181482977420382,4.774853801169598,28.0636864666258,4.00351731787382,True,True,True,,,28.0,7.0,9.0,39.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,500.0,1.0,0.3,9.5,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,
221,40636.49999999992,83660.99999999997,43024.50000000003,1.9444967402294022,0.5384615384615384,183.87556561085935,703.0336134453779,-421.80882352941205,5633.000000000036,3643.5000000000073,0.056330000000000366,10,8,0.8,22.1,6.6550732527899354,0.30113453632533643,12,0.1577645712598283,7.214006745961239,30.63484798149473,3.070390354050675,2012-01-24 23:00:00,2021-05-06 11:30:00,VBO,7,,,,,,0.0,1750,10000,1000.0,134,38006.50000000022,92856.0000000001,54849.499999999876,1.6929233630206348,0.44776119402985076,283.630597014927,1547.6000000000017,-741.2094594594578,8762.499999999862,7385.499999999869,0.08762499999999862,5,4,0.8,26.8,10.684568311354464,0.3986779220654651,6,0.21387131148619193,4.337403708987255,30.894057595410647,3.7973314887024245,True,True,True,,,28.0,7.0,9.0,39.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,0.0,1.0,0.3,9.5,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,
221,49310.49999999992,104123.99999999991,54813.49999999999,1.8996050243097033,0.5610859728506787,223.1244343891399,839.7096774193541,-565.0876288659794,8609.999999999978,7275.999999999985,0.08609999999999979,10,8,0.8,22.1,6.6550732527899354,0.30113453632533643,12,0.1294044878879754,5.727119628339146,38.58833311363702,3.013595812951798,2012-01-24 23:00:00,2021-05-06 15:00:00,VBO,7,,,,,,0.0,1750,10000,2000.0,134,43960.000000000095,121485.00000000007,77524.99999999997,1.5670428893905206,0.4626865671641791,328.059701492538,1959.435483870969,-1076.7361111111106,16406.49999999992,14102.49999999992,0.1640649999999992,5,4,0.8,26.8,10.684568311354464,0.3986779220654651,6,0.1646610555050042,2.679425837320593,50.01071428571394,3.2098472146644665,True,True,True,,,28.0,7.0,9.0,39.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,1000.0,1.0,0.3,9.5,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,
197,58647.0,222607.0,163960.0,1.3576909002195658,0.5685279187817259,297.7005076142132,1987.5625,-1928.9411764705883,29432.0,20572.0,0.29432,10,7,0.7,19.7,3.7960505792204615,0.19269292280306913,10,0.12773031868637783,1.9926270725740691,98.86446024519583,2.174748974570362,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,7500,,110,131175.0,339380.0,208205.0,1.6300280973079417,0.5,1192.5,6170.545454545455,-3785.5454545454545,25784.0,23242.0,0.25784,5,5,1.0,22.0,5.366563145999495,0.2439346884545225,15,0.06145225843339051,5.087457337883959,21.621802935010482,9.307278050337686,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,184.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
216,47331.0,228514.0,181183.0,1.2612331178973746,0.5509259259259259,219.125,1920.2857142857142,-1867.8659793814434,29312.0,23404.0,0.29312,10,7,0.7,21.6,4.63033476111609,0.2143673500516708,10,0.1582683653419535,1.6147311681222707,133.76839703365658,1.6040158302773444,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,7500,,112,125417.0,341440.0,216023.0,1.5805724390458424,0.49107142857142855,1119.794642857143,6208.0,-3789.877192982456,24055.0,20693.0,0.24055,5,5,1.0,22.4,4.029888335921977,0.17990572928223114,17,0.06459251935543028,5.213760133028477,21.481617324605118,9.048470020941908,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,184.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
183,62733.0,238971.0,176238.0,1.3559561502059714,0.6065573770491803,342.8032786885246,2152.891891891892,-2447.75,15074.0,13758.0,0.15074,10,6,0.6,18.3,4.69148164229596,0.256365117065353,11,0.06266239459295746,4.1616690991110525,43.97274161924346,3.4992112223470393,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,3000,,122,109722.0,254235.0,144513.0,1.7592534927653567,0.6967213114754098,899.360655737705,2991.0,-3905.7567567567567,19593.0,17243.0,0.19593,5,5,1.0,24.4,6.770524351924302,0.27748050622640585,15,0.0272598020451687,5.600061246363497,21.785476021217256,8.052354057830229,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
579,45309.0,263215.0,217906.0,1.2079291070461575,0.24179620034542315,78.25388601036269,1880.107142857143,-496.36902050113895,22685.0,21586.0,0.22685,10,7,0.7,57.9,15.423683088030561,0.26638485471555373,19,0.23661965613895694,1.9973109984571302,289.88975700192015,0.651142388961942,2012-01-13 02:00:00,2021-05-11 14:30:00,TF_M,5,,,,,,,500,10000,,201,115156.0,204740.0,89584.0,2.285452759421325,0.12437810945273632,572.9154228855722,8189.6,-509.0,16390.0,10689.0,0.1639,5,5,1.0,40.2,19.394844675841053,0.4824588227821157,14,0.08676056827260412,7.0259914582062235,28.608062107054774,5.608419411763961,True,True,True,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,46278.0,239002.0,192724.0,1.2401257757207198,0.15894039735099338,102.15894039735099,3319.472222222222,-505.83727034120733,28375.0,27266.0,0.28375,10,6,0.6,45.3,10.798611021793496,0.23837993425592707,19,0.23166515406888802,1.630942731277533,277.75346817062103,0.7600600249892937,2012-01-13 02:00:00,2021-05-11 14:30:00,TF_M,5,,,,,,,500,10000,,195,128300.0,216357.0,88057.0,2.457010799822842,0.11282051282051282,657.9487179487179,9834.40909090909,-509.0,22405.0,14252.0,0.22405,5,5,1.0,39.0,18.676188047886004,0.47887661661246167,14,0.07787217459080281,5.726400357063156,34.052805923616525,5.508825527668145,True,True,True,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,460.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,76472.0,279496.0,203024.0,1.3766648278036093,0.25806451612903225,352.40552995391704,4991.0,-1261.0186335403728,19284.0,13939.0,0.19284,10,8,0.8,21.7,8.922443611477744,0.41117251665796056,9,0.06526571817135683,3.965567309686787,54.72104822680197,3.1804135884042966,2012-01-13 02:00:00,2021-05-10 16:00:00,TF_M,5,,,,,,,1250,5000,,196,115736.0,289478.0,173742.0,1.666137145882976,0.29591836734693877,590.4897959183673,4991.0,-1259.0,18320.0,15153.0,0.1832,5,5,1.0,39.2,19.3225257148231,0.49292157435773215,14,0.04312400635930048,6.317467248908297,31.025091587751433,5.467503999682356,True,True,True,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,47043.063507255974,234815.2864170521,187772.2229097961,1.2505326015651155,0.5064935064935064,122.18977534352202,1204.1809559848825,-988.2748574199795,16576.873598433423,14686.221965537341,0.16576873598433423,10,6,0.6,38.5,12.419742348374221,0.32259071034738235,17,0.21237987612050344,2.837873090357745,135.66498139332458,1.1893864878448182,2012-02-28 17:00:00,2021-05-13 22:00:00,RBB_M,6,,,,,,,2250,10000,,245,96259.35160167207,364343.15184871445,268083.8002470423,1.3590644101320857,0.45714285714285713,392.895312659886,3253.0638557920934,-2015.6676710303934,34628.65524568938,32101.568807971074,0.34628655245689377,5,4,0.8,49.0,19.60612149304395,0.4001249284294684,23,0.10379251297415193,2.779760025872058,88.13710454129557,2.64605264941974,True,False,False,,,55.0,19.0,28.0,23.0,4.0,17.0,-1.0,24.0,,,,,,,,,,,1.0,,,,,,,,,,,30.0,3.0,,,,,,,,,,,,,,,,,
