n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_intraday_only,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
174,204124.0,415104.0,210980.0,1.9675040288178973,0.5977011494252874,1173.1264367816093,3991.3846153846152,-3014.0,18616.0,12099.0,0.18616,10,10,1.0,17.4,11.749042514179614,0.6752323284011272,6,0.01974780035664596,10.964976364417705,15.868707256373575,10.775590623543787,2012-01-10 10:30:00,2021-05-03 17:30:00,TF_U,5,0,28,77,52,15,21,16,-1,3000,4000,0,216,37301.0,392363.0,355062.0,1.10505489182171,0.4537037037037037,172.6898148148148,4003.704081632653,-3009.0,59156.0,57360.0,0.59156,5,4,0.8,43.2,14.74313399518569,0.34127624988855765,22,0.14037157180772633,0.6305531138007979,342.556392590011,0.8898294407195587,False,False,False
160,182600.0,411113.0,228513.0,1.7990792646370228,0.64375,1141.25,3991.3883495145633,-4009.0,21100.0,16090.0,0.211,10,10,1.0,16.0,11.357816691600547,0.7098635432250342,5,0.022075575027382256,8.654028436018958,18.488499452354873,9.846434808787775,2012-01-10 10:30:00,2021-05-04 02:30:00,TF_U,5,0,28,77,52,15,21,16,-1,4000,4000,0,204,62549.0,440255.0,377706.0,1.165602346798833,0.5392156862745098,306.6127450980392,4002.318181818182,-4018.148936170213,42336.0,40486.0,0.42336,5,3,0.6,40.8,13.6,0.33333333333333337,21,0.08371037106908184,1.477442365835223,138.07645206158372,1.867560755192964,False,False,False
182,179532.0,391158.0,211626.0,1.8483456664114994,0.5384615384615384,986.4395604395604,3991.408163265306,-2519.3571428571427,19141.0,16081.0,0.19141,10,9,0.9,18.2,11.625833303466898,0.6387820496410384,6,0.02245282178107524,9.379447259808787,19.40412851190874,8.935680178927688,2012-01-10 10:30:00,2021-04-29 18:30:00,TF_U,5,0,28,77,52,15,21,16,-1,2500,4000,0,223,25288.0,359190.0,333902.0,1.075734796437278,0.40358744394618834,113.39910313901345,3991.0,-2510.5413533834585,53095.0,51425.0,0.53095,5,4,0.8,44.6,14.499655168313486,0.3251043759711544,22,0.1578218918063904,0.4762783689612958,468.21357956342933,0.6167685982103844,False,False,False
189,163084.0,278452.0,115368.0,2.4135982248110395,0.19576719576719576,862.8783068783068,7525.72972972973,-759.0,14811.0,12243.0,0.14811,10,10,1.0,18.9,11.12160060422959,0.588444476414264,6,0.053812759068946066,11.011005333873472,17.164645213509605,8.885805581565275,2012-01-10 10:30:00,2021-04-23 22:00:00,TF_U,5,0,28,77,52,15,21,16,-1,750,7500,0,215,26565.0,172293.0,145728.0,1.1822916666666667,0.10697674418604651,123.55813953488372,7491.0,-759.0,38664.0,30459.0,0.38664,5,4,0.8,43.0,15.270887335056859,0.35513691476876413,20,0.2819875776397516,0.6870732464307884,312.92151326933936,0.7875124279652412,False,False,False
185,169610.0,375194.0,205584.0,1.8250155654136508,0.5081081081081081,916.8108108108108,3991.425531914894,-2259.164835164835,17141.0,14081.0,0.17141,10,9,0.9,18.5,11.368817000902073,0.6145306486974094,7,0.023766287365131773,9.894988623767574,18.696332763398384,8.776090544235947,2012-01-10 10:30:00,2021-04-29 18:00:00,TF_U,5,0,28,77,52,15,21,16,-1,2250,4000,0,224,31029.0,343226.0,312197.0,1.0993891677370378,0.38392857142857145,138.52232142857142,3991.0,-2262.2971014492755,45345.0,43675.0,0.45345,5,4,0.8,44.8,14.358272876638054,0.32049716242495657,22,0.12862161204034936,0.6842871319880913,327.34796480711594,0.8152569408268252,False,False,False
216,177401.0,402562.0,225161.0,1.787885113318914,0.3101851851851852,821.300925925926,6008.388059701492,-1511.1476510067114,14553.0,12162.0,0.14553,10,8,0.8,21.6,17.408044117591157,0.805927968406998,5,0.04014069819223116,12.18999518999519,17.719449157558298,8.532287773955607,2012-01-10 22:30:00,2021-05-17 14:00:00,TF_U,5,0,4,139,37,115,22,3,-1,1500,6000,0,246,22191.0,317563.0,295372.0,1.075128989883943,0.21544715447154472,90.20731707317073,5991.754716981132,-1530.4248704663212,40320.0,34545.0,0.4032,5,4,0.8,49.2,10.943491216243562,0.22242868325698295,36,0.27177684646928935,0.5503720238095238,446.97039340273085,0.5630162782176182,False,False,False
205,175245.0,414544.0,239299.0,1.7323265036627817,0.33658536585365856,854.8536585365854,6007.884057971014,-1759.5514705882354,16288.0,14147.0,0.16288,10,8,0.8,20.5,17.235138525698016,0.8407384646681959,5,0.04063454021512739,10.759147838899803,19.05355359639362,8.394548475463536,2012-01-10 22:30:00,2021-05-17 16:00:00,TF_U,5,0,4,139,37,115,22,3,-1,1750,6000,0,238,27013.0,347518.0,320505.0,1.0842826164958426,0.24369747899159663,113.5,5991.689655172414,-1780.5833333333333,49361.0,45295.0,0.49361,5,4,0.8,47.6,11.377170122662314,0.2390161790475276,33,0.22326287343131085,0.5472539049046818,434.89867841409693,0.6402407811825904,False,False,False
227,203882.0,476609.0,272727.0,1.7475680809014142,0.7004405286343612,898.1585903083701,2997.5408805031448,-4010.6911764705883,17996.0,15259.0,0.17996,10,9,0.9,22.7,17.572990639046047,0.7741405567861696,6,0.019771240227190238,11.32929539897755,20.036550553751677,8.390821507617908,2012-01-10 10:30:00,2021-05-14 20:30:00,TF_U,5,0,28,78,37,7,21,15,-1,4000,3000,0,260,51905.0,468841.0,416936.0,1.1244915286758639,0.6,199.6346153846154,3005.391025641026,-4009.0,31328.0,28126.0,0.31328,5,4,0.8,52.0,15.139352694220449,0.29114139796577787,31,0.10087660148347943,1.6568245658835548,156.92669299682112,1.4135427886164473,False,False,False
179,186429.0,451023.0,264594.0,1.7045851379849883,0.6312849162011173,1041.5027932960893,3991.353982300885,-4009.0,24340.0,20171.0,0.2434,10,10,1.0,17.9,13.678084661238211,0.7641388078904029,5,0.02162217251607851,7.65936729663106,23.370076543885343,8.366418775140236,2012-01-10 10:30:00,2021-05-04 02:30:00,TF_U,6,0,152,77,52,15,21,16,-1,4000,4000,0,253,66108.0,540030.0,473922.0,1.1394913086963678,0.5335968379446641,261.29644268774706,4000.222222222222,-4016.2881355932204,51872.0,48882.0,0.51872,5,4,0.8,50.6,15.818975946628152,0.3126279831349437,31,0.07920372723422278,1.2744447871684146,198.51781932595145,1.437826380765256,False,False,False
191,172771.0,412070.0,239299.0,1.7219879732050698,0.2879581151832461,904.5602094240837,7492.181818181818,-1759.5514705882354,20067.0,17984.0,0.20067,10,8,0.8,19.1,15.680880077342598,0.8209884857247433,5,0.04373419150204606,8.609707479942193,22.184261247547333,8.002684608069277,2012-01-10 22:30:00,2021-05-17 16:00:00,TF_U,6,0,4,153,37,115,22,3,-1,1750,7500,0,255,19320.0,382041.0,362721.0,1.05326407900287,0.2,75.76470588235294,7491.0,-1778.0441176470588,71969.0,67148.0,0.71969,5,3,0.6,51.0,15.440207252495027,0.302749161813628,31,0.38773291925465836,0.268448915505287,949.901397515528,0.35394326639462503,False,False,False
