engine,famiglia,famiglia_capofila,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
TF_M,2.0,False,True,—,313.5506072874494,1.0012144799850193,313.5506072874494,77447.0,29186.0,247,1.335039237231677,394.957345971564,83336.0,19225.0,211,3.569903434059523,2.300169307832204,4.641182156906678,2.0,3.0,-175.62337662337663,5.399966076824544,0.8029649726104158,4.334772431729519,2.653566778592476,48.67614236344437,93.0822627086911,0.10869565217391304,3.7777777777777777,313.5506072874494,21.26342451874367,292.28718276870575,45.0,200.0,124.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,34860.24999999999,61220.0,True,True,True,True,True,True,,,,,,,2500,2000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,417.31868131868134,1.0012144799850193,417.31868131868134,75952.0,25501.0,182,1.3022243444351598,459.2080924855491,79443.0,19273.0,173,4.14547517920968,3.275130939529604,3.734741468451299,3.0,3.0,67.57534246575342,0.8908239284019037,0.465771929368224,4.121984122866186,2.978393004195914,41.97007917626475,61.106777965030545,0.14285714285714285,121.17857142857143,417.31868131868134,127.26820388349515,290.05047743518617,55.0,200.0,91.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,51176.6,83675.0,True,True,True,True,True,True,,,,,,,2500,4000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,2.0,False,True,—,432.7276422764228,1.0012144799850193,432.7276422764228,106451.0,29781.0,246,1.4855942486474651,329.59022556390977,87671.0,9854.0,266,4.161093664061051,3.142566286887895,3.5810586209878155,2.0,3.0,-39.93333333333333,5.539493163983189,0.6175898310755069,8.89699614369799,3.5744602263187937,29.897731290848743,68.82157988182355,0.15217391304347827,123.8078078078078,432.7276422764228,162.14427860696517,270.58336366945764,45.0,200.0,123.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,28501.05,37134.0,True,True,True,True,True,True,,,,,,,1500,4000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,48.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,357.33663366336634,1.0012144799850193,357.33663366336634,72182.0,19515.0,202,1.3663912125395923,261.09578544061304,68146.0,19962.0,261,2.3159932160511665,3.2057725874578984,3.5183348617922467,3.0,3.0,73.14285714285714,1.0477922107949276,0.5061614279986177,3.4137861937681593,3.6987957981040225,76.45470020250637,54.61236873458757,0.058823529411764705,64.36151650600463,357.33663366336634,59.088235294117645,298.2483983692487,50.0,200.0,101.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,41148.35,61321.0,True,True,True,True,True,True,,,,,,,1750,3000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,476.05263157894734,1.0012144799850193,476.05263157894734,90450.0,22775.0,190,1.498907863383638,229.51239669421489,83313.0,24591.0,363,1.834245660183225,3.953349628369529,3.296920835265034,3.0,3.0,150.4915254237288,0.9156966206879247,0.43394538997707577,3.3879468098084664,3.9714599341383097,107.14453926758128,47.841348811498065,0.03636363636363636,109.28181272509003,476.05263157894734,113.70734597156398,362.34528560738335,54.0,200.0,95.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,43069.0,69233.0,True,True,True,True,True,True,,,,,,,1250,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,322.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,364.13775510204084,1.0012144799850193,364.13775510204084,71371.0,20429.0,196,1.4504664285083124,276.16883116883116,106325.0,25496.0,385,2.1675947158680278,3.192872697757906,3.259301768909063,3.0,3.0,75.18032786885246,0.8506242000571088,0.4787027803728245,4.170262001882648,3.49361202212541,92.32033858452857,56.102394529991166,0.09433962264150944,125.84848484848484,364.13775510204084,130.8054919908467,233.33226311119415,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,38864.5,61714.0,True,True,True,True,True,True,,,,,,,1000,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,322.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,3.0,True,True,—,335.2105263157895,1.0012144799850193,335.2105263157895,57321.0,6123.0,171,2.6273279582103113,154.96995708154506,36108.0,4789.0,233,2.8064967344210565,5.368772054101955,3.2495762944977784,2.0,3.0,-9.784313725490197,0.9700314074902573,0.7413832187277917,7.5397786594278555,9.361587457128858,30.90276393043093,18.26613283089967,0.09259259259259259,151.6145251396648,335.2105263157895,159.98058252427185,175.22994379151763,53.0,200.0,86.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,7570.299999999997,12058.0,True,True,True,True,True,True,,,,,,,250,4000,,,,47.0,24.0,50.0,-36.0,9.0,19.0,-1.0,12.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,371.35885167464113,1.0012144799850193,371.35885167464113,77614.0,13570.0,209,2.5606136770353687,202.7098445595855,78246.0,15754.0,386,2.024038956312283,3.995243957385137,3.0952158996879997,3.0,3.0,322.1875,1.3399323132900367,0.4390060267987436,4.9667386060683,5.719528371407517,77.7169951179613,36.54147447625429,0.1,203.41847826086956,371.35885167464113,240.1013071895425,131.25754448509863,49.0,200.0,105.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,23574.0,33521.0,True,True,True,True,True,True,,,,,,,250,7500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,560.9444444444445,1.0012144799850193,560.9444444444445,100970.0,24766.0,180,1.397803158943972,182.44230769230768,47435.0,27450.0,260,1.3800468480896915,4.467158518738931,3.059255215533649,3.0,3.0,74.42465753424658,0.9864075093879546,0.4502303815723861,1.7280510018214936,4.07696034886538,150.45852218825763,44.15053976428642,0.07142857142857142,76.59753954305799,560.9444444444445,79.95646606914212,480.9879783753023,55.0,200.0,90.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,55902.84999999999,81718.0,True,True,True,True,True,True,,,,,,,2500,4500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,460.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,True,True,—,657.9487179487179,1.0012144799850193,657.9487179487179,128300.0,22405.0,195,2.457010799822842,102.15894039735099,46278.0,28375.0,453,0.7600600249892937,5.508825527668145,2.9178365039474263,3.0,3.0,431.2985074626866,1.0886505839393832,0.4168072092358797,1.630942731277533,5.726400357063156,277.75346817062103,34.052805923616525,0.03773584905660377,246.37206214837795,657.9487179487179,346.8040201005025,311.1446978482154,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,36471.999999999985,74823.0,True,True,True,True,True,True,,,,,,,500,10000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,460.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
