symbol,timeframe,engine,famiglia,famiglia_capofila,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
NQ,30m,TF_M,1.0,True,True,—,657.9487179487179,1.0012144799850193,657.9487179487179,128300.0,22405.0,195,2.457010799822842,102.15894039735099,46278.0,28375.0,453,0.7600600249892937,5.508825527668145,2.9178365039474263,3.0,3.0,431.2985074626866,1.0886505839393832,0.4168072092358797,1.630942731277533,5.726400357063156,277.75346817062103,34.052805923616525,0.03773584905660377,246.37206214837795,657.9487179487179,346.8040201005025,311.1446978482154,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,36471.999999999985,74823.0,True,True,True,True,True,True,,,,,,,500,10000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,460.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,590.4897959183673,1.0012144799850193,590.4897959183673,115736.0,18320.0,196,1.666137145882976,352.40552995391704,76472.0,19284.0,217,3.1804135884042966,5.467503999682356,4.774725747442216,3.0,3.0,343.56410256410254,1.178548073969547,0.8121818824274671,3.965567309686787,6.317467248908297,54.72104822680197,31.025091587751433,0.018867924528301886,115.04900425151041,590.4897959183673,76.51428571428572,513.9755102040816,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,35927.5,61871.0,True,True,True,True,True,True,,,,,,,1250,5000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,560.9444444444445,1.0012144799850193,560.9444444444445,100970.0,24766.0,180,1.397803158943972,182.44230769230768,47435.0,27450.0,260,1.3800468480896915,4.467158518738931,3.059255215533649,3.0,3.0,74.42465753424658,0.9864075093879546,0.4502303815723861,1.7280510018214936,4.07696034886538,150.45852218825763,44.15053976428642,0.07142857142857142,76.59753954305799,560.9444444444445,79.95646606914212,480.9879783753023,55.0,200.0,90.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,55902.84999999999,81718.0,True,True,True,True,True,True,,,,,,,2500,4500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,460.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,499.8292682926829,1.0012144799850193,499.8292682926829,102465.0,15004.0,205,2.1246172251429574,72.37080867850099,36692.0,23832.0,507,0.5875199623829972,5.1139632476915855,2.476416375577729,3.0,3.0,402.39240506329116,1.1013994410623216,0.457628706452868,1.5396106075864384,6.8291788856304985,329.30404447836037,30.018250134192165,0.04,180.27631578947367,499.8292682926829,266.77636152954807,233.05290676313484,49.0,200.0,103.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,33977.05,53422.0,True,True,True,True,True,True,,,,,,,500,7500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,322.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,479.8888888888889,1.0012144799850193,479.8888888888889,86380.0,28234.0,180,1.3836519329164298,744.0434782608696,119791.0,21167.0,161,6.409263198728077,3.5792656817503934,8.225393411422598,3.0,3.0,8.543859649122806,0.9045039182124425,0.4030220346764212,5.659328199555913,3.0594318906283204,28.448606322678664,58.834452419541556,0.03636363636363636,11.633971291866029,479.8888888888889,50.05612244897959,429.83276643990934,54.0,200.0,90.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,47008.6,74105.0,True,True,True,True,True,True,,,,,,,1750,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,476.05263157894734,1.0012144799850193,476.05263157894734,90450.0,22775.0,190,1.498907863383638,229.51239669421489,83313.0,24591.0,363,1.834245660183225,3.953349628369529,3.296920835265034,3.0,3.0,150.4915254237288,0.9156966206879247,0.43394538997707577,3.3879468098084664,3.9714599341383097,107.14453926758128,47.841348811498065,0.03636363636363636,109.28181272509003,476.05263157894734,113.70734597156398,362.34528560738335,54.0,200.0,95.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,43069.0,69233.0,True,True,True,True,True,True,,,,,,,1250,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,322.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,2.0,True,True,—,464.11475409836066,1.0012144799850193,464.11475409836066,113244.0,28296.0,244,1.5180586752549259,148.87593984962405,39601.0,21249.0,266,1.279955040362429,3.4578193344336987,2.275294115033946,3.0,3.0,37.891891891891895,4.518934807041034,0.7957971048056954,1.8636641724316438,4.002120441051739,142.7295775359208,60.967680406908975,0.0625,69.20689655172414,464.11475409836066,110.83543078412391,353.27932331423676,47.0,200.0,122.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,37627.05,51262.0,True,True,True,True,True,True,,,,,,,5000,3000,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,24.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,453.5621890547264,1.0012144799850193,453.5621890547264,91166.0,14592.0,201,1.5943295978304095,511.0,114975.0,17121.0,225,4.8943585706854895,4.705641953635346,6.740688165332005,3.0,3.0,191.0,0.945162530642905,0.6498121342096227,6.71543718240757,6.247669956140351,33.504892367906066,32.17199394511111,0.04,121.98003629764065,453.5621890547264,72.70353982300885,380.85864923171755,49.0,200.0,101.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,32560.699999999997,46817.0,True,True,True,True,True,True,,,,,,,1000,5000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,2.0,False,True,—,450.18367346938777,1.0012144799850193,450.18367346938777,110295.0,20996.0,245,1.5847316103379723,517.6037735849056,109732.0,10451.0,212,6.3453846987365345,3.8936858204525784,6.612019400837913,3.0,3.0,112.62162162162163,3.925796920308703,0.504716753498991,10.499665103817817,5.253143455896361,20.191120183720336,46.63874155673421,0.021739130434782608,55.245810055865924,450.18367346938777,54.18363273453094,396.00004073485684,45.0,200.0,123.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,24433.25,42493.0,True,True,True,True,True,True,,,,,,,1500,2500,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,30m,TF_M,1.0,False,True,—,447.25,1.0012144799850193,447.25,89450.0,16162.0,200,1.526284823345983,404.9782608695652,93145.0,14217.0,230,4.256642494180073,4.4090217882635265,4.740899667124778,3.0,3.0,207.91176470588235,0.9402683023599265,0.5235315695173658,6.5516635014419355,5.5345873035515405,35.10558806162435,36.13638904415875,0.11764705882352941,133.33338213524638,447.25,173.50802139037432,273.7419786096257,50.0,200.0,100.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,33990.25,50121.0,True,True,True,True,True,True,,,,,,,1250,4000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
