n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,ms_blocks_total,ms_blocks_positive,ms_min_avg_trade,ms_mean_avg_trade,ms_min_n_trades,expected_avg_trade,passes_multisplit,passes_expectancy,wf_mean_unger,wf_min_unger,wf_positive_folds,wf_total_folds,wf_positive_folds_oos,wf_total_folds_oos,plateau_ratio,plateau_min,plateau_neighbors,wf_efficiency_used,pattern_null_p,pattern_null_draws,pattern_null_valid_draws,pattern_null_p_lower,pattern_null_min_trades,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,passes_plateau,passes_null,passes_pattern_useful,passes_wfo,good,gate_reason,wfo_net_profit,wfo_max_dd,wfo_avg_trade,wfo_n_trades,wfo_positive_windows,wfo_total_windows,wfo_efficiency,wfo_measured,mc_dd_median,mc_dd_p95,mc_dd_worst,z_score,z_runs,z_n,z_interpretation
161,119791.0,311532.0,191741.0,1.6247542257524472,0.32298136645962733,744.0434782608696,5991.0,-1759.091743119266,21167.0,16162.0,0.21167,10,9,0.9,16.1,8.745856161634492,0.5432208796046268,5,0.05001210441518979,5.659328199555913,28.448606322678664,6.409263198728077,2012-01-13 02:00:00,2021-05-10 16:00:00,TF_M,5,,,,,,,1750,6000,,180,86380.0,311532.0,225152.0,1.3836519329164298,0.28888888888888886,479.8888888888889,5991.0,-1759.0,28234.0,26333.0,0.28234,5,3,0.6,36.0,17.561321134812154,0.4878144759670043,14,0.06935633248437138,3.0594318906283204,58.834452419541556,3.5792656817503934,True,True,True,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,8.543859649122806,522.264619883041,48.0,479.8888888888889,True,True,8.225393411422598,1.8082619129995658,5,5,1,1,0.9045039182124425,0.4030220346764212,8.0,1.0012144799850193,0.03636363636363636,200.0,54.0,0.015097032635116421,90.0,11.633971291866029,479.8888888888889,50.05612244897959,429.83276643990934,True,True,True,True,True,—,76960.0,15939.0,530.7586206896551,145.0,4.0,4.0,1.0012144799850193,True,30234.0,47008.6,74105.0,0.6318997903966876,150.0,341.0,indeterminato
212,109732.0,268202.0,158470.0,1.6924465198460277,0.5047169811320755,517.6037735849056,2506.5607476635514,-1509.2380952380952,10451.0,9581.0,0.10451,10,9,0.9,21.2,12.921300244170476,0.6094952945363432,6,0.03495789742281194,10.499665103817817,20.191120183720336,6.3453846987365345,2012-02-03 16:30:00,2021-05-19 10:30:00,TF_M,5,,,,,,,1500,2500,,245,110295.0,298920.0,188625.0,1.5847316103379723,0.4897959183673469,450.18367346938777,2491.0,-1509.0,20996.0,16288.0,0.20996,5,5,1.0,49.0,22.91724241700995,0.4676988248369377,23,0.022584885987578768,5.253143455896361,46.63874155673421,3.8936858204525784,True,True,True,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,112.62162162162163,438.0757723769772,74.0,450.18367346938777,True,True,6.612019400837913,3.916171469509277,5,5,1,1,3.925796920308703,0.504716753498991,7.0,1.0012144799850193,0.021739130434782608,200.0,45.0,0.006447766177576843,123.0,55.245810055865924,450.18367346938777,54.18363273453094,396.00004073485684,True,True,True,True,True,—,76960.0,15939.0,530.7586206896551,145.0,4.0,4.0,1.0012144799850193,True,15845.5,24433.25,42493.0,-0.1864034210618748,227.0,457.0,indeterminato
278,176308.0,307036.0,130728.0,2.348662872529221,0.4172661870503597,634.2014388489208,2646.862068965517,-806.9629629629629,14068.0,11427.0,0.14068,10,9,0.9,27.8,14.084033513166604,0.5066199105455613,7,0.056667876670372305,12.532556155814614,22.182226558068837,6.7011677563890375,2012-01-11 20:00:00,2021-05-07 16:00:00,PC,8,,,,,,1.0,2500,10000,2000.0,279,151529.0,334061.0,182532.0,1.8301503298051849,0.37992831541218636,543.1146953405018,3151.5188679245284,-1055.0982658959538,27120.0,19166.0,0.2712,5,4,0.8,55.8,19.742340286804904,0.35380538148395885,32,0.06593457357997479,5.587352507374631,49.93420401375314,4.133197502266419,True,True,True,,,55.0,8.0,-48.0,16.0,14.0,4.0,-1.0,0.0,,,,,,,,,50.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,376.7792207792208,540.5212914148558,77.0,201.51020239036856,True,True,6.568277006176106,2.8922866800390103,5,5,1,1,0.9333614875928117,0.4429532199810516,12.0,0.37102697481612645,0.125,200.0,15.0,0.05171808386137487,140.0,420.76510067114094,543.1146953405018,307.79060665362033,235.3240886868815,True,True,True,True,True,—,26340.0,10018.0,277.2631578947368,95.0,4.0,5.0,0.37102697481612645,True,16822.0,25384.449999999997,39954.0,0.0653597645791298,269.0,558.0,indeterminato
