n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1831,290941.0,935039.0,644098.0,1.45170300171713,0.5674494811578372,158.8973238667395,899.9412897016362,-813.2550505050505,17865.0,15456.0,0.17865,10,10,1.0,183.1,40.73929307192259,0.2224975044889273,66,0.02574748832237464,16.285530366638678,112.4310942768465,1.4898910786296111,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,2,7,14,14,1,2,152,103,104,141,4,2,2000,7500,700,71860.0,842557.0,770697.0,1.0932402747123708,0.39571428571428574,102.65714285714286,3041.7220216606497,-1821.9787234042553,40371.0,37328.0,0.40371,5,4,0.8,140.0,44.66318394382559,0.31902274245589707,63,0.10424436404119121,1.7799905873027668,393.2605065404954,0.6403152809533817,True,False,False
1831,296736.0,940834.0,644098.0,1.4607000798015208,0.5674494811578372,162.0622610595303,905.5187680461983,-813.2550505050505,18634.0,15456.0,0.18634,10,10,1.0,183.1,40.73929307192259,0.2224975044889273,66,0.033669659225709046,15.92443919716647,114.98050118623962,1.4878813332363154,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,2,7,14,14,1,2,152,103,104,141,4,2,2000,10000,700,60550.0,835265.0,774715.0,1.0781577741492032,0.39285714285714285,86.5,3037.327272727273,-1822.8588235294117,49620.0,44060.0,0.4962,5,4,0.8,140.0,44.66318394382559,0.31902274245589707,63,0.1650041288191577,1.220274083031036,573.6416184971098,0.48666170629530836,True,False,False
1831,294006.0,938104.0,644098.0,1.4564615943536543,0.5674494811578372,160.57127252867286,902.8912415784408,-813.2550505050505,18634.0,15456.0,0.18634,10,10,1.0,183.1,40.73929307192259,0.2224975044889273,66,0.03372720284620042,15.777932810990663,116.04815547982014,1.474192680562777,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,2,7,14,14,1,2,152,103,104,141,4,2,2000,0,700,56345.0,831060.0,774715.0,1.072729971667,0.39285714285714285,80.49285714285715,3022.0363636363636,-1822.8588235294117,49620.0,44060.0,0.4962,5,4,0.8,140.0,44.66318394382559,0.31902274245589707,63,0.29480876741503237,1.1355300282144296,616.4522140385127,0.4528646381702585,True,False,False
1979,324974.0,1102865.0,777891.0,1.4177628999435654,0.5634158665992925,164.21121778676098,989.1165919282511,-900.3368055555555,19621.0,17357.0,0.19621,10,10,1.0,197.9,35.012711977223354,0.1769212328308406,94,0.03074399798137697,16.56256052188981,119.48635583154345,1.4692026395334148,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,34,7,14,14,3,2,152,103,41,127,4,4,2250,10000,980,19895.0,1125671.0,1105776.0,1.0179918898583438,0.4142857142857143,20.301020408163264,2772.588669950739,-1926.439024390244,57913.0,56114.0,0.57913,5,2,0.4,196.0,61.31557713990793,0.3128345772444282,98,0.5021864790148278,0.3435325401895947,2852.7137471726564,0.10572295257698654,False,False,False
1980,324795.0,1103360.0,778565.0,1.417171334442211,0.5631313131313131,164.03787878787878,989.5605381165919,-900.0751445086705,19621.0,17357.0,0.19621,10,10,1.0,198.0,35.07990877981298,0.17717125646370194,94,0.023063778691174434,16.55343764334132,119.61261718930403,1.4676517703654965,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,34,7,14,14,3,2,152,103,41,127,4,4,2250,7500,981,47296.0,1146354.0,1099058.0,1.0430332157174598,0.4169215086646279,48.21202854230377,2802.8215158924204,-1921.43006993007,61462.0,59484.0,0.61462,5,2,0.4,196.2,61.447213118252975,0.3131866112041436,98,0.15838548714479025,0.7695161237838014,1274.8270889715832,0.24372018989768374,False,False,False
1831,281816.0,945838.0,664022.0,1.4244076250485678,0.5696340797378482,153.91370835608956,906.843720038351,-842.6675126903554,17374.0,15293.0,0.17374,10,10,1.0,183.1,40.73929307192259,0.2224975044889273,66,0.03545220995259318,16.220559456659377,112.88143327561247,1.4634127700948671,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,2,7,14,14,1,2,152,103,104,141,4,2,2250,10000,700,36880.0,859443.0,822563.0,1.0448354715687431,0.4114285714285714,52.68571428571428,2984.1770833333335,-1996.5121359223301,66156.0,61073.0,0.66156,5,3,0.6,140.0,44.66318394382559,0.31902274245589707,63,0.2709056399132321,0.5574702218997521,1255.6724511930586,0.25671290429569876,False,False,False
1992,342337.0,1098747.0,756410.0,1.4525812720614482,0.5607429718875502,171.8559236947791,983.6589077887198,-864.4685714285714,21801.0,19416.0,0.21801,10,10,1.0,199.2,35.241452864489,0.17691492401851908,95,0.029184692276908425,15.702811797623962,126.85626152008109,1.458699203896931,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,34,7,14,14,3,2,152,103,41,127,4,4,2000,10000,995,33815.0,1093680.0,1059865.0,1.0319050067697302,0.3969849246231156,33.984924623115575,2768.8101265822784,-1766.4416666666666,68043.0,66084.0,0.68043,5,3,0.6,199.0,63.56728718452597,0.31943360394234155,98,0.29546059441076444,0.49696515438766664,2002.1524471388439,0.1632803908679838,False,False,False
1993,342158.0,1099242.0,757084.0,1.4519419245420588,0.5604616156547918,171.67987957852483,984.1020590868397,-864.2511415525114,21801.0,19416.0,0.21801,10,10,1.0,199.3,35.30736467084452,0.17715687240764938,95,0.02189339427983563,15.69460116508417,126.9863425668843,1.4572049556527629,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,34,7,14,14,3,2,152,103,41,127,4,4,2000,7500,996,61681.0,1115578.0,1053897.0,1.058526592257118,0.39959839357429716,61.928714859437754,2802.959798994975,-1762.3695652173913,60648.0,58689.0,0.60648,5,3,0.6,199.2,63.68484906160962,0.31970305753820094,98,0.12144744735007539,1.0170327133623533,979.3195311360062,0.31515432594507375,False,False,False
1979,322244.0,1100135.0,777891.0,1.4142534108249099,0.5634158665992925,162.83173319858514,986.6681614349776,-900.3368055555555,19621.0,17357.0,0.19621,10,10,1.0,197.9,35.012711977223354,0.1769212328308406,94,0.030771713360062562,16.42342388257479,120.4986252653269,1.45686034997817,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,34,7,14,14,3,2,152,103,41,127,4,4,2250,0,979,7939.0,1113715.0,1105776.0,1.0071795734398288,0.4136874361593463,8.10929519918284,2749.9135802469136,-1926.439024390244,63020.0,59051.0,0.6302,5,2,0.4,195.8,61.18627297033216,0.31249373324990887,98,2.092329008691271,0.1259758806728023,7771.3288827308215,0.04048399454825567,False,False,False
1831,279086.0,943108.0,664022.0,1.420296315483523,0.5696340797378482,152.42271982523212,904.2262703739214,-842.6675126903554,17374.0,15293.0,0.17374,10,10,1.0,183.1,40.73929307192259,0.2224975044889273,66,0.03553026665615617,16.063428110970417,113.98563166909125,1.4492364392181285,2012-01-10 01:30:00,2021-05-20 08:00:00,BIAS,7,1,2,45,2,7,14,14,1,2,152,103,104,141,4,2,2250,0,700,32675.0,855238.0,822563.0,1.0397234011255065,0.4114285714285714,46.67857142857143,2969.5763888888887,-1996.5121359223301,65141.0,60058.0,0.65141,5,3,0.6,140.0,44.66318394382559,0.31902274245589707,63,0.5083703136954858,0.5016042124007921,1395.522570772762,0.22920801104683058,False,False,False
