# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@BTC,18,383553,0.01,1.00,1.00,1.27,2.11,3.87,35.11,100,100,127.44,211,387,3511,0
FTMOPLATFORM,@BTC,19,347000,0.01,1.00,1.00,1.22,1.90,3.58,34.89,100,100,122.17,190,358,3489,0
FTMOPLATFORM,@BTC,20,269147,0.01,1.00,1.00,1.29,2.17,3.98,34.51,100,100,129.17,217,398,3451,0
FTMOPLATFORM,@BTC,21,277052,0.01,1.00,1.00,1.53,2.93,5.37,32.61,100,100,153.50,293,537,3261,0
FTMOPLATFORM,@BTC,22,343973,0.01,-6.87,1.00,1.36,2.42,4.68,24.32,-687,100,136.49,242,468,2432,2
FTMOPLATFORM,@BTC,23,327956,0.01,1.00,1.00,1.35,2.39,4.40,36.55,100,100,135.35,239,440,3655,0
FTMOPLATFORM,@CC,0,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,1,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,2,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,3,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,4,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,5,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,6,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,7,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,8,7594,0.1,19.1,21.6,21.4,21.6,21.6,21.6,191,216,214.32,216,216,216,0
FTMOPLATFORM,@CC,9,34644,0.1,15.6,20.7,20.2,21.6,21.6,21.6,156,207,202.45,216,216,216,0
FTMOPLATFORM,@CC,10,26096,0.1,15.6,19.0,19.0,21.3,21.6,21.6,156,190,189.69,213,216,216,0
FTMOPLATFORM,@CC,11,29140,0.1,15.6,18.8,18.9,21.3,21.6,21.6,156,188,188.72,213,216,216,0
FTMOPLATFORM,@CC,12,42157,0.1,15.6,20.1,20.0,21.6,21.6,34.8,156,201,200.01,216,216,348,0
FTMOPLATFORM,@CC,13,43959,0.1,15.6,20.1,20.0,21.6,21.6,29.4,156,201,200.33,216,216,294,0
FTMOPLATFORM,@CC,14,45212,0.1,15.6,20.0,19.9,21.6,21.6,34.4,156,200,199.46,216,216,344,0
FTMOPLATFORM,@CC,15,51101,0.1,15.6,20.0,19.9,21.6,21.6,21.6,156,200,199.20,216,216,216,0
FTMOPLATFORM,@CC,16,16046,0.1,15.6,16.5,17.2,20.2,21.6,21.6,156,165,172.12,202,216,216,0
FTMOPLATFORM,@CC,17,6889,0.1,15.6,16.2,16.8,18.9,21.6,21.6,156,162,168.33,189,216,216,0
FTMOPLATFORM,@CC,18,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,19,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,20,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,21,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,22,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CC,23,0,0.1,,,,,,,,,,,,,0
FTMOPLATFORM,@CL,0,36705,0.001,0.068,0.068,0.069,0.068,0.088,0.148,68,68,69.43,68,88,148,0
FTMOPLATFORM,@CL,1,83733,0.001,0.068,0.068,0.074,0.088,0.088,0.088,68,68,73.62,88,88,88,0
FTMOPLATFORM,@CL,2,53827,0.001,0.068,0.068,0.070,0.068,0.088,0.088,68,68,69.76,68,88,88,0
FTMOPLATFORM,@CL,3,37405,0.001,0.068,0.068,0.068,0.068,0.088,0.088,68,68,68.43,68,88,88,0
FTMOPLATFORM,@CL,4,25622,0.001,0.068,0.068,0.069,0.068,0.088,0.088,68,68,69.13,68,88,88,0
FTMOPLATFORM,@CL,5,49971,0.001,0.068,0.068,0.069,0.068,0.088,0.088,68,68,69.07,68,88,88,0
FTMOPLATFORM,@CL,6,75602,0.001,0.068,0.068,0.071,0.088,0.088,0.088,68,68,71.17,88,88,88,0
FTMOPLATFORM,@CL,7,92130,0.001,0.068,0.068,0.076,0.088,0.088,0.088,68,68,75.78,88,88,88,0
FTMOPLATFORM,@CL,8,117150,0.001,0.068,0.088,0.080,0.088,0.088,0.088,68,88,80.48,88,88,88,0
FTMOPLATFORM,@CL,9,90951,0.001,0.068,0.068,0.075,0.088,0.088,0.088,68,68,74.69,88,88,88,0
FTMOPLATFORM,@CL,10,83925,0.001,0.068,0.068,0.073,0.088,0.088,0.148,68,68,73.48,88,88,148,0
FTMOPLATFORM,@CL,11,86065,0.001,0.068,0.068,0.075,0.088,0.088,0.088,68,68,75.04,88,88,88,0
FTMOPLATFORM,@CL,12,107085,0.001,0.068,0.069,0.077,0.088,0.088,0.154,68,69,77.20,88,88,154,0
FTMOPLATFORM,@CL,13,153043,0.001,0.068,0.088,0.082,0.088,0.088,0.112,68,88,82.05,88,88,112,0
FTMOPLATFORM,@CL,14,142040,0.001,0.068,0.085,0.080,0.088,0.088,0.148,68,85,79.54,88,88,148,0
FTMOPLATFORM,@CL,15,145165,0.001,0.068,0.088,0.080,0.088,0.088,0.148,68,88,79.69,88,88,148,0
FTMOPLATFORM,@CL,16,97340,0.001,0.068,0.068,0.074,0.088,0.088,0.138,68,68,73.54,88,88,138,0
FTMOPLATFORM,@CL,17,88869,0.001,0.068,0.068,0.072,0.088,0.088,0.088,68,68,72.40,88,88,88,0
FTMOPLATFORM,@CL,18,87971,0.001,0.068,0.068,0.074,0.088,0.088,0.088,68,68,74.44,88,88,88,0
FTMOPLATFORM,@CL,19,45818,0.001,0.068,0.068,0.071,0.088,0.088,0.088,68,68,71.41,88,88,88,0
FTMOPLATFORM,@CL,20,31530,0.001,0.068,0.071,0.075,0.091,0.091,0.105,68,71,75.47,91,91,105,0
FTMOPLATFORM,@CL,21,0,0.001,,,,,,,,,,,,,0
FTMOPLATFORM,@CL,22,13671,0.001,0.071,0.071,0.077,0.091,0.091,0.091,71,71,77.21,91,91,91,0
FTMOPLATFORM,@CL,23,10266,0.001,0.068,0.068,0.069,0.068,0.088,0.128,68,68,68.69,68,88,128,0
FTMOPLATFORM,@CT,0,0,0.01,,,,,,,,,,,,,0
FTMOPLATFORM,@CT,1,11267,0.01,0.35,0.45,0.43,0.45,0.45,0.50,35,45,43.09,45,45,50,0
FTMOPLATFORM,@CT,2,9014,0.01,0.35,0.42,0.41,0.45,0.45,0.48,35,42,41.08,45,45,48,0
