# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@NIY,0,190256,0.01,10.00,10.00,11.35,15.54,26.54,36.54,1000,1000,1135.37,1554,2654,3654,0
FTMO,@NIY,1,138024,0.01,10.00,10.00,10.72,11.54,24.54,35.54,1000,1000,1071.92,1154,2454,3554,0
FTMO,@NIY,2,80561,0.01,10.00,10.00,10.42,10.54,19.54,29.54,1000,1000,1042.02,1054,1954,2954,0
FTMO,@NIY,3,76709,0.01,10.00,10.00,10.54,10.54,19.54,34.54,1000,1000,1053.53,1054,1954,3454,0
FTMO,@NIY,4,70441,0.01,10.00,10.00,10.68,10.00,24.54,29.54,1000,1000,1067.93,1000,2454,2954,0
FTMO,@NIY,5,83453,0.01,10.00,10.00,10.67,10.00,19.54,29.54,1000,1000,1066.86,1000,1954,2954,0
FTMO,@NIY,6,68949,0.01,10.00,10.00,10.46,10.54,19.54,30.54,1000,1000,1046.45,1054,1954,3054,0
FTMO,@NIY,7,45185,0.01,10.00,10.00,10.05,10.00,11.54,26.54,1000,1000,1005.30,1000,1154,2654,0
FTMO,@NIY,8,92648,0.01,10.00,10.00,10.06,10.00,10.54,25.54,1000,1000,1006.42,1000,1054,2554,0
FTMO,@NIY,9,69810,0.01,10.00,10.00,10.04,10.00,10.54,24.54,1000,1000,1003.79,1000,1054,2454,0
FTMO,@NIY,10,55631,0.01,10.00,10.00,10.04,10.00,10.00,25.54,1000,1000,1004.46,1000,1000,2554,0
FTMO,@NIY,11,65300,0.01,10.00,10.00,10.01,10.00,10.00,25.54,1000,1000,1001.25,1000,1000,2554,0
FTMO,@NIY,12,85052,0.01,10.00,10.00,10.03,10.00,10.00,34.70,1000,1000,1002.82,1000,1000,3470,0
FTMO,@NIY,13,136402,0.01,10.00,10.00,10.00,10.00,10.00,27.14,1000,1000,1000.21,1000,1000,2714,0
FTMO,@NIY,14,143217,0.01,10.00,10.00,10.01,10.00,10.00,32.06,1000,1000,1000.77,1000,1000,3206,0
FTMO,@NIY,15,104397,0.01,10.00,10.00,10.00,10.00,10.00,20.54,1000,1000,1000.34,1000,1000,2054,0
FTMO,@NIY,16,69786,0.01,10.00,10.00,10.00,10.00,10.00,10.00,1000,1000,1000.00,1000,1000,1000,0
FTMO,@NIY,17,55178,0.01,10.00,10.00,10.00,10.00,10.00,33.64,1000,1000,1000.45,1000,1000,3364,0
FTMO,@NIY,18,56927,0.01,10.00,10.00,10.04,10.00,10.00,34.64,1000,1000,1004.18,1000,1000,3464,0
FTMO,@NIY,19,57598,0.01,10.00,10.00,10.00,10.00,10.00,10.00,1000,1000,1000.00,1000,1000,1000,0
FTMO,@NIY,20,14439,0.01,10.00,10.00,10.07,10.00,14.11,24.11,1000,1000,1007.07,1000,1411,2411,0
FTMO,@NIY,21,0,0.01,,,,,,,,,,,,,0
FTMO,@NIY,22,6012,0.01,10.00,16.11,16.62,26.11,27.81,27.81,1000,1611,1661.57,2611,2781,2781,0
FTMO,@NIY,23,33068,0.01,10.00,11.54,13.86,20.54,29.54,50.54,1000,1154,1385.74,2054,2954,5054,0
