# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@SOL,0,41402,0.01,0.03,0.03,0.03,0.03,0.04,0.87,3,3,3.09,3,4,87,0
FTMO,@SOL,1,45361,0.01,0.03,0.03,0.03,0.03,0.04,0.18,3,3,3.09,3,4,18,0
FTMO,@SOL,2,38343,0.01,0.03,0.03,0.03,0.03,0.04,0.61,3,3,3.08,3,4,61,0
FTMO,@SOL,3,32718,0.01,0.03,0.03,0.03,0.03,0.04,0.19,3,3,3.07,3,4,19,0
FTMO,@SOL,4,27429,0.01,0.03,0.03,0.03,0.03,0.04,0.16,3,3,3.06,3,4,16,0
FTMO,@SOL,5,29855,0.01,0.03,0.03,0.03,0.03,0.04,0.12,3,3,3.05,3,4,12,0
FTMO,@SOL,6,24129,0.01,0.03,0.03,0.03,0.03,0.04,0.09,3,3,3.04,3,4,9,0
FTMO,@SOL,7,26398,0.01,0.03,0.03,0.03,0.03,0.04,0.13,3,3,3.05,3,4,13,0
FTMO,@SOL,8,38765,0.01,0.02,0.03,0.03,0.03,0.04,0.25,2,3,3.06,3,4,25,0
FTMO,@SOL,9,35552,0.01,0.03,0.03,0.03,0.03,0.04,0.20,3,3,3.06,3,4,20,0
FTMO,@SOL,10,27017,0.01,0.02,0.03,0.03,0.03,0.04,0.15,2,3,3.05,3,4,15,0
FTMO,@SOL,11,27886,0.01,0.03,0.03,0.03,0.03,0.04,0.16,3,3,3.04,3,4,16,0
FTMO,@SOL,12,50127,0.01,0.03,0.03,0.03,0.03,0.06,0.39,3,3,3.15,3,6,39,0
FTMO,@SOL,13,80014,0.01,0.02,0.03,0.03,0.03,0.04,0.21,2,3,3.07,3,4,21,0
FTMO,@SOL,14,92719,0.01,0.02,0.03,0.03,0.03,0.04,0.30,2,3,3.06,3,4,30,0
FTMO,@SOL,15,69730,0.01,0.02,0.03,0.03,0.03,0.04,0.11,2,3,3.07,3,4,11,0
FTMO,@SOL,16,60320,0.01,0.03,0.03,0.03,0.03,0.04,0.23,3,3,3.08,3,4,23,0
FTMO,@SOL,17,45187,0.01,0.02,0.03,0.03,0.03,0.04,0.14,2,3,3.08,3,4,14,0
FTMO,@SOL,18,54662,0.01,0.03,0.03,0.03,0.03,0.05,0.25,3,3,3.11,3,5,25,0
FTMO,@SOL,19,41779,0.01,0.03,0.03,0.03,0.03,0.04,0.24,3,3,3.07,3,4,24,0
FTMO,@SOL,20,29958,0.01,0.03,0.03,0.03,0.03,0.04,0.30,3,3,3.06,3,4,30,0
FTMO,@SOL,21,22995,0.01,0.03,0.03,0.03,0.03,0.04,0.14,3,3,3.08,3,4,14,0
FTMO,@SOL,22,34868,0.01,0.03,0.03,0.03,0.03,0.04,0.28,3,3,3.05,3,4,28,0
FTMO,@SOL,23,30829,0.01,0.03,0.03,0.03,0.03,0.04,0.14,3,3,3.07,3,4,14,0
