# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@S,0,10833,0.01,2.04,2.20,2.17,2.20,2.20,2.20,204,220,216.56,220,220,220,0
FTMO,@S,1,21243,0.01,2.04,2.20,2.20,2.20,2.20,2.20,204,220,219.67,220,220,220,0
FTMO,@S,2,13522,0.01,2.04,2.20,2.17,2.20,2.20,2.20,204,220,217.43,220,220,220,0
FTMO,@S,3,9302,0.01,2.04,2.20,2.14,2.20,2.20,2.20,204,220,214.23,220,220,220,0
FTMO,@S,4,3584,0.01,2.04,2.04,2.06,2.12,2.20,2.20,204,204,205.68,212,220,220,0
FTMO,@S,5,10130,0.01,2.04,2.20,2.15,2.20,2.20,2.20,204,220,214.92,220,220,220,0
FTMO,@S,6,13978,0.01,2.04,2.20,2.17,2.20,2.20,2.20,204,220,216.55,220,220,220,0
FTMO,@S,7,11204,0.01,2.04,2.20,2.15,2.20,2.20,2.20,204,220,215.09,220,220,220,0
FTMO,@S,8,12229,0.01,2.04,2.20,2.15,2.20,2.20,2.20,204,220,215.18,220,220,220,0
FTMO,@S,9,12411,0.01,2.04,2.18,2.15,2.20,2.20,2.20,204,218,214.84,220,220,220,0
FTMO,@S,10,11025,0.01,2.04,2.15,2.14,2.20,2.20,2.20,204,215,213.55,220,220,220,0
FTMO,@S,11,12869,0.01,2.04,2.20,2.17,2.20,2.20,2.20,204,220,216.59,220,220,220,0
FTMO,@S,12,13182,0.01,2.04,2.20,2.22,2.20,2.80,4.14,204,220,221.58,220,280,414,0
FTMO,@S,13,15580,0.01,2.04,2.04,2.04,2.04,2.04,2.04,204,204,204.00,204,204,204,0
FTMO,@S,14,29893,0.01,2.04,2.04,2.04,2.04,2.04,2.28,204,204,204.02,204,204,228,0
FTMO,@S,15,25752,0.01,2.04,2.04,2.04,2.04,2.04,2.04,204,204,204.00,204,204,204,0
FTMO,@S,16,24355,0.01,2.04,2.04,2.04,2.04,2.04,2.04,204,204,204.00,204,204,204,0
FTMO,@S,17,19116,0.01,2.04,2.04,2.04,2.04,2.04,2.53,204,204,204.02,204,204,253,0
FTMO,@S,18,6673,0.01,2.04,2.04,2.04,2.04,2.04,2.56,204,204,204.10,204,204,256,0
FTMO,@S,19,0,0.01,,,,,,,,,,,,,0
FTMO,@S,20,0,0.01,,,,,,,,,,,,,0
FTMO,@S,21,0,0.01,,,,,,,,,,,,,0
FTMO,@S,22,0,0.01,,,,,,,,,,,,,0
FTMO,@S,23,0,0.01,,,,,,,,,,,,,0
