# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@PL,0,193526,0.01,2.92,8.66,8.57,9.73,9.73,9.73,292,866,857.22,973,973,973,0
FTMO,@PL,1,256644,0.01,2.74,7.99,8.23,9.73,9.73,11.47,274,799,822.85,973,973,1147,0
FTMO,@PL,2,202812,0.01,0.94,8.16,8.28,9.73,9.73,9.77,94,816,828.39,973,973,977,0
FTMO,@PL,3,132282,0.01,7.32,7.32,7.84,9.20,9.73,9.73,732,732,784.30,920,973,973,0
FTMO,@PL,4,114932,0.01,1.92,8.04,8.18,9.46,9.73,9.73,192,804,817.75,946,973,973,0
FTMO,@PL,5,176785,0.01,7.32,8.68,8.63,9.73,9.73,9.77,732,868,863.23,973,973,977,0
FTMO,@PL,6,193207,0.01,0.67,6.39,6.36,7.59,8.08,9.30,67,639,636.45,759,808,930,0
FTMO,@PL,7,180973,0.01,2.11,6.68,6.60,8.08,8.08,8.08,211,668,660.40,808,808,808,0
FTMO,@PL,8,189652,0.01,1.84,6.69,6.59,8.08,8.08,8.08,184,669,658.64,808,808,808,0
FTMO,@PL,9,163847,0.01,1.00,6.01,6.24,8.08,8.08,8.11,100,601,623.68,808,808,811,0
FTMO,@PL,10,151052,0.01,3.02,6.30,6.33,7.96,8.08,8.11,302,630,632.71,796,808,811,0
FTMO,@PL,11,167467,0.01,1.85,5.26,5.55,7.77,8.03,8.08,185,526,555.36,777,803,808,0
FTMO,@PL,12,229558,0.01,4.24,5.82,5.94,8.03,8.03,43.08,424,582,593.79,803,803,4308,0
FTMO,@PL,13,295822,0.01,2.22,5.33,5.63,7.91,8.03,20.54,222,533,562.75,791,803,2054,0
FTMO,@PL,14,279410,0.01,1.55,4.60,5.35,7.78,8.03,21.14,155,460,534.89,778,803,2114,0
FTMO,@PL,15,221027,0.01,4.23,4.50,5.36,7.83,8.03,8.03,423,450,536.24,783,803,803,0
FTMO,@PL,16,186479,0.01,2.10,6.77,6.77,7.94,7.96,9.08,210,677,677.12,794,796,908,0
FTMO,@PL,17,166738,0.01,5.51,6.54,6.64,7.96,7.96,28.72,551,654,664.08,796,796,2872,0
FTMO,@PL,18,165649,0.01,2.28,6.85,6.88,7.96,7.96,36.38,228,685,688.00,796,796,3638,0
FTMO,@PL,19,161775,0.01,5.61,6.83,6.81,7.96,7.96,7.96,561,683,681.41,796,796,796,0
FTMO,@PL,20,72124,0.01,2.07,6.77,6.69,8.24,8.29,8.73,207,677,668.56,824,829,873,0
FTMO,@PL,21,0,0.01,,,,,,,,,,,,,0
FTMO,@PL,22,61265,0.01,7.53,8.06,8.23,9.07,10.04,10.06,753,806,823.06,907,1004,1006,0
FTMO,@PL,23,100528,0.01,7.32,8.38,8.46,9.65,9.73,10.06,732,838,846.02,965,973,1006,0
