# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@KC,0,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,1,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,2,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,3,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,4,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,5,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,6,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,7,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,8,20084,0.01,0.31,0.34,0.33,0.34,0.34,0.64,31,34,32.64,34,34,64,0
FTMO,@KC,9,22628,0.01,0.31,0.31,0.32,0.34,0.34,0.55,31,31,31.71,34,34,55,0
FTMO,@KC,10,19824,0.01,0.31,0.31,0.31,0.33,0.34,0.34,31,31,31.33,33,34,34,0
FTMO,@KC,11,23797,0.01,0.31,0.31,0.32,0.34,0.34,0.44,31,31,31.63,34,34,44,0
FTMO,@KC,12,36984,0.01,0.31,0.32,0.32,0.34,0.34,0.94,31,32,32.50,34,34,94,0
FTMO,@KC,13,37714,0.01,0.31,0.32,0.32,0.34,0.34,0.42,31,32,32.40,34,34,42,0
FTMO,@KC,14,39416,0.01,0.31,0.32,0.32,0.34,0.34,0.53,31,32,32.44,34,34,53,0
FTMO,@KC,15,37697,0.01,0.31,0.31,0.32,0.34,0.34,0.39,31,31,32.31,34,34,39,0
FTMO,@KC,16,31224,0.01,0.31,0.31,0.32,0.34,0.34,0.49,31,31,32.39,34,34,49,0
FTMO,@KC,17,8671,0.01,0.31,0.31,0.31,0.31,0.34,0.34,31,31,31.12,31,34,34,0
FTMO,@KC,18,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,19,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,20,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,21,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,22,0,0.01,,,,,,,,,,,,,0
FTMO,@KC,23,0,0.01,,,,,,,,,,,,,0
