entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 10:45:00,2012-01-10 23:30:00,S,4589.648205126575,4583.25,123.96410253149588,50,EOD,IS,123.96410253149588
2012-01-12 13:30:00,2012-01-12 23:30:00,S,4607.059882269583,4605.75,22.197645391657716,39,EOD,IS,146.1617479231536
2012-01-17 03:15:00,2012-01-17 23:30:00,S,4613.541091918028,4617.0,-73.17816163944735,80,EOD,IS,72.98358628370625
2012-01-18 11:30:00,2012-01-18 23:30:00,S,4627.7543451792335,4646.75,-383.9130964153301,47,EOD,IS,-310.92951013162383
2012-01-23 12:15:00,2012-01-23 23:30:00,S,4661.319927651967,4659.5,32.398553039343824,44,EOD,IS,-278.53095709228
2012-01-26 15:00:00,2012-01-26 23:30:00,S,4693.2637082821375,4678.75,286.2741656427497,33,EOD,IS,7.743208550469717
2012-01-30 02:45:00,2012-01-30 23:30:00,L,4663.257506618786,4688.0,490.8498676242889,82,EOD,IS,498.5930761747586
2012-02-01 13:00:00,2012-02-01 23:30:00,S,4705.016517186375,4714.5,-193.6696562725083,41,EOD,IS,304.9234199022503
2012-02-03 14:00:00,2012-02-03 22:15:00,L,4723.476271734953,4748.25,491.4745653009377,33,EOD,IS,796.397985203188
2012-02-07 02:00:00,2012-02-07 23:30:00,S,4752.75,4753.5,-19.0,85,EOD,IS,777.397985203188
2012-02-13 08:00:00,2012-02-13 23:30:00,L,4784.541821920772,4793.0,165.16356158455528,61,EOD,IS,942.5615467877433
2012-02-14 14:00:00,2012-02-14 23:30:00,L,4794.350453274943,4801.0,128.99093450114015,37,EOD,IS,1071.5524812888834
2012-02-20 05:30:00,2012-02-20 17:30:00,L,4820.884495198225,4817.25,-76.68990396449226,48,EOD,IS,994.8625773243912
2012-02-21 03:45:00,2012-02-21 23:30:00,L,4809.816870710427,4815.75,114.66258579146233,78,EOD,IS,1109.5251631158535
2012-02-23 17:15:00,2012-02-23 23:30:00,S,4821.373352483275,4828.25,-141.5329503344983,24,EOD,IS,967.9922127813552
2012-02-27 06:00:00,2012-02-27 23:30:00,L,4823.814145877025,4833.25,184.71708245949776,69,EOD,IS,1152.709295240853
2012-02-29 06:15:00,2012-02-29 23:30:00,L,4858.469068910978,4842.5,-323.38137821956843,68,EOD,IS,829.3279170212845
2012-03-05 09:15:00,2012-03-05 23:30:00,S,4861.676655965534,4839.75,434.53311931068674,56,EOD,IS,1263.8610363319713
2012-03-08 05:00:00,2012-03-08 23:30:00,S,4838.957687256819,4863.0,-484.8462548636271,72,EOD,IS,779.0147814683442
2012-03-12 01:45:00,2012-03-13 00:00:00,L,4870.5,4876.5,116.0,86,EOD,IS,895.0147814683442
2012-03-15 14:45:00,2012-03-16 00:00:00,L,4938.952303564005,4940.0,16.953928719900432,34,EOD,IS,911.9687101882446
2012-03-16 13:00:00,2012-03-16 21:15:00,S,4948.369288134814,4942.0,123.38576269628538,33,EOD,IS,1035.35447288453
2012-03-19 01:30:00,2012-03-20 00:00:00,S,4946.144136326115,4958.75,-256.1172734777065,87,EOD,IS,779.2371994068235
2012-03-21 02:00:00,2012-03-22 00:00:00,S,4969.563087430373,4967.0,47.26174860746687,85,EOD,IS,826.4989480142904
2012-03-22 07:45:00,2012-03-23 00:00:00,L,4962.380693609501,4960.75,-36.61387219001335,62,EOD,IS,789.885075824277
2012-03-28 16:15:00,2012-03-28 23:30:00,S,5017.210610764502,4998.75,365.2122152900447,28,EOD,IS,1155.0972911143217
2012-03-30 12:00:00,2012-03-30 22:15:00,S,5002.946321937004,4984.5,364.9264387400726,41,EOD,IS,1520.0237298543943
2012-04-02 20:45:00,2012-04-02 23:30:00,S,5013.247595262961,5007.25,115.95190525922226,10,EOD,IS,1635.9756351136166
2012-04-04 11:00:00,2012-04-04 23:30:00,L,4991.757772129774,4965.25,-534.1554425954782,49,EOD,IS,1101.8201925181384
2012-04-06 05:30:00,2012-04-06 15:15:00,L,4988.996784804688,4955.5,-673.9356960937621,38,EOD,IS,427.88449642437627
2012-04-10 18:15:00,2012-04-10 23:30:00,L,4941.033650053425,4932.25,-179.6730010684987,20,EOD,IS,248.21149535587756
2012-04-12 16:45:00,2012-04-12 23:30:00,S,4962.248602578445,4965.5,-69.02794843110678,26,EOD,IS,179.18354692477078
2012-04-19 18:15:00,2012-04-19 23:30:00,L,4935.478599249369,4916.25,-388.5719849873785,20,EOD,IS,-209.38843806260775
2012-04-23 14:45:00,2012-04-23 23:30:00,S,4882.929336094894,4885.75,-60.413278102118056,34,EOD,IS,-269.8017161647258
2012-04-26 03:45:00,2012-04-26 23:30:00,S,4937.341593238748,4948.5,-227.16813522504162,78,EOD,IS,-496.9698513897674
2012-04-27 14:15:00,2012-04-27 22:15:00,S,4961.368051261918,4968.75,-151.63897476164857,32,EOD,IS,-648.608826151416
2012-05-01 12:15:00,2012-05-01 23:30:00,L,4945.472933746102,4948.5,56.54132507795657,44,EOD,IS,-592.0675010734594
2012-05-03 09:45:00,2012-05-03 23:30:00,S,4962.718265440733,4925.5,740.3653088146675,54,EOD,IS,148.2978077412081
2012-05-08 19:45:00,2012-05-08 23:30:00,S,4837.01809352322,4856.0,-383.6381295355968,14,EOD,IS,-235.34032179438873
2012-05-10 16:15:00,2012-05-10 23:30:00,L,4845.829332427003,4835.75,-205.5866485400511,28,EOD,IS,-440.92697033443983
2012-05-11 15:15:00,2012-05-11 22:15:00,L,4831.63909570139,4842.75,218.21808597219933,28,EOD,IS,-222.7088843622405
2012-05-15 21:15:00,2012-05-15 23:30:00,L,4821.777381168828,4811.75,-204.5476233765512,8,EOD,IS,-427.2565077387917
