# Griglia grossa @FDAX 240m Breakout di sessione, motore nudo (pattern spenti, nessun filtro orario), 200 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
sessions;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
2;1000;2500;-1;0;1515;32153.73;53846.07;1.03;1364;-32788.79;64965.42;0.97;2
2;1000;2500;21;0;1503;52217.37;40258.88;1.06;1350;-26010.2;64492.48;0.97;2
2;1000;4500;-1;0;1501;66661.07;47694.19;1.07;1355;42669.15;70004.62;1.04;2
2;1000;4500;21;0;1488;87858.67;45328.7;1.09;1341;39932.94;75421.74;1.04;2
2;1000;9000;-1;0;1487;72117.33;65285.62;1.07;1345;-33914.35;99562.1;0.97;2
2;1000;9000;21;0;1475;109660.98;44034.5;1.11;1330;-36562.75;105575.96;0.96;2
2;1000;18000;-1;0;1482;71806.66;66865.99;1.07;1339;-63460.42;110421.49;0.94;2
2;1000;18000;21;0;1471;110602.69;44034.5;1.11;1325;-58371.2;121478.46;0.94;2
2;2500;0;-1;0;1445;42260.15;87008.81;1.03;1300;-77319.35;110387.18;0.95;1
2;2500;0;21;0;1436;122220.49;50129.15;1.09;1286;-66656.09;112627.32;0.96;2
2;2500;2500;-1;0;1483;22201.8;51680.95;1.02;1342;-54745.87;101616.89;0.96;2
2;2500;2500;21;0;1473;72133.87;48334.23;1.06;1329;-23477.77;83553.94;0.98;2
2;2500;4500;-1;0;1467;58566.61;65133.62;1.04;1327;69115.31;58538.24;1.04;3
2;2500;4500;21;0;1456;122436.34;48155.39;1.09;1310;91146.63;51599.62;1.06;3
2;2500;9000;-1;0;1451;44700.34;83828.75;1.03;1310;-89876.58;118292.8;0.94;1
2;2500;9000;21;0;1441;126693.82;49330.69;1.09;1294;-67720.52;111074.82;0.96;2
