# Griglia grossa @NQ 240m Trend Following mirrored, motore nudo (pattern spenti, nessun filtro orario), 250 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 0/lato, orologio al minuto. Campione 2014-07-17 -> 2021-01-01, fuori campione -> 2026-09-01.
maxBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
30;10000;1500;-1;0;1666;-194034.22;219563.44;0.78;1638;-50638.06;106435.34;0.97;1
30;10000;1500;21;0;1666;-194034.22;219563.44;0.78;1638;-50638.06;106435.34;0.97;1
30;10000;3000;-1;0;1634;-250185.3;270962.66;0.75;1551;-53092.06;121487.64;0.98;2
30;10000;3000;21;0;1634;-250185.3;270962.66;0.75;1551;-53092.06;121487.64;0.98;2
30;10000;6000;-1;0;1618;-283908.58;309003.52;0.72;1496;-129980.26;204954.24;0.95;1
30;10000;6000;21;0;1618;-283908.58;309003.52;0.72;1496;-129980.26;204954.24;0.95;1
30;10000;12000;-1;0;1617;-279101.8;310127.76;0.73;1477;-243315.18;307086.54;0.9;0
30;10000;12000;21;0;1617;-279101.8;310127.76;0.73;1477;-243315.18;307086.54;0.9;0
60;500;0;-1;0;1961;-15557.98;47319.52;0.97;1824;205498.02;35256.94;1.27;3
60;500;0;21;0;1961;-15557.98;47319.52;0.97;1824;205498.02;35256.94;1.27;3
60;500;1500;-1;0;1983;-14134.82;53085.4;0.97;1848;152967.8;18242.34;1.24;4
60;500;1500;21;0;1983;-14134.82;53085.4;0.97;1848;152967.8;18242.34;1.24;4
60;500;3000;-1;0;1971;-23002.32;46493.56;0.96;1843;174095.56;21689.44;1.24;4
60;500;3000;21;0;1971;-23002.32;46493.56;0.96;1843;174095.56;21689.44;1.24;4
60;500;6000;-1;0;1962;-15613.04;47319.52;0.97;1831;247805.46;30899.1;1.33;3
60;500;6000;21;0;1962;-15613.04;47319.52;0.97;1831;247805.46;30899.1;1.33;3
60;500;12000;-1;0;1961;-15557.98;47319.52;0.97;1827;224805.98;35256.94;1.29;3
60;500;12000;21;0;1961;-15557.98;47319.52;0.97;1827;224805.98;35256.94;1.29;3
60;1500;0;-1;0;1775;-96235.92;130436.92;0.89;1778;117773.3;67760.86;1.07;4
60;1500;0;21;0;1775;-96235.92;130436.92;0.89;1778;117773.3;67760.86;1.07;4
60;1500;1500;-1;0;1809;-109440.76;126712.28;0.86;1831;116989.34;40320.28;1.09;4
60;1500;1500;21;0;1809;-109440.76;126712.28;0.86;1831;116989.34;40320.28;1.09;4
60;1500;3000;-1;0;1788;-121879.44;133731.6;0.86;1814;89774.14;36128.88;1.06;4
60;1500;3000;21;0;1788;-121879.44;133731.6;0.86;1814;89774.14;36128.88;1.06;4
60;1500;6000;-1;0;1776;-116002.82;131966.68;0.87;1789;129718.04;46772.6;1.08;4
60;1500;6000;21;0;1776;-116002.82;131966.68;0.87;1789;129718.04;46772.6;1.08;4
60;1500;12000;-1;0;1775;-99256.82;130436.92;0.88;1781;110483.14;72093.46;1.07;3
60;1500;12000;21;0;1775;-99256.82;130436.92;0.88;1781;110483.14;72093.46;1.07;3
