# Griglia grossa @BP 60m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 4/lato, orologio al minuto. Campione 2014-09-21 -> 2021-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;200;1600;-1;0;2656;-38555.31;42530.94;0.89;2292;-29228.06;29839.94;0.89;0
1;200;1600;-1;1;1621;-27286.69;33036.88;0.88;1469;-31458.5;35337.31;0.83;1
1;200;1600;-1;2;1621;4498;12996.63;1.02;1469;-3194.44;13644.75;0.98;2
1;200;1600;21;0;2625;-34346.94;38004.69;0.9;2261;-21100.5;21896.88;0.92;0
1;200;1600;21;1;1621;-20498;28962.88;0.91;1469;-20589.5;29702.38;0.89;2
1;200;1600;21;2;1621;2165.06;14884.69;1.01;1469;-4955.13;13809.13;0.97;2
1;400;0;-1;0;2161;-18469.88;29211.88;0.95;1829;2726.69;14654.38;1.01;3
1;400;0;-1;1;1621;-34305.38;39875.19;0.88;1469;-30677.19;31156.88;0.86;0
1;400;0;-1;2;1621;19756.44;12005.38;1.07;1469;5874.13;12850.31;1.03;3
1;400;0;21;0;2133;-13328.44;28079.19;0.96;1808;5277.88;12667;1.02;3
1;400;0;21;1;1621;-22439.25;29511.63;0.92;1469;-15047;21575.88;0.93;2
1;400;0;21;2;1621;11991.94;14600.19;1.05;1469;-4653.88;17446.5;0.98;2
1;400;200;-1;0;2992;-28441.31;33220.69;0.92;2545;-23975.56;27798.13;0.91;0
1;400;200;-1;1;1621;-30309.69;31638.88;0.86;1469;-30816.13;32616;0.83;0
1;400;200;-1;2;1621;1600.5;8053;1.01;1469;-2582.63;12693.63;0.98;1
1;400;200;21;0;2939;-31998.94;36598.69;0.91;2492;-24135.38;27958.25;0.91;0
1;400;200;21;1;1621;-27291.13;28657.13;0.87;1469;-25408.25;28377.63;0.86;0
1;400;200;21;2;1621;-581.81;8103.13;1;1469;-9070.75;16524.75;0.95;1
1;400;400;-1;0;2627;-36445.56;43003;0.9;2177;-11482.88;20470.06;0.96;2
1;400;400;-1;1;1621;-33431;38586.38;0.87;1469;-27038.63;27642;0.87;0
1;400;400;-1;2;1621;3569.63;10564;1.01;1469;4261.06;12331.38;1.02;2
1;400;400;21;0;2560;-35569.44;42445.31;0.9;2124;-10450.75;18759.75;0.96;2
1;400;400;21;1;1621;-24502.38;30661.63;0.91;1469;-14833.88;18218.88;0.93;1
1;400;400;21;2;1621;-1841.19;11323.31;0.99;1469;-5153.25;17483.25;0.97;2
1;400;800;-1;0;2276;-26931.13;32079.75;0.92;1895;331.94;15803.69;1;2
1;400;800;-1;1;1621;-35667.06;39928.31;0.87;1469;-33135.69;33615.38;0.85;0
1;400;800;-1;2;1621;9612.88;11369.75;1.04;1469;3200.06;13416.44;1.02;3
1;400;800;21;0;2232;-22823.56;32947.31;0.93;1859;883.63;13115;1;3
1;400;800;21;1;1621;-24697.38;30393.5;0.91;1469;-17623.25;24334.38;0.92;1
1;400;800;21;2;1621;2148.81;12923.63;1.01;1469;-6518.88;17787;0.97;2
1;400;1600;-1;0;2171;-23582.63;33503.44;0.93;1834;5151.31;14654.38;1.02;3
1;400;1600;-1;1;1621;-33079.13;38788.13;0.88;1469;-30338.69;30818.38;0.86;0
1;400;1600;-1;2;1621;14404.06;12005.38;1.05;1469;7676.88;12501.38;1.04;3
1;400;1600;21;0;2140;-18351.94;32137.94;0.95;1813;8021;12667;1.03;3
1;400;1600;21;1;1621;-21776.13;28738.5;0.92;1469;-14268.25;20797.13;0.93;2
1;400;1600;21;2;1621;6923.19;14600.19;1.03;1469;-2683.88;17117;0.99;2
1;700;0;-1;0;1831;-31902.88;32955.38;0.9;1557;4204.31;17137.25;1.02;3
1;700;0;-1;1;1621;-43176.06;45513.25;0.86;1469;-33646.5;35427.19;0.86;0
1;700;0;-1;2;1621;15112.56;17038.56;1.05;1469;5954.25;15376.44;1.03;3
1;700;0;21;0;1808;-32787.19;33811.69;0.9;1545;10296.88;14742.75;1.05;3
1;700;0;21;1;1621;-29455.5;33014.13;0.9;1469;-16310.75;24439.38;0.93;2
1;700;0;21;2;1621;5376.94;19457.06;1.02;1469;-6718.25;22502.13;0.97;2
1;700;200;-1;0;2773;-47929.19;49310.88;0.86;2324;-19222.63;25654.69;0.92;1
1;700;200;-1;1;1621;-34796.13;36190.69;0.85;1469;-34099.5;37107.63;0.82;0
1;700;200;-1;2;1621;-1622.94;8048.88;0.99;1469;-532.44;15178.56;1;2
1;700;200;21;0;2707;-49709.81;51668.44;0.85;2285;-18978.13;25389.75;0.92;1
1;700;200;21;1;1621;-29279.25;30730;0.87;1469;-27655.13;31905.75;0.85;0
1;700;200;21;2;1621;-6322.44;8956.19;0.97;1469;-9384.5;19784.13;0.94;2
1;700;400;-1;0;2327;-57061.88;57756.13;0.85;1917;-7996.69;22899.31;0.97;2
1;700;400;-1;1;1621;-41398;43641.81;0.86;1469;-28220.88;30622.13;0.87;0
1;700;400;-1;2;1621;11.38;14632.69;1;1469;5932.13;14230.38;1.03;2
1;700;400;21;0;2261;-50716.19;51384.19;0.86;1877;-2741.63;21588.13;0.99;2
1;700;400;21;1;1621;-29132.38;32247.25;0.9;1469;-14536.38;19356;0.93;1
1;700;400;21;2;1621;-6368.06;14046.06;0.98;1469;-5521.38;21182.38;0.97;2
1;700;800;-1;0;1957;-47951.75;49148.5;0.86;1623;532.38;18807.5;1;3
1;700;800;-1;1;1621;-43179.38;45044.63;0.86;1469;-36263.25;38014.5;0.84;0
1;700;800;-1;2;1621;5103.69;15770.19;1.02;1469;3455.25;15854.25;1.02;3
1;700;800;21;0;1912;-39431.69;40582.06;0.88;1598;2467.25;15191.25;1.01;3
1;700;800;21;1;1621;-29054.88;31778.5;0.9;1469;-19063.88;25976;0.91;2
1;700;800;21;2;1621;-4525.56;17579.69;0.98;1469;-8377.63;22001.75;0.96;2
1;700;1600;-1;0;1841;-37754.31;38806.81;0.89;1562;4775.13;17137.25;1.02;3
1;700;1600;-1;1;1621;-41949.81;44426.19;0.86;1469;-33308;35088.69;0.86;0
1;700;1600;-1;2;1621;9707.06;17038.56;1.03;1469;8132.06;14567.75;1.04;3
1;700;1600;21;0;1815;-36580.69;37605.19;0.89;1550;11040;14742.75;1.05;3
1;700;1600;21;1;1621;-28792.38;32241;0.9;1469;-15532;24439.38;0.93;2
1;700;1600;21;2;1621;308.19;19457.06;1;1469;-4448.25;21724.25;0.98;2
1;1200;0;-1;0;1652;-22311.56;32029.63;0.93;1482;-2841.56;17176.44;0.99;3
1;1200;0;-1;1;1621;-44232.88;49474.69;0.86;1469;-34570.13;36398.44;0.85;0
1;1200;0;-1;2;1621;14772.81;15353.56;1.05;1469;2163.5;18016.38;1.01;3
1;1200;0;21;0;1644;-22140.19;29835.06;0.93;1477;5769;13313.25;1.03;3
1;1200;0;21;1;1621;-29366.13;36702.63;0.9;1469;-15678.25;24282.75;0.93;2
1;1200;0;21;2;1621;6211.31;18268.94;1.02;1469;-10417.63;25989.25;0.95;1
1;1200;200;-1;0;2633;-37803.56;39449.06;0.89;2268;-19052.63;24342.94;0.92;1
1;1200;200;-1;1;1621;-34255.94;35585;0.85;1469;-37512.69;40568.44;0.81;0
1;1200;200;-1;2;1621;-2233.25;9369.31;0.99;1469;-3852.31;16936.94;0.98;1
1;1200;200;21;0;2575;-36511.31;39035.06;0.89;2232;-18141;22612;0.93;1
1;1200;200;21;1;1621;-28135.5;29322.5;0.87;1469;-29158.25;33468.88;0.84;0
1;1200;200;21;2;1621;-6994.31;10361.81;0.97;1469;-12482.63;21859.63;0.93;1
1;1200;400;-1;0;2159;-50456.31;51150.56;0.86;1846;-10058.63;22014.25;0.96;1
1;1200;400;-1;1;1621;-42390.06;47073.56;0.85;1469;-32316;34764.88;0.86;0
1;1200;400;-1;2;1621;-865.25;15305.44;1;1469;1611;17608.75;1.01;2
1;1200;400;21;0;2110;-43197.56;43859.81;0.87;1815;-3273.13;19513.63;0.99;1
1;1200;400;21;1;1621;-28541.75;34519.25;0.9;1469;-16631.38;21420.63;0.92;1
1;1200;400;21;2;1621;-7874.31;15780.81;0.97;1469;-9255.75;24228;0.96;2
1;1200;800;-1;0;1778;-37030.31;39610.69;0.89;1550;-2804.25;18772.25;0.99;2
1;1200;800;-1;1;1621;-43195.69;48158.38;0.86;1469;-37661.31;39460.19;0.84;0
1;1200;800;-1;2;1621;3629.69;14209.19;1.01;1469;225.19;17872.19;1;3
1;1200;800;21;0;1751;-28141.81;32092.69;0.91;1531;700.75;13973.88;1;3
1;1200;800;21;1;1621;-28554.25;34556.13;0.9;1469;-18963.25;26662.25;0.92;2
1;1200;800;21;2;1621;-4634.31;16574.44;0.98;1469;-11365.13;24845;0.95;1
1;1200;1600;-1;0;1663;-26706.56;35396.63;0.91;1487;-2270.75;17176.44;0.99;3
1;1200;1600;-1;1;1621;-42565.38;47946.38;0.86;1469;-34231.63;36059.94;0.85;0
1;1200;1600;-1;2;1621;9367.31;15353.56;1.03;1469;2902;17828.75;1.01;3
1;1200;1600;21;0;1651;-23889.94;33646.44;0.92;1482;6512.13;13313.25;1.03;3
1;1200;1600;21;1;1621;-28703;35775.38;0.9;1469;-14899.5;24282.75;0.93;2
1;1200;1600;21;2;1621;1142.56;18268.94;1;1469;-9435.75;25775.5;0.96;2
20;100;0;-1;0;2131;9005.19;8978.75;1.05;1948;-8149.31;12901.56;0.94;2
20;100;0;-1;1;1081;4483.5;5416;1.05;984;-1930.94;9139.88;0.97;1
20;100;0;-1;2;1067;5686.56;10078.94;1.07;991;-3118.94;9431.31;0.96;1
20;100;0;21;0;2103;7981;9057.63;1.05;1924;-3458.88;11268.5;0.98;3
20;100;0;21;1;1068;6537.88;5552.25;1.08;974;3778;8363.13;1.05;3
20;100;0;21;2;1052;3005.88;11296.5;1.04;974;-3762.63;9169.25;0.95;2
20;100;200;-1;0;2148;-8127.5;11986.81;0.94;1964;-11747.63;15718.19;0.91;1
20;100;200;-1;1;1083;1431.44;3189.88;1.02;987;-2955;10295.38;0.95;1
20;100;200;-1;2;1070;-8365.06;10229.5;0.89;993;-7078.38;9670.75;0.9;1
20;100;200;21;0;2114;-8046.38;12547.63;0.94;1932;-9842.88;14210.13;0.92;1
20;100;200;21;1;1068;2233.5;3406.25;1.03;974;-715.75;9169.25;0.99;1
20;100;200;21;2;1052;-9142.25;10976.25;0.88;974;-7615.75;9782.25;0.89;1
20;100;400;-1;0;2141;-522.06;9615.44;1;1952;-13474.38;16731.5;0.91;1
20;100;400;-1;1;1082;196.19;7631.88;1;985;-2076.88;10587.69;0.97;1
20;100;400;-1;2;1069;-204.38;6366.31;1;992;-8261.19;11108.25;0.89;2
20;100;400;21;0;2110;296.25;9291.5;1;1924;-10222;14826;0.93;1
20;100;400;21;1;1068;2360.38;6719;1.03;974;2829.88;9143.13;1.04;3
20;100;400;21;2;1052;-1498.5;6672.88;0.98;974;-9481.38;11326.25;0.87;1
20;100;800;-1;0;2133;3310.75;9597.63;1.02;1948;-8268.88;13223.88;0.94;2
20;100;800;-1;1;1081;3961.31;5439.88;1.05;984;-952.69;9154.94;0.99;1
20;100;800;-1;2;1068;-195.94;9854.94;1;991;-4557.94;9558.38;0.94;1
20;100;800;21;0;2104;3814.88;8195.63;1.02;1924;-3962;11430.38;0.97;2
20;100;800;21;1;1068;6869.75;5830.5;1.08;974;4964.25;7485.13;1.07;3
20;100;800;21;2;1052;-1784.13;10098.38;0.98;974;-5763.88;9559.38;0.92;2
20;100;1600;-1;0;2131;5574.56;9326.31;1.03;1948;-8292.31;13639.63;0.94;2
20;100;1600;-1;1;1081;4262.75;5416;1.05;984;-1930.94;9139.88;0.97;1
20;100;1600;-1;2;1067;1109.81;10040.19;1.01;991;-3261.94;9527.63;0.96;1
