half,seed,p,trades,net,dd,pf,avg
validazione,1091,0.64021,1511,4605.94,158380.24,1,3.05
validazione,1092,0.64021,1510,-166523.85,211733.17,0.91,-110.28
validazione,1093,0.64021,1481,-158015.01,210783.36,0.91,-106.69
validazione,1094,0.64021,1501,-66326.46,179153.8,0.96,-44.19
validazione,1095,0.64021,1498,-15425.58,140090.46,0.99,-10.3
validazione,1096,0.64021,1497,72056.13,90019.02,1.04,48.13
validazione,1097,0.64021,1511,-38696.81,126041.51,0.98,-25.61
validazione,1098,0.64021,1493,-105684.53,122574.51,0.94,-70.79
validazione,1099,0.64021,1474,-116006.29,190199.89,0.94,-78.7
validazione,1100,0.64021,1497,109926.88,116726.6,1.06,73.43
