# Griglia grossa @FDAX 240m Reversal Bollinger mirrored, motore nudo (pattern spenti, nessun filtro orario), 150 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
bbLength;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
20;1000;0;21;0;1067;-113457.4;132601.44;0.84;943;-89929.91;122497.74;0.87;1
20;1000;2500;-1;0;1103;-120528.12;137866.23;0.83;974;-152258.58;157027.84;0.78;0
20;1000;2500;21;0;1094;-103898.31;120844.63;0.85;967;-135123.23;139892.49;0.8;0
20;1000;4500;-1;0;1089;-109683.97;131966.25;0.85;965;-107527.85;124773.08;0.85;0
20;1000;4500;21;0;1082;-95591.06;123755.07;0.86;960;-82866.79;101356.42;0.88;0
20;1000;9000;-1;0;1075;-112500.57;139824.83;0.85;948;-128084.51;146010.36;0.82;0
20;1000;9000;21;0;1068;-92387.65;124073.25;0.87;944;-99530.01;120612.62;0.86;1
20;1000;18000;-1;0;1074;-128574.23;149326.77;0.82;947;-114468.84;138510.22;0.84;0
20;1000;18000;21;0;1067;-102228.46;128230.29;0.85;943;-84717.82;122497.74;0.88;1
20;2500;0;-1;0;1045;-126264.65;133213.83;0.88;930;-129087.62;173158.63;0.88;0
20;2500;0;21;0;1037;-104382.48;110165.91;0.89;926;-69008.8;130586.74;0.93;2
20;2500;2500;-1;0;1090;-180143.5;183264.26;0.82;966;-155274.07;179565.48;0.85;0
20;2500;2500;21;0;1080;-154901.21;160128.25;0.84;959;-115972.59;143758.69;0.88;0
20;2500;4500;-1;0;1071;-106215.16;112716.83;0.9;953;-103054.4;151000.6;0.91;0
20;2500;4500;21;0;1064;-87411.12;97827.12;0.91;948;-47874.26;121671.61;0.95;2
20;2500;9000;-1;0;1046;-84844.38;100957.05;0.92;932;-140596.28;184667.29;0.87;0
20;2500;9000;21;0;1038;-66617.3;80975.61;0.93;928;-77674.56;132039.25;0.93;1
20;2500;18000;-1;0;1045;-126264.65;133213.83;0.88;930;-123720.54;167791.55;0.89;0
20;2500;18000;21;0;1037;-93153.53;98936.97;0.91;926;-63796.72;125374.66;0.94;2
20;5000;0;-1;0;1039;-124538.75;139698.73;0.89;921;-99410.12;230480.74;0.92;2
20;5000;0;21;0;1033;-92790.85;108817.5;0.91;917;-22295.15;169527.74;0.98;3
20;5000;2500;-1;0;1086;-214004.06;214726.67;0.81;962;-192662.86;219993.18;0.84;0
20;5000;2500;21;0;1077;-164556.64;175520.2;0.84;955;-131897.13;172311.52;0.88;1
20;5000;4500;-1;0;1067;-126853.86;132870.86;0.89;948;-123138.83;184777.46;0.9;1
20;5000;4500;21;0;1061;-92092.63;108270.66;0.91;943;-33784.59;132999.82;0.97;2
20;5000;9000;-1;0;1040;-83367.65;108716.69;0.93;925;-137331.37;229126.64;0.89;0
20;5000;9000;21;0;1034;-55637.36;78430.54;0.95;921;-49506.75;174431.49;0.96;2
20;5000;18000;-1;0;1039;-124538.75;139698.73;0.89;921;-96244.18;225113.66;0.92;2
20;5000;18000;21;0;1033;-81561.91;108817.5;0.92;917;-16913.06;164315.65;0.99;3
20;8000;0;-1;0;1038;-185892.34;185892.34;0.85;915;-61850.19;197714.49;0.95;1
20;8000;0;21;0;1032;-156660.58;156660.58;0.86;912;49415.57;119940.92;1.04;2
20;8000;2500;-1;0;1085;-269544.77;269544.77;0.77;958;-166109.76;202400.64;0.86;0
20;8000;2500;21;0;1076;-220503.89;223078.11;0.8;951;-80848.14;144593.03;0.92;1
20;8000;4500;-1;0;1066;-185207.45;185207.45;0.85;943;-97827.24;162639.72;0.92;1
20;8000;4500;21;0;1060;-152962.36;154486.41;0.86;939;20171.22;92588.45;1.02;2
20;8000;9000;-1;0;1039;-144721.24;148782.23;0.88;919;-105050.27;194097.89;0.92;1
20;8000;9000;21;0;1033;-119507.09;123851.77;0.89;916;14418.97;118507.18;1.01;2
20;8000;18000;-1;0;1038;-185892.34;185892.34;0.85;915;-58150.41;192347.41;0.95;1
20;8000;18000;21;0;1032;-145431.63;145431.63;0.87;912;53012.66;114728.84;1.05;2
20;12000;0;-1;0;1036;-193052.57;193766.79;0.84;914;-105867.52;226314.69;0.92;1
20;12000;0;21;0;1032;-164791.17;171090.69;0.85;911;15630.67;145325.91;1.01;2
20;12000;2500;-1;0;1083;-253953.93;258802.58;0.78;957;-198066.35;231568.83;0.83;0
20;12000;2500;21;0;1076;-202999.46;213090.92;0.81;950;-109601.28;172720.06;0.9;1
20;12000;4500;-1;0;1064;-166827.28;170605;0.86;942;-136898.69;198922.77;0.89;1
20;12000;4500;21;0;1060;-135457.93;144499.22;0.88;938;-10678.4;122811.96;0.99;2
20;12000;9000;-1;0;1037;-151881.47;152701.73;0.87;918;-145067.59;219036.29;0.89;0
20;12000;9000;21;0;1033;-127637.69;133937.21;0.89;915;-15365.93;139265.64;0.99;2
20;12000;18000;-1;0;1036;-193052.57;193766.79;0.84;914;-102167.74;220947.6;0.92;1
20;12000;18000;21;0;1032;-153562.23;159861.75;0.86;911;19227.75;140113.83;1.02;2
50;1000;0;-1;0;635;-31593.35;62752.04;0.93;559;-92188.72;151014.65;0.79;1
50;1000;0;21;0;626;-20356.88;54058.02;0.95;552;-73725.92;136564.86;0.83;2
50;1000;2500;-1;0;638;-85937.14;85937.14;0.8;564;-68497.46;104882.33;0.83;1
50;1000;2500;21;0;629;-79254.27;79254.27;0.81;556;-65817.1;102582.02;0.83;1
50;1000;4500;-1;0;637;-51397.89;60885.7;0.88;563;-54225.07;94653.74;0.87;1
50;1000;4500;21;0;628;-43755.53;52948.93;0.9;555;-52079.2;92627.76;0.87;2
50;1000;9000;-1;0;635;-15794.82;62752.04;0.96;559;-71713.2;131014.65;0.83;1
50;1000;9000;21;0;626;-9022.98;54058.02;0.98;552;-59589.6;116564.86;0.86;2
50;1000;18000;-1;0;635;-31593.35;62752.04;0.93;559;-92188.72;151014.65;0.79;1
50;1000;18000;21;0;626;-20356.88;54058.02;0.95;552;-73725.92;136564.86;0.83;2
50;2500;0;-1;0;625;-124234.23;143042.89;0.81;552;-137040.87;212785.11;0.8;1
50;2500;0;21;0;618;-116166.42;132382.62;0.81;545;-112852.51;184124.2;0.82;1
50;2500;2500;-1;0;632;-157307.16;164768.33;0.75;562;-85742.18;147020.09;0.86;1
50;2500;2500;21;0;625;-149134.31;156818.68;0.75;554;-76959.38;138732.45;0.87;1
50;2500;4500;-1;0;630;-130513.78;138267.49;0.8;560;-76536.2;144082.89;0.88;2
50;2500;4500;21;0;623;-121418.93;131311.82;0.8;552;-73272.27;140493;0.88;1
50;2500;9000;-1;0;627;-98649.52;125664.93;0.85;553;-107333.5;184765.75;0.84;1
50;2500;9000;21;0;620;-101249.74;122230.68;0.84;546;-83356.09;162832.81;0.87;2
50;2500;18000;-1;0;625;-124234.23;143042.89;0.81;552;-137040.87;212785.11;0.8;1
50;2500;18000;21;0;618;-116166.42;132382.62;0.81;545;-112852.51;184124.2;0.82;1
50;5000;0;-1;0;621;-167322.72;184364.49;0.77;550;-85707.97;161540.38;0.89;2
50;5000;0;21;0;614;-153799.35;174025.87;0.78;542;-61265.17;132918.38;0.92;2
50;5000;2500;-1;0;629;-204488.58;210988.05;0.71;560;-102042.4;163356.54;0.85;1
50;5000;2500;21;0;622;-183661.31;190849.23;0.72;551;-82931.08;149563.97;0.87;1
50;5000;4500;-1;0;626;-172453.38;179392.79;0.76;558;-83094.72;142354.36;0.89;1
50;5000;4500;21;0;619;-151676.02;165663.61;0.78;549;-72122.06;135266.9;0.9;1
50;5000;9000;-1;0;623;-146794.67;167670.02;0.8;551;-98256.6;167510.68;0.87;1
50;5000;9000;21;0;616;-138593.17;158976.03;0.8;543;-63924.39;134854.32;0.91;2
50;5000;18000;-1;0;621;-167322.72;184364.49;0.77;550;-120171.62;196004.03;0.85;1
