# Griglia grossa @FDAX 240m Volatility breakout (range d1), motore nudo (pattern spenti, nessun filtro orario), 600 combinazioni.
# volMultTenths e' un intero da dividere per 10: il valore passato alla classe e' volMultTenths/10.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
volMultTenths;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
5;2500;9000;21;2;680;119554.7;36419.99;1.21;613;-8372.11;61492.05;0.99;1
5;2500;18000;-1;0;1242;33230.31;76641.5;1.03;1104;9941.61;68380.27;1.01;3
5;2500;18000;-1;1;724;-16440.72;92918.04;0.97;622;13693.93;53780.91;1.02;2
5;2500;18000;-1;2;685;117973.28;31870.56;1.2;614;-24608.94;79010.73;0.96;1
5;2500;18000;21;0;1227;80272.48;56729.64;1.08;1098;10880.42;71043.19;1.01;3
5;2500;18000;21;1;719;51714.26;48386.73;1.09;618;-5720.03;55687.88;0.99;2
5;2500;18000;21;2;680;107450.45;36419.99;1.19;613;-12459.61;67963.3;0.98;2
5;5000;0;-1;0;1242;-61250.27;151921.39;0.95;1103;11157.07;71650.99;1.01;3
5;5000;0;-1;1;724;-59914.74;127156.08;0.91;622;14054.63;80989.09;1.02;2
5;5000;0;-1;2;685;50798.4;44708.01;1.08;614;6675.56;50373.98;1.01;3
5;5000;0;21;0;1227;-6154.9;94040.99;0.99;1097;22087.43;78894.01;1.02;2
5;5000;0;21;1;719;18955.39;66550.37;1.03;618;12545.27;73762.01;1.02;2
5;5000;0;21;2;680;39800.2;49032.16;1.06;613;9220.15;48401.1;1.01;3
5;5000;2500;-1;0;1242;-64337.82;111313.13;0.94;1103;86870.72;48895.44;1.08;3
5;5000;2500;-1;1;724;-85932.57;127242.28;0.87;622;14940.96;84524.27;1.02;2
5;5000;2500;-1;2;685;87248.9;40634.31;1.15;614;75245.44;40839.34;1.12;3
5;5000;2500;21;0;1227;-9394.17;73255.88;0.99;1097;102955.31;54211.85;1.1;3
5;5000;2500;21;1;719;-3360.64;64993.25;0.99;618;38360.65;68865.97;1.07;2
5;5000;2500;21;2;680;71676.33;46392.7;1.13;613;67025.9;39705.3;1.11;2
5;5000;4500;-1;0;1242;-30967.17;126089.53;0.97;1103;7313.35;60874.92;1.01;2
5;5000;4500;-1;1;724;-56773.52;110379.35;0.92;622;-10976.75;75250.17;0.98;2
5;5000;4500;-1;2;685;82699.65;27747.23;1.13;614;36924.81;48182.05;1.05;3
5;5000;4500;21;0;1227;27783.98;75646;1.03;1097;50996.31;56268.92;1.04;3
5;5000;4500;21;1;719;19841.64;46966.62;1.03;618;19603.4;62637.76;1.03;2
5;5000;4500;21;2;680;82787.58;39419.06;1.14;613;41282.65;40834.05;1.06;3
5;5000;9000;-1;0;1242;-54824.02;144560.21;0.96;1103;16584.32;71502.97;1.01;2
5;5000;9000;-1;1;724;-61903.99;126331.89;0.91;622;36193.33;85225.04;1.05;2
5;5000;9000;-1;2;685;62338.9;44708.01;1.09;614;4220.06;70485.48;1.01;2
5;5000;9000;21;0;1227;2574.61;85513.94;1;1097;39288.68;77802.76;1.03;2
5;5000;9000;21;1;719;22340.64;59845.12;1.04;618;51752.77;75347.01;1.08;2
5;5000;9000;21;2;680;59815.7;49032.16;1.09;613;-274.86;58064.02;1;2
5;5000;18000;-1;0;1242;-61250.27;151921.39;0.95;1103;12503.7;71650.99;1.01;3
5;5000;18000;-1;1;724;-59914.74;127156.08;0.91;622;14054.63;80989.09;1.02;2
5;5000;18000;-1;2;685;53764.65;44708.01;1.08;614;3004.69;64602.73;1;2
5;5000;18000;21;0;1227;-6154.9;94040.99;0.99;1097;27488.68;78894.01;1.02;2
5;5000;18000;21;1;719;18955.39;66550.37;1.03;618;12545.27;73762.01;1.02;2
5;5000;18000;21;2;680;42711.45;49032.16;1.07;613;9603.9;55951.52;1.01;3
5;8000;0;-1;0;1242;-73476.27;162874.44;0.94;1103;18204.92;74577.04;1.01;3
5;8000;0;-1;1;724;-97385.42;172272.07;0.87;622;41371.73;70142.97;1.06;2
5;8000;0;-1;2;685;74042.28;41251.01;1.11;614;-24424.57;77242.39;0.97;1
5;8000;0;21;0;1227;-4750.5;91829.04;1;1097;26371.93;80726.51;1.02;2
5;8000;0;21;1;719;-12037.72;102292.97;0.98;618;36611.27;59909.51;1.06;2
5;8000;0;21;2;680;69397.45;45609.33;1.11;613;-19922.61;79910.36;0.97;1
5;8000;2500;-1;0;1242;-78872.12;127889.06;0.93;1103;119965.07;55792.94;1.11;3
5;8000;2500;-1;1;724;-104561.94;151709.62;0.84;622;35035.41;71983.22;1.06;2
5;8000;2500;-1;2;685;90178.4;40791.95;1.16;614;78707.06;46822.57;1.13;2
5;8000;2500;21;0;1227;-12210.02;69512.94;0.99;1097;124216.56;53997.97;1.12;3
5;8000;2500;21;1;719;-11576.24;77675.85;0.98;618;56335.4;54492.47;1.1;2
5;8000;2500;21;2;680;76579.58;47724.06;1.14;613;58881.15;52998.02;1.09;2
5;8000;4500;-1;0;1242;-55956.17;147038.58;0.95;1103;11380.32;76090.55;1.01;3
5;8000;4500;-1;1;724;-82244.19;144383.02;0.88;622;12908.36;62828.69;1.02;2
5;8000;4500;-1;2;685;83289.65;35422.23;1.13;614;9542.06;62430.25;1.01;3
5;8000;4500;21;0;1227;15644.38;86244.85;1.01;1097;52174.56;56761.42;1.04;3
5;8000;4500;21;1;719;848.54;70709.22;1;618;42386.9;48139.79;1.07;2
5;8000;4500;21;2;680;92144.58;44267.81;1.15;613;13316.15;55024.03;1.02;2
5;8000;9000;-1;0;1242;-65712.65;154803.9;0.95;1103;20063.62;81344.45;1.01;2
5;8000;9000;-1;1;724;-99374.67;171341.52;0.87;622;62941.88;74378.92;1.09;2
5;8000;9000;-1;2;685;89029.28;41251.01;1.13;614;-26880.07;92788.27;0.97;1
5;8000;9000;21;0;1227;1587.76;89227.62;1;1097;42545.68;79635.26;1.03;3
5;8000;9000;21;1;719;-8652.47;95587.72;0.99;618;77791.27;61494.51;1.12;2
5;8000;9000;21;2;680;92325.45;45609.33;1.15;613;-29417.61;88234.11;0.96;2
5;8000;18000;-1;0;1242;-75095.9;164494.07;0.94;1103;19551.55;74577.04;1.01;3
5;8000;18000;-1;1;724;-97385.42;172272.07;0.87;622;41371.73;70142.97;1.06;2
5;8000;18000;-1;2;685;75388.9;41251.01;1.11;614;-28095.44;83193.27;0.97;1
5;8000;18000;21;0;1227;-4750.5;91829.04;1;1097;31773.18;80726.51;1.02;3
5;8000;18000;21;1;719;-12037.72;102292.97;0.98;618;36611.27;59909.51;1.06;2
5;8000;18000;21;2;680;72308.7;45609.33;1.11;613;-19538.86;79526.61;0.97;1
5;12000;0;-1;0;1242;-82460.12;165810.62;0.94;1103;7151.6;73514.39;1.01;2
5;12000;0;-1;1;724;-100976.89;174564.6;0.86;622;15963.93;74830.29;1.02;2
5;12000;0;-1;2;685;70932.03;40121.38;1.11;614;-22741.82;70679.49;0.97;1
5;12000;0;21;0;1227;-5244.25;97275.08;1;1097;10349.93;79047.76;1.01;2
5;12000;0;21;1;719;-7476.97;96485.97;0.99;618;14368.02;62475.76;1.02;2
5;12000;0;21;2;680;67932.95;48359.35;1.11;613;-28888.86;76677.86;0.96;2
5;12000;2500;-1;0;1242;-87515.42;136134.02;0.92;1103;96179.95;55872.74;1.08;2
5;12000;2500;-1;1;724;-115708.87;161557.6;0.83;622;13857.41;71301.02;1.02;2
5;12000;2500;-1;2;685;94951.65;42522.32;1.17;614;66307.06;48123.7;1.1;2
5;12000;2500;21;0;1227;-12068.27;75484.09;0.99;1097;104169.06;53682.83;1.1;2
5;12000;2500;21;1;719;-14392.49;79245.85;0.98;618;38252.9;53058.72;1.07;2
5;12000;2500;21;2;680;81725.08;49536.56;1.15;613;47806.15;50933.13;1.08;2
5;12000;4500;-1;0;1242;-66871.57;153732.46;0.95;1103;-5035.26;72964.06;1;2
5;12000;4500;-1;1;724;-91779.72;152619.6;0.87;622;-8499.45;65806.19;0.99;2
5;12000;4500;-1;2;685;84179.4;41152.61;1.13;614;5862.56;62444.76;1.01;3
5;12000;4500;21;0;1227;18908.88;88891.21;1.02;1097;34848.81;56225.99;1.03;3
5;12000;4500;21;1;719;5155.04;65156.47;1.01;618;24143.65;49404.01;1.04;2
5;12000;4500;21;2;680;97290.08;46080.31;1.16;613;3046.15;63149.05;1;2
5;12000;9000;-1;0;1242;-74696.5;164662.37;0.94;1103;4553.17;71138.11;1;1
5;12000;9000;-1;1;724;-102966.14;173634.05;0.86;622;41534.08;77696.72;1.06;2
5;12000;9000;-1;2;685;85919.03;40121.38;1.13;614;-29654.44;81516.52;0.96;1
5;12000;9000;21;0;1227;1094.01;94550.15;1;1097;26523.68;77956.51;1.02;2
5;12000;9000;21;1;719;-4091.72;89780.72;0.99;618;59548.02;64060.76;1.09;2
5;12000;9000;21;2;680;93470.95;47421.83;1.15;613;-38383.86;85103.05;0.95;2
