# Griglia grossa @CL 30m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 0/lato, orologio al minuto. Campione 2016-06-09 -> 2023-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;600;0;-1;1;1692;-19430;42850;0.97;950;-25640;37820;0.93;1
1;600;0;-1;2;1694;-147881.2;158338.4;0.77;950;-54619.2;82810;0.86;0
1;600;0;21;0;2624;-16810;44130;0.98;1569;-25360;50620;0.96;2
1;600;0;21;1;1688;-31120;48240;0.95;945;-29220;41490;0.92;1
1;600;0;21;2;1688;-25090;58270;0.96;945;3100;36300;1.01;3
1;600;300;-1;0;3336;-27204;45526;0.96;1898;-38809.2;49319.2;0.9;1
1;600;300;-1;1;1692;4020;16510;1.01;950;-18140;19670;0.91;1
1;600;300;-1;2;1694;-36548;46934.8;0.9;950;-11100;18890;0.94;1
1;600;300;21;0;3313;-9900;32660;0.98;1887;-36010;47090;0.91;1
1;600;300;21;1;1688;4700;16940;1.01;945;-18140;19340;0.91;1
1;600;300;21;2;1688;-29000;39600;0.92;945;-9770;18460;0.95;1
1;600;600;-1;0;3195;-168405.2;181969.6;0.82;1883;-40959.6;65840;0.93;1
1;600;600;-1;1;1692;-24980;32270;0.95;950;-15010;18380;0.95;1
1;600;600;-1;2;1694;-96371.2;104658;0.82;950;-21125.6;30582.4;0.93;0
1;600;600;21;0;3155;-117470;130970;0.87;1862;-31870;58810;0.94;1
1;600;600;21;1;1688;-23560;30580;0.95;945;-15480;18690;0.95;1
1;600;600;21;2;1688;-66970;74710;0.87;945;-18890;28560;0.93;0
1;600;1200;-1;0;2969;-91611.2;121775.6;0.91;1785;-64895.2;83028.8;0.9;1
1;600;1200;-1;1;1692;-7850;25770;0.99;950;-17640;23910;0.95;2
1;600;1200;-1;2;1694;-108358;121959.2;0.82;950;-32499.6;46826.8;0.91;0
1;600;1200;21;0;2914;-14210;47070;0.98;1763;-33200;59150;0.95;1
1;600;1200;21;1;1688;-10800;25090;0.98;945;-17570;23570;0.95;2
1;600;1200;21;2;1688;-41190;56700;0.93;945;-12440;27610;0.97;1
1;600;2500;-1;0;2744;-84560;112756;0.91;1640;-73619.2;87596.8;0.88;0
1;600;2500;-1;1;1692;17280;40380;1.03;950;-22850;33590;0.94;0
1;600;2500;-1;2;1694;-136412;149238;0.79;950;-53419.6;73013.6;0.86;0
1;600;2500;21;0;2706;-3090;45530;1;1617;-19000;51080;0.97;2
1;600;2500;21;1;1688;8010;45430;1.01;945;-28210;36240;0.93;1
1;600;2500;21;2;1688;-36360;62440;0.94;945;-6150;32420;0.98;2
1;1000;0;-1;0;2298;-146362;177578;0.86;1403;-103256;112420;0.85;0
1;1000;0;-1;1;1692;-43950;52930;0.94;950;-30930;43210;0.94;1
1;1000;0;-1;2;1694;-231748;264689.6;0.73;950;-75999.6;115614;0.85;1
1;1000;0;21;0;2261;-19630;78900;0.98;1383;-32070;56340;0.95;2
1;1000;0;21;1;1688;-56740;63260;0.92;945;-27900;37730;0.94;1
1;1000;0;21;2;1688;-48050;102380;0.94;945;13540;42750;1.03;2
1;1000;300;-1;0;3242;-61625.6;77929.6;0.92;1878;-34203.2;52227.2;0.92;1
1;1000;300;-1;1;1692;-760;22620;1;950;-17250;27010;0.92;1
1;1000;300;-1;2;1694;-62963.6;70191.2;0.85;950;-5298;26302.4;0.98;1
1;1000;300;21;0;3207;-26160;49890;0.96;1864;-18900;42890;0.96;3
1;1000;300;21;1;1688;800;23600;1;945;-18030;27690;0.92;1
1;1000;300;21;2;1688;-36970;46450;0.91;945;1080;21920;1.01;1
1;1000;600;-1;0;2983;-179982.4;194344.4;0.82;1817;-58696.4;77452;0.91;2
1;1000;600;-1;1;1692;-30250;42170;0.95;950;-11600;20410;0.97;1
1;1000;600;-1;2;1694;-134323.6;157320.8;0.79;950;-20422.4;34581.2;0.94;1
1;1000;600;21;0;2927;-89550;107710;0.9;1785;-30380;54300;0.95;2
1;1000;600;21;1;1688;-27670;39310;0.95;945;-11360;19840;0.97;1
1;1000;600;21;2;1688;-69190;92700;0.88;945;-8430;25410;0.98;2
1;1000;1200;-1;0;2683;-86973.2;117168.8;0.92;1654;-103244.8;115621.6;0.86;0
1;1000;1200;-1;1;1692;-26050;36410;0.96;950;-18520;39880;0.96;1
1;1000;1200;-1;2;1694;-162375.2;190080.4;0.79;950;-59666.4;69211.6;0.87;0
1;1000;1200;21;0;2614;6700;37560;1.01;1626;-41020;58520;0.94;1
1;1000;1200;21;1;1688;-30560;36720;0.95;945;-14940;35740;0.97;1
1;1000;1200;21;2;1688;-48050;80810;0.93;945;-18280;35630;0.96;1
1;1000;2500;-1;0;2406;-90588.8;144559.6;0.91;1469;-94743.2;99847.2;0.87;0
1;1000;2500;-1;1;1692;13550;48940;1.02;950;-5930;33220;0.99;2
1;1000;2500;-1;2;1694;-194288.4;220135.6;0.77;950;-75292;103524.8;0.85;0
1;1000;2500;21;0;2362;29420;51960;1.03;1443;-20610;57900;0.97;3
1;1000;2500;21;1;1688;1170;53590;1;945;-9070;34250;0.98;1
1;1000;2500;21;2;1688;-39890;79350;0.95;945;120;40180;1;2
1;1800;0;-1;0;1960;-153637.2;186268.8;0.86;1154;-118812.4;142532;0.83;1
1;1800;0;-1;1;1692;-41990;68740;0.95;950;-4120;32670;0.99;1
1;1800;0;-1;2;1694;-305766.8;314742.4;0.7;950;-136526;161492.4;0.78;0
