entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-12 12:00:00,2012-01-13 00:30:00,L,4606.0,4605.25,-19.0,24,MAXBARS
2012-01-18 11:30:00,2012-01-18 23:30:00,L,4628.75,4646.25,346.0,24,MAXBARS
2012-01-26 15:00:00,2012-01-27 03:30:00,L,4696.75,4677.25,-394.0,24,MAXBARS
2012-02-03 15:00:00,2012-02-06 04:30:00,L,4729.0,4743.0,276.0,24,MAXBARS
2012-02-08 21:00:00,2012-02-09 09:30:00,L,4767.75,4766.5,-29.0,24,MAXBARS
2012-02-27 17:30:00,2012-02-28 06:00:00,L,4837.25,4836.5,-19.0,24,MAXBARS
2012-03-19 17:00:00,2012-03-20 05:30:00,L,4954.25,4956.25,36.0,24,MAXBARS
2012-04-06 15:00:00,2012-04-09 11:30:00,S,4950.25,4959.75,-194.0,24,MAXBARS
2012-04-10 18:00:00,2012-04-11 06:30:00,S,4946.5,4935.0,226.0,24,MAXBARS
2012-04-27 14:30:00,2012-04-30 04:00:00,L,4963.0,4970.75,151.0,24,MAXBARS
2012-05-01 18:00:00,2012-05-02 06:30:00,L,4981.5,4955.0,-534.0,24,MAXBARS
2012-05-03 20:00:00,2012-05-04 08:30:00,S,4930.25,4927.25,56.0,24,MAXBARS
2012-05-29 16:30:00,2012-05-30 05:00:00,L,4789.5,4776.75,-259.0,24,MAXBARS
2012-07-05 13:00:00,2012-07-06 01:30:00,L,4884.0,4878.0,-124.0,24,MAXBARS
2012-07-10 17:30:00,2012-07-11 06:00:00,S,4824.25,4814.25,196.0,24,MAXBARS
2012-08-07 10:00:00,2012-08-07 22:00:00,L,4941.0,4948.25,141.0,24,MAXBARS
2012-09-13 20:30:00,2012-09-14 09:00:00,L,5075.5,5072.0,-74.0,24,MAXBARS
2012-10-24 18:30:00,2012-10-25 07:00:00,S,4892.0,4903.0,-224.0,24,MAXBARS
2012-10-25 18:00:00,2012-10-26 06:30:00,S,4886.75,4874.25,246.0,24,MAXBARS
2012-11-07 16:30:00,2012-11-08 05:00:00,S,4867.75,4861.25,126.0,24,MAXBARS
2012-11-14 17:00:00,2012-11-15 05:30:00,S,4793.5,4776.5,336.0,24,MAXBARS
2012-11-16 16:00:00,2012-11-19 05:30:00,S,4753.25,4783.25,-604.0,24,MAXBARS
2012-11-23 14:30:00,2012-11-26 07:00:00,L,4852.25,4868.5,321.0,24,MAXBARS
2012-11-28 21:30:00,2012-11-29 10:00:00,L,4904.75,4924.0,381.0,24,MAXBARS
2012-12-05 16:00:00,2012-12-06 04:30:00,S,4890.75,4881.5,181.0,24,MAXBARS
2012-12-11 16:30:00,2012-12-12 05:00:00,L,4925.25,4928.0,51.0,24,MAXBARS
2012-12-26 17:30:00,2012-12-27 06:00:00,S,4882.0,4879.75,41.0,24,MAXBARS
2012-12-27 16:30:00,2012-12-28 05:00:00,S,4867.75,4871.25,-74.0,24,MAXBARS
