entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-13 02:00:00,2012-01-17 08:15:00,L,4608.25,4622.0,271.0,184,MAXBARS
2012-01-19 03:15:00,2012-01-23 03:45:00,L,4648.25,4652.0,71.0,184,MAXBARS
2012-01-24 15:45:00,2012-01-26 15:15:00,S,4645.5,4695.25,-999.0,184,MAXBARS
2012-01-31 01:45:00,2012-02-02 01:15:00,L,4690.75,4716.5,511.0,184,MAXBARS
2012-02-02 01:45:00,2012-02-06 02:15:00,L,4719.5,4743.25,471.0,184,MAXBARS
2012-02-08 14:30:00,2012-02-10 14:00:00,L,4760.0,4765.5,106.0,184,MAXBARS
2012-02-10 16:15:00,2012-02-14 16:45:00,S,4760.0,4788.25,-569.0,184,MAXBARS
2012-02-15 03:30:00,2012-02-17 02:45:00,L,4802.75,4819.75,336.0,184,MAXBARS
2012-02-17 03:00:00,2012-02-21 09:15:00,L,4820.0,4811.25,-179.0,184,MAXBARS
2012-02-24 00:30:00,2012-02-28 01:00:00,L,4829.5,4833.75,81.0,184,MAXBARS
2012-02-28 13:15:00,2012-03-01 12:45:00,L,4842.0,4858.0,316.0,184,MAXBARS
2012-03-02 16:30:00,2012-03-06 15:45:00,L,4874.5,4811.75,-1259.0,179,SL
2012-03-06 17:45:00,2012-03-08 17:45:00,S,4816.75,4856.5,-799.0,184,MAXBARS
2012-03-09 14:45:00,2012-03-13 14:15:00,L,4870.75,4887.0,321.0,184,MAXBARS
2012-03-13 14:30:00,2012-03-15 14:00:00,L,4887.5,4942.5,1096.0,184,MAXBARS
2012-03-20 20:30:00,2012-03-22 20:00:00,L,4965.75,4955.25,-214.0,184,MAXBARS
2012-03-23 15:15:00,2012-03-26 22:15:00,S,4945.75,5008.5,-1259.0,113,SL
2012-03-27 00:45:00,2012-03-29 00:15:00,L,5009.75,4998.75,-224.0,184,MAXBARS
2012-03-29 15:30:00,2012-04-02 16:00:00,S,4980.5,4978.25,41.0,184,MAXBARS
2012-04-09 03:15:00,2012-04-11 02:45:00,S,4949.25,4933.75,306.0,184,MAXBARS
2012-04-13 03:30:00,2012-04-16 16:00:00,L,4971.0,4908.25,-1259.0,139,SL
2012-04-16 17:15:00,2012-04-18 16:45:00,S,4903.75,4952.0,-969.0,184,MAXBARS
2012-04-18 21:15:00,2012-04-20 20:45:00,L,4959.0,4912.75,-929.0,184,MAXBARS
2012-04-20 22:00:00,2012-04-24 22:30:00,S,4901.75,4863.25,766.0,184,MAXBARS
2012-04-25 13:15:00,2012-04-27 12:45:00,L,4914.75,4955.5,811.0,184,MAXBARS
2012-05-02 13:30:00,2012-05-04 13:00:00,S,4940.75,4930.0,211.0,184,MAXBARS
2012-05-04 13:45:00,2012-05-08 14:15:00,S,4923.0,4859.0,1276.0,184,MAXBARS
2012-05-16 17:45:00,2012-05-18 17:15:00,S,4804.75,4739.5,1301.0,184,MAXBARS
2012-05-18 17:30:00,2012-05-22 18:00:00,S,4735.25,4783.25,-964.0,184,MAXBARS
2012-05-24 13:15:00,2012-05-28 17:30:00,L,4783.0,4769.25,-279.0,184,MAXBARS
2012-05-30 15:45:00,2012-06-01 15:15:00,S,4761.75,4710.5,1021.0,184,MAXBARS
2012-06-04 00:30:00,2012-06-05 23:30:00,S,4681.25,4720.25,-784.0,184,MAXBARS
2012-06-07 00:30:00,2012-06-11 01:45:00,L,4784.25,4821.5,741.0,184,MAXBARS
2012-06-11 02:00:00,2012-06-11 21:15:00,L,4822.0,4759.25,-1259.0,77,SL
2012-06-12 00:30:00,2012-06-13 23:30:00,S,4744.5,4760.75,-329.0,184,MAXBARS
2012-06-18 00:30:00,2012-06-19 23:30:00,L,4819.25,4848.25,576.0,184,MAXBARS
2012-06-22 13:45:00,2012-06-26 14:15:00,S,4784.75,4767.25,346.0,184,MAXBARS
2012-06-28 14:30:00,2012-06-29 20:30:00,S,4778.75,4841.5,-1259.0,117,SL
2012-07-04 03:30:00,2012-07-06 08:45:00,L,4879.75,4874.75,-104.0,184,MAXBARS
2012-07-06 15:45:00,2012-07-10 16:15:00,S,4860.75,4843.5,341.0,184,MAXBARS
2012-07-11 16:00:00,2012-07-13 15:30:00,S,4804.75,4782.0,451.0,184,MAXBARS
2012-07-13 17:00:00,2012-07-17 17:30:00,L,4806.0,4795.5,-214.0,184,MAXBARS
2012-07-18 15:45:00,2012-07-20 15:15:00,L,4830.75,4879.25,966.0,184,MAXBARS
2012-07-23 00:30:00,2012-07-24 23:30:00,S,4847.0,4760.75,1721.0,184,MAXBARS
2012-07-27 15:15:00,2012-07-31 15:45:00,L,4830.25,4886.75,1126.0,184,MAXBARS
2012-08-02 14:45:00,2012-08-03 20:30:00,S,4854.75,4917.5,-1259.0,116,SL
2012-08-06 13:15:00,2012-08-08 12:45:00,L,4919.0,4945.0,516.0,184,MAXBARS
2012-08-10 16:00:00,2012-08-14 16:30:00,S,4939.75,4971.25,-634.0,184,MAXBARS
2012-08-14 16:45:00,2012-08-16 16:15:00,L,4971.5,4980.75,181.0,184,MAXBARS
2012-08-16 16:30:00,2012-08-20 17:00:00,L,4981.25,5011.25,596.0,184,MAXBARS
2012-08-22 15:45:00,2012-08-24 15:15:00,S,4997.75,4994.25,66.0,184,MAXBARS
2012-08-24 15:45:00,2012-08-28 16:15:00,S,4990.25,5016.25,-524.0,184,MAXBARS
2012-08-29 20:00:00,2012-08-31 19:30:00,L,5027.25,4998.0,-589.0,184,MAXBARS
2012-09-07 13:15:00,2012-09-11 13:45:00,L,5070.25,5028.5,-839.0,184,MAXBARS
2012-09-11 21:30:00,2012-09-13 22:15:00,S,5018.0,5066.0,-964.0,184,MAXBARS
