entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-11 19:45:00,2012-04-10 19:30:00,L,4596.25,4921.75,6506.0,5824,TRAIL
2012-04-12 16:00:00,2012-04-23 15:45:00,L,4954.5,4873.0,-1634.0,642,TRAIL
2012-04-25 09:45:00,2012-05-04 16:45:00,L,4905.75,4883.25,-454.0,675,TRAIL
2012-05-11 16:45:00,2012-05-17 17:30:00,L,4867.25,4770.0,-1949.0,371,TRAIL
2012-05-24 12:30:00,2012-06-01 19:15:00,L,4783.0,4700.25,-1659.0,544,TRAIL
2012-06-05 02:15:00,2012-06-25 17:45:00,L,4711.0,4764.5,1066.0,1349,TRAIL
2012-07-03 06:00:00,2012-07-11 20:15:00,L,4857.0,4792.0,-1304.0,576,TRAIL
2012-07-18 15:45:00,2012-07-23 15:45:00,L,4830.75,4794.25,-734.0,276,TRAIL
2012-07-27 15:15:00,2012-09-26 16:30:00,L,4830.25,5014.75,3686.0,3928,TRAIL
2012-10-03 16:30:00,2012-10-09 17:00:00,L,5051.25,4983.75,-1354.0,370,TRAIL
2012-11-21 03:00:00,2012-12-27 16:30:00,L,4840.25,4862.0,431.0,2256,TRAIL
2013-01-08 15:45:00,2013-04-17 19:00:00,L,4971.5,5011.0,786.0,6395,TRAIL
2013-05-08 16:15:00,2013-06-03 17:45:00,L,5209.75,5206.0,-79.0,1641,TRAIL
2013-06-04 14:45:00,2013-06-13 07:30:00,L,5248.0,5159.5,-1774.0,612,TRAIL
2013-06-26 12:00:00,2013-10-08 18:30:00,L,5132.25,5416.0,5671.0,6779,TRAIL
2013-10-22 14:30:00,2013-12-18 20:15:00,L,5627.5,5689.5,1236.0,3761,TRAIL
2014-01-13 17:00:00,2014-01-24 22:00:00,L,5836.75,5805.0,-639.0,827,TRAIL
2014-02-13 16:30:00,2014-03-13 20:15:00,L,5903.75,5910.25,126.0,1837,TRAIL
2014-03-21 07:30:00,2014-03-24 15:15:00,L,5975.25,5889.5,-1719.0,123,TRAIL
