entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-10 17:15:00,2012-02-28 16:00:00,L,4595.25,4845.0,4991.0,3177,TP
2012-02-28 17:15:00,2012-03-06 09:30:00,L,4851.75,4826.5,-509.0,430,SL
2012-03-12 18:45:00,2012-05-07 00:15:00,L,4874.75,4840.5,-689.0,3583,SL
2012-05-15 18:15:00,2012-05-15 21:15:00,L,4843.75,4818.5,-509.0,12,SL
2012-05-21 18:30:00,2012-06-01 12:00:00,L,4752.5,4727.25,-509.0,770,SL
2012-06-05 02:15:00,2012-08-13 13:15:00,L,4711.0,4960.75,4991.0,4511,TP
2012-08-13 20:30:00,2012-10-19 18:00:00,L,4959.75,4934.5,-509.0,4471,SL
2012-10-30 23:30:00,2012-10-31 16:15:00,L,4901.0,4875.75,-509.0,67,SL
2012-11-06 17:45:00,2012-11-07 14:15:00,L,4917.0,4891.75,-509.0,79,SL
2012-11-19 00:30:00,2013-02-19 22:45:00,L,4783.0,5032.75,4991.0,5777,TP
2013-02-20 05:00:00,2013-02-20 17:45:00,L,5034.75,5009.5,-509.0,51,SL
2013-02-25 09:15:00,2013-02-25 21:45:00,L,4987.75,4962.5,-509.0,50,SL
2013-02-25 22:00:00,2013-02-27 17:15:00,S,4962.5,4987.75,-509.0,165,SL
2013-02-27 17:30:00,2013-03-01 15:45:00,L,4990.75,4965.5,-509.0,177,SL
2013-03-05 01:00:00,2013-04-18 20:15:00,L,5012.5,4987.25,-509.0,2927,SL
2013-04-22 02:45:00,2013-05-20 16:30:00,L,5032.5,5282.25,4991.0,1897,TP
2013-05-20 17:15:00,2013-05-22 20:15:00,L,5281.25,5256.0,-509.0,196,SL
2013-05-27 01:00:00,2013-05-29 17:15:00,L,5256.0,5230.75,-509.0,227,SL
2013-06-17 09:15:00,2013-06-20 10:15:00,L,5221.25,5196.0,-509.0,280,SL
2013-06-26 17:15:00,2013-08-02 21:30:00,L,5141.0,5390.75,4991.0,2466,TP
2013-08-05 09:30:00,2013-08-06 17:00:00,L,5396.5,5371.25,-509.0,122,SL
