entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-10 17:15:00,2012-01-12 16:45:00,L,4595.25,4582.0,-269.0,184,MAXBARS
2012-01-12 18:45:00,2012-01-13 16:30:00,L,4598.5,4573.25,-509.0,84,SL
2012-01-17 03:00:00,2012-01-19 02:30:00,L,4610.75,4645.5,691.0,184,MAXBARS
2012-01-19 03:15:00,2012-01-23 03:45:00,L,4648.25,4652.0,71.0,184,MAXBARS
2012-01-23 17:15:00,2012-01-24 15:45:00,L,4670.5,4645.25,-509.0,87,SL
2012-01-24 22:45:00,2012-01-26 22:00:00,L,4677.5,4677.0,-14.0,184,MAXBARS
2012-01-30 20:00:00,2012-02-01 19:30:00,L,4689.75,4717.0,541.0,184,MAXBARS
2012-02-01 19:45:00,2012-02-03 19:15:00,L,4717.25,4752.75,706.0,184,MAXBARS
2012-02-07 01:30:00,2012-02-09 01:00:00,L,4753.0,4764.25,221.0,184,MAXBARS
2012-02-09 17:15:00,2012-02-13 17:45:00,L,4775.75,4784.75,176.0,184,MAXBARS
2012-02-13 18:00:00,2012-02-15 17:30:00,L,4786.0,4821.75,711.0,184,MAXBARS
2012-02-15 17:45:00,2012-02-15 19:00:00,L,4822.25,4797.0,-509.0,5,SL
2012-02-21 18:15:00,2012-02-21 20:45:00,L,4825.0,4799.75,-509.0,10,SL
2012-02-23 22:15:00,2012-02-27 23:00:00,L,4825.75,4833.75,156.0,184,MAXBARS
2012-02-28 17:15:00,2012-03-01 16:45:00,L,4851.75,4854.75,56.0,184,MAXBARS
2012-03-01 19:45:00,2012-03-05 17:30:00,L,4870.5,4845.25,-509.0,173,SL
2012-03-08 17:15:00,2012-03-12 16:45:00,L,4852.5,4865.75,261.0,184,MAXBARS
2012-03-12 18:45:00,2012-03-14 18:15:00,L,4874.75,4938.25,1266.0,184,MAXBARS
2012-03-14 18:30:00,2012-03-16 18:00:00,L,4938.75,4939.25,6.0,184,MAXBARS
2012-03-19 01:15:00,2012-03-21 00:45:00,L,4945.0,4963.75,371.0,184,MAXBARS
2012-03-21 01:45:00,2012-03-23 01:15:00,L,4969.5,4964.25,-109.0,184,MAXBARS
2012-03-26 17:15:00,2012-03-28 16:30:00,L,4983.5,5012.0,566.0,184,MAXBARS
2012-04-02 18:00:00,2012-04-04 16:15:00,L,5004.0,4978.75,-509.0,179,SL
2012-04-12 17:15:00,2012-04-13 16:30:00,L,4964.75,4939.5,-509.0,90,SL
2012-04-17 17:15:00,2012-04-19 16:45:00,L,4940.75,4962.5,431.0,184,MAXBARS
2012-04-19 17:15:00,2012-04-19 18:15:00,L,4959.0,4933.75,-509.0,4,SL
2012-04-24 20:00:00,2012-04-24 22:45:00,S,4855.25,4880.5,-509.0,11,SL
2012-04-24 23:00:00,2012-04-26 22:15:00,L,4905.75,4950.75,896.0,184,MAXBARS
2012-04-26 22:45:00,2012-04-30 23:15:00,L,4950.25,4949.25,-24.0,184,MAXBARS
2012-05-01 17:15:00,2012-05-01 22:15:00,L,4975.0,4949.75,-509.0,20,SL
2012-05-15 18:15:00,2012-05-15 21:15:00,L,4843.75,4818.5,-509.0,12,SL
2012-05-21 18:30:00,2012-05-23 18:00:00,L,4752.5,4733.25,-389.0,184,MAXBARS
2012-05-29 17:15:00,2012-05-29 18:15:00,L,4794.0,4768.75,-509.0,4,SL
2012-06-04 17:15:00,2012-06-04 22:00:00,S,4684.25,4709.5,-509.0,19,SL
2012-06-05 02:15:00,2012-06-07 02:15:00,L,4711.0,4786.25,1501.0,184,MAXBARS
2012-06-07 02:30:00,2012-06-08 02:30:00,L,4786.75,4761.5,-509.0,91,SL
2012-06-11 00:30:00,2012-06-11 13:45:00,L,4829.0,4803.75,-509.0,53,SL
2012-06-13 17:15:00,2012-06-13 21:15:00,L,4788.0,4762.75,-509.0,16,SL
2012-06-18 00:30:00,2012-06-18 10:30:00,L,4819.25,4794.0,-509.0,40,SL
2012-06-19 02:45:00,2012-06-21 02:15:00,L,4832.5,4851.25,371.0,184,MAXBARS
2012-06-27 17:15:00,2012-06-28 10:45:00,L,4803.0,4777.75,-509.0,67,SL
2012-07-03 17:15:00,2012-07-06 02:15:00,L,4867.25,4879.75,246.0,184,MAXBARS
2012-07-17 18:30:00,2012-07-19 18:00:00,L,4821.25,4885.25,1276.0,184,MAXBARS
2012-07-19 18:15:00,2012-07-20 18:15:00,L,4885.75,4860.5,-509.0,93,SL
2012-07-24 22:45:00,2012-07-26 13:15:00,S,4779.5,4804.75,-509.0,149,SL
2012-07-26 17:15:00,2012-07-30 17:45:00,L,4812.75,4869.5,1131.0,184,MAXBARS
2012-08-06 17:15:00,2012-08-08 16:45:00,L,4926.75,4939.0,241.0,184,MAXBARS
2012-08-09 17:15:00,2012-08-13 17:45:00,L,4956.75,4949.75,-144.0,184,MAXBARS
2012-08-13 20:30:00,2012-08-15 20:00:00,L,4959.75,4965.75,116.0,184,MAXBARS
2012-08-16 02:30:00,2012-08-20 03:00:00,L,4979.25,5014.25,696.0,184,MAXBARS
2012-08-20 18:00:00,2012-08-22 20:45:00,L,5017.25,5016.5,-19.0,184,MAXBARS
2012-08-27 00:30:00,2012-08-28 23:30:00,L,5022.0,5020.0,-44.0,184,MAXBARS
