n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_bb_length,p_bb_num_devs,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
618,135854.21227965102,352531.557004197,216677.34472454595,1.6269885411987006,0.540453074433657,219.82882245898224,1055.4837036053802,-762.9483969174154,16174.542639242121,14022.40015766985,0.1617454263924212,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.08296190665567085,8.399261438777637,73.57789783120965,2.6035863360943656,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,4000,0,0,282,72790.59475800474,388351.57234604994,315560.9775880452,1.2306704565132593,0.46099290780141844,258.1226764468253,2987.319787277307,-2076.0590630792444,29268.577354848378,25564.980433339282,0.2926857735484838,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,0.6750606824255951,2.4869877983989843,113.39018236500374,2.2726298549355173,True,True,True
1167,144696.93433519983,495709.68698676035,351012.7526515605,1.4122270009911462,0.4721508140531277,123.99051785364166,899.6546043316885,-569.8258971616242,13964.49528833045,12676.125371841626,0.1396449528833045,10,8,0.8,116.7,23.091340368198637,0.19786924051584093,57,0.06626213376591293,10.361773293454942,112.62550983789045,1.580444344100694,2012-01-10 10:45:00,2021-06-01 23:00:00,RBB_M,5,10,2.5,1,53,46,-48,37,7,6,-1,1000,0,0,585,113044.04481377525,503844.9715202741,390800.9267064988,1.289262478895487,0.30427350427350425,193.23768344235086,2830.5897276419896,-960.1988371167046,20981.349439595368,18798.09625691164,0.20981349439595368,5,5,1.0,117.0,31.534108517603602,0.269522295022253,70,0.21119840393264638,5.387834807252291,108.57793917745238,2.009455849955062,True,True,True
1097,123442.91717883924,507250.381368055,383807.4641892158,1.3216271925289662,0.5050136736554239,112.52772760149429,915.6144068015433,-706.827742521576,23675.201013863254,19146.306168645853,0.23675201013863253,10,8,0.8,109.7,20.95733761716884,0.19104227545276972,51,0.08093619486912669,5.214017701752817,210.39437584402853,1.1015800596586525,2012-01-10 10:45:00,2021-06-01 23:00:00,RBB_M,5,10,2.5,1,53,46,-48,37,7,6,-1,2000,10000,0,520,104239.91525852896,596811.7303697413,492571.8151112124,1.2116237918220996,0.4230769230769231,200.46137549717108,2712.7805925897333,-1641.9060503707078,27622.356475337394,26323.89767836759,0.27622356475337395,5,5,1.0,104.0,26.48018126826174,0.25461712757943983,66,0.0958462022462411,3.77375171997362,137.79390871099358,1.8167856789541565,True,True,True
