n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_choice,p_level_shift,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
182,74317.0,117066.0,42749.0,2.738450022222742,0.5824175824175825,408.33516483516485,1104.3962264150944,-562.4868421052631,4928.0,3368.0,0.04928,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.05370238303483725,15.080560064935066,12.068517297522774,8.761627535895235,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,4000,0,176,-21644.0,77687.0,99331.0,0.7821022641471443,0.21022727272727273,-122.97727272727273,2099.6486486486488,-714.6115107913669,38054.0,35981.0,0.38054,5,1,0.2,35.2,19.051509126575773,0.5412360547322662,14,0.0,0.0,0.0,0.0,False,False,False
174,65554.0,110782.0,45228.0,2.4494118687538693,0.6149425287356322,376.7471264367816,1035.3457943925234,-675.044776119403,4233.0,3609.0,0.04233,10,9,0.9,17.4,6.374950980203691,0.3663764931151547,7,0.04562650639167709,15.486416253248287,11.235653049394392,8.722262824076928,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,3000,0,164,-28326.0,85152.0,113478.0,0.7503833342145614,0.25609756097560976,-172.71951219512195,2027.4285714285713,-930.1475409836065,43728.0,42348.0,0.43728,5,0,0.0,32.8,17.814600753314682,0.5431280717473989,12,0.0,0.0,0.0,0.0,False,False,False
164,69119.0,111012.0,41893.0,2.649893777003318,0.6524390243902439,421.4573170731707,1037.4953271028037,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.04327319550340717,12.654522153057489,12.959793978500848,8.589761488208078,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,3000,0,150,-35090.0,86019.0,121109.0,0.7102610045496206,0.29333333333333333,-233.93333333333334,1954.9772727272727,-1142.5377358490566,46366.0,44359.0,0.46366,5,0,0.0,30.0,15.811388300841896,0.5270462766947299,12,0.0,0.0,0.0,0.0,False,False,False
182,72727.0,115476.0,42749.0,2.7012561697349646,0.5824175824175825,399.5989010989011,1089.3962264150944,-562.4868421052631,4928.0,3368.0,0.04928,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.06175148156805588,14.75791396103896,12.332366246373425,8.57417395485626,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,4500,0,176,-33384.0,66910.0,100294.0,0.6671386124793108,0.19886363636363635,-189.6818181818182,1911.7142857142858,-711.3049645390071,45729.0,43838.0,0.45729,5,0,0.0,35.2,19.051509126575773,0.5412360547322662,14,0.0,0.0,0.0,0.0,False,False,False
164,73039.0,120157.0,47118.0,2.550129462201282,0.6524390243902439,445.359756097561,1122.96261682243,-826.6315789473684,6233.0,5609.0,0.06233,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.08202467175070853,11.718113268089203,13.995427100590096,8.497002806154846,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1500,6000,0,135,-47195.0,78680.0,125875.0,0.62506454816286,0.2962962962962963,-349.5925925925926,1967.0,-1325.0,64306.0,60730.0,0.64306,5,2,0.4,27.0,12.328828005937952,0.4566232594791834,12,0.0,0.0,0.0,0.0,False,False,False
182,66412.0,111560.0,45148.0,2.4709843182422255,0.6043956043956044,364.9010989010989,1014.1818181818181,-627.0555555555555,4223.0,3599.0,0.04223,10,9,0.9,18.2,6.6452990903344595,0.36512632364475056,7,0.0600945612238752,15.726260951929907,11.5729988556285,8.458005928121525,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,4000,48,165,-33655.0,82850.0,116505.0,0.7111282777563195,0.24242424242424243,-203.96969696969697,2071.25,-932.04,47411.0,43835.0,0.47411,5,1,0.2,33.0,17.81010948871455,0.5397002875368045,12,0.0,0.0,0.0,0.0,False,False,False
164,71469.0,118587.0,47118.0,2.51680886285496,0.6524390243902439,435.7865853658537,1108.2897196261683,-826.6315789473684,6233.0,5609.0,0.06233,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.06983447368789265,11.466228140542276,14.302872574123045,8.314356625269797,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1500,5000,0,136,-44714.0,81161.0,125875.0,0.6447745779543198,0.3014705882352941,-328.77941176470586,1979.5365853658536,-1325.0,61110.0,57534.0,0.6111,5,2,0.4,27.2,12.687001221722966,0.4664338684456973,12,0.0,0.0,0.0,0.0,False,False,False
164,71394.0,118512.0,47118.0,2.5152171144785433,0.6524390243902439,435.3292682926829,1107.588785046729,-826.6315789473684,6233.0,5609.0,0.06233,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.0559010561111578,11.454195411519333,14.317897862565482,8.305631489240257,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1500,4000,0,136,-36849.0,87313.0,124162.0,0.7032183759926548,0.3161764705882353,-270.9485294117647,2030.5348837209303,-1335.0752688172042,52490.0,48914.0,0.5249,5,2,0.4,27.2,12.687001221722966,0.4664338684456973,12,0.0,0.0,0.0,0.0,False,False,False
163,70098.0,111991.0,41893.0,2.6732628362733633,0.6503067484662577,430.0490797546012,1056.5188679245282,-734.9649122807018,6151.0,4609.0,0.06151,10,9,0.9,16.3,5.675385449465084,0.34818315640890085,7,0.0684898285257782,11.396195740529995,14.303018631059373,8.259400275205927,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,0,0,148,-70262.0,57346.0,127608.0,0.44939188765594634,0.24324324324324326,-474.7432432432432,1592.9444444444443,-1139.357142857143,74490.0,71164.0,0.7449,5,1,0.2,29.6,15.564061166674977,0.525812877252533,12,0.0,0.0,0.0,0.0,False,False,False
182,62877.0,104867.0,41990.0,2.497427959037866,0.5879120879120879,345.47802197802196,980.0654205607476,-559.8666666666667,3992.0,3368.0,0.03992,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.039617030074590075,15.750751503006011,11.555004214577668,8.236230887460803,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,2500,0,177,-6883.0,87894.0,94777.0,0.9273768952382963,0.24858757062146894,-38.887005649717516,1997.590909090909,-712.609022556391,26934.0,25677.0,0.26934,5,3,0.6,35.4,19.417517864031954,0.5485174537862134,14,0.0,0.0,0.0,0.0,False,False,False
