n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_long_offset_ticks,p_short_offset_ticks,p_direction,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
160,55685.0,97545.0,41860.0,2.330267558528428,0.65625,348.03125,929.0,-761.0909090909091,9198.0,8464.0,0.09198,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.0896291640477687,6.054033485540335,26.428661219358894,5.466066278346475,2012-03-05 17:30:00,2021-05-24 12:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2000,5000,48,93,47528.0,116267.0,68739.0,1.6914269919550764,0.5591397849462365,511.0537634408602,2235.903846153846,-1676.560975609756,17557.0,16335.0,0.17557,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.1050117825281939,2.707068405764083,34.35450681703417,5.8095807282827865,True,True,True
160,52890.0,97545.0,44655.0,2.1844138394356736,0.65625,330.5625,929.0,-811.9090909090909,8493.0,7759.0,0.08493,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.09436566458687842,6.227481455316143,25.692569483834372,5.4028931271758935,2012-03-05 17:30:00,2021-05-24 12:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,5000,48,93,49428.0,116303.0,66875.0,1.7391102803738319,0.5698924731182796,531.483870967742,2194.396226415094,-1671.875,20891.0,18635.0,0.20891,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.10097515578214777,2.365994926044708,39.3069312940034,5.538776355623892,True,True,True
160,56990.0,96969.0,39979.0,2.425498386652993,0.65,356.1875,932.3942307692307,-713.9107142857143,7738.0,7004.0,0.07738,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.08757676785400947,7.364952184026881,21.724513072468856,6.0991268550672775,2012-03-05 17:30:00,2021-05-24 12:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1500,5000,48,93,44748.0,108223.0,63475.0,1.704970460811343,0.5161290322580645,481.16129032258067,2254.6458333333335,-1410.5555555555557,17167.0,16445.0,0.17167,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.11153571109323322,2.606628997495194,35.678264950388844,5.531549867475523,True,True,True
