n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,ms_blocks_total,ms_blocks_positive,ms_min_avg_trade,ms_mean_avg_trade,ms_min_n_trades,expected_avg_trade,passes_multisplit,passes_expectancy,wf_mean_unger,wf_min_unger,wf_positive_folds,wf_total_folds,wf_positive_folds_oos,wf_total_folds_oos,plateau_ratio,plateau_min,plateau_neighbors,wf_efficiency_used,pattern_null_p,pattern_null_draws,pattern_null_valid_draws,pattern_null_p_lower,pattern_null_min_trades,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,passes_plateau,passes_null,passes_pattern_useful,passes_wfo,good,gate_reason,wfo_net_profit,wfo_max_dd,wfo_avg_trade,wfo_n_trades,wfo_positive_windows,wfo_total_windows,wfo_efficiency,wfo_measured,mc_dd_median,mc_dd_p95,mc_dd_worst
151,112756.0,338486.0,225730.0,1.4995171222256678,0.5033112582781457,746.7284768211921,4453.763157894737,-3009.733333333333,29025.0,25644.0,0.29025,10,7,0.7,15.1,10.737318100903968,0.7110806689340377,5,0.03982936606477704,3.884788975021533,38.86955017914789,6.60206740645452,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,,,,,,,3000,4500,,150,103410.0,332334.0,228924.0,1.4517219688630287,0.49333333333333335,689.4,4491.0,-3012.157894736842,26548.0,24162.0,0.26548,5,3,0.6,30.0,8.648699324175862,0.2882899774725287,18,0.04342906875543951,3.8952086786198583,38.50884827386133,6.373217342591002,True,True,True,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,382.6981132075472,704.8993710691824,45.0,337.3275365081964,True,True,10.77642804876876,0.0,4,5,1,1,1.1027889883127715,0.773284028001314,8.0,0.48930597114620883,0.034482758620689655,200.0,57.0,0.014317132881312047,75.0,77.71428571428571,689.4,68.02012383900929,621.3798761609906,True,True,True,True,True,—,43596.0,27207.0,360.297520661157,121.0,2.0,4.0,0.48930597114620883,True,30270.0,47190.49999999999,78744.0
108,102288.0,149865.0,47577.0,3.1499464026735606,0.1388888888888889,947.1111111111111,9991.0,-511.5806451612903,18382.0,9671.0,0.18382,10,7,0.7,10.8,5.758472019555188,0.5331918536625173,5,0.09767519161582981,5.564574039821564,19.408493664946036,10.522232781518147,2012-02-03 12:00:00,2021-05-07 14:45:00,BO,5,,,,,,,500,10000,,95,56645.0,99910.0,43265.0,2.3092569051196117,0.10526315789473684,596.2631578947369,9991.0,-509.0,24856.0,19851.0,0.24856,5,3,0.6,19.0,8.532291603080617,0.4490679791095062,6,0.1763792038132227,2.2789266173157388,41.68629181745961,5.696730971952221,True,True,True,,,47.0,48.0,35.0,50.0,10.0,5.0,-1.0,0.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,-120.11111111111111,581.8327682521232,27.0,201.33591353676476,True,True,10.464396745769074,1.6628706894142038,5,5,1,1,0.914118518444591,0.2170883522536409,10.0,0.3376628437813161,0.07272727272727272,200.0,54.0,0.038974286100811134,48.0,197.5445245681704,596.2631578947369,209.65145228215766,386.6117056125792,True,True,True,True,True,—,39555.0,12303.0,226.02857142857144,175.0,4.0,5.0,0.3376628437813161,True,13743.0,21567.0,37906.0
149,87909.0,267189.0,179280.0,1.4903447121820617,0.5973154362416108,589.993288590604,3002.123595505618,-2988.0,17734.0,15297.0,0.17734,10,8,0.8,14.9,7.091544260596559,0.47594256782527244,6,0.04528546565198103,4.957088079395511,30.057969036162394,6.673398724521809,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,,,,,,,3000,3000,,125,73875.0,224325.0,150450.0,1.4910269192422732,0.6,591.0,2991.0,-3009.0,24404.0,21261.0,0.24404,5,5,1.0,25.0,5.796550698475776,0.23186202793903102,18,0.04048730964467005,3.0271676774299294,41.2927241962775,5.698497044827016,True,True,True,,,47.0,7.0,-1.0,38.0,5.0,4.0,-1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,72.08108108108108,593.027027027027,37.0,199.55874067475781,True,True,9.077565725105847,2.295393405037816,5,5,1,1,1.415316320655237,0.6831240141240774,11.0,0.3376628437813161,0.08,200.0,49.0,0.042900734340044676,63.0,201.93434343434345,591.0,197.94444444444446,393.05555555555554,True,True,True,True,True,—,39555.0,12303.0,226.02857142857144,175.0,4.0,5.0,0.3376628437813161,True,24162.0,36468.9,60737.0
138,127633.0,333371.0,205738.0,1.620366679952172,0.4057971014492754,924.8768115942029,5953.053571428572,-2509.0,26565.0,23144.0,0.26565,10,8,0.8,13.8,10.107423014794621,0.7324219575938131,5,0.059945311949104074,4.80455486542443,28.722744117900543,8.547366681154536,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,,,,,,,2500,6000,,148,87668.0,323514.0,235846.0,1.3717171374541015,0.36486486486486486,592.3513513513514,5991.0,-2509.0,22911.0,22581.0,0.22911,5,4,0.8,29.6,8.685620300243386,0.29343311825146573,18,0.06833736369028608,3.826458906202261,38.67805812839348,5.894686538321671,True,True,True,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,269.84615384615387,611.6293706293706,44.0,289.8410532327421,True,True,8.904015569380187,3.0615457155899164,5,5,1,1,0.9953307307145352,0.8551789167514307,8.0,0.48930597114620883,0.034482758620689655,200.0,57.0,0.014317132881312047,74.0,-21.1656050955414,592.3513513513514,-41.02970297029703,633.3810543216484,True,True,True,True,True,—,43596.0,27207.0,360.297520661157,121.0,2.0,4.0,0.48930597114620883,True,33614.5,52842.0,88531.0
261,138156.0,327848.0,189692.0,1.7283174830778314,0.2796934865900383,529.3333333333334,4491.068493150685,-1009.0,11802.0,10090.0,0.11802,10,10,1.0,26.1,11.299999999999999,0.43295019157088116,10,0.03254292249341324,11.706151499745806,22.295969773299745,7.33930258016531,2012-01-13 02:00:00,2021-06-01 09:00:00,TF_M,5,,,,,,,1000,4500,,213,76578.0,238023.0,161445.0,1.4743287187587104,0.24882629107981222,359.5211267605634,4491.0,-1009.03125,19715.0,17905.0,0.19715,5,5,1.0,42.6,19.663163529808728,0.461576608680956,17,0.05864608634333621,3.8842505706314987,54.83683303298597,3.856820085077269,True,True,True,,,54.0,9.0,-48.0,17.0,13.0,5.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,133.85714285714286,423.36240714018487,55.0,175.91583407715672,True,True,7.178726886451064,1.499020616983689,5,5,1,1,0.8504989899079477,0.5730158229835403,8.0,0.48930597114620883,0.08163265306122448,200.0,48.0,0.04378294043924412,107.0,102.99412997560297,359.5211267605634,54.754027926960255,304.76709883360314,True,True,True,True,True,—,43596.0,27207.0,360.297520661157,121.0,2.0,4.0,0.48930597114620883,True,20281.5,31378.0,52211.0
163,80383.0,255280.0,174897.0,1.4596019371401454,0.5214723926380368,493.14723926380367,3003.294117647059,-2242.269230769231,16645.0,16065.0,0.16645,10,7,0.7,16.3,5.831809324729334,0.35777971317357876,8,0.04952539716109128,4.82925803544608,33.752596942139505,5.7575545465554665,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,,,,,,,2250,3000,,129,49839.0,194415.0,144576.0,1.3447252656042497,0.5038759689922481,386.3488372093023,2991.0,-2259.0,14201.0,13011.0,0.14201,5,5,1.0,25.8,6.764613810115105,0.2621943337253917,15,0.060013242641305004,3.509541581578762,36.7569373382291,4.883413511150583,True,True,True,,,47.0,7.0,-34.0,28.0,13.0,6.0,-1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,103.5,373.9545454545455,40.0,130.45564706369777,True,True,7.159404980643065,1.2849169202843433,5,5,1,1,1.0111391598227477,0.8693162211262158,10.0,0.3376628437813161,0.20454545454545456,200.0,43.0,0.13728452592052265,65.0,100.5505617977528,386.3488372093023,201.2941176470588,185.0547195622435,True,True,True,True,True,—,39555.0,12303.0,226.02857142857144,175.0,4.0,5.0,0.3376628437813161,True,22653.0,36273.149999999994,57459.0
172,85487.0,257281.0,171794.0,1.4976134207248215,0.5,497.0174418604651,2991.639534883721,-1997.6046511627908,14673.0,14243.0,0.14673,10,9,0.9,17.2,5.844655678480984,0.33980556270238277,8,0.03563114859569291,5.826143256321134,29.522102775860656,6.180384940392486,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,,,,,,,2000,3000,,129,40839.0,179460.0,138621.0,1.2946090419200553,0.46511627906976744,316.5813953488372,2991.0,-2009.0,14208.0,12054.0,0.14208,5,5,1.0,25.8,6.764613810115105,0.2621943337253917,15,0.0732388158378021,2.874366554054054,44.879453463600974,4.000573643283254,True,True,True,,,47.0,7.0,-34.0,28.0,13.0,6.0,-1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,116.0,307.9191919191919,40.0,106.8977742417455,True,True,6.997219911015483,1.8663723163576547,5,5,1,1,0.9279388072274873,0.859051012199475,10.0,0.3376628437813161,0.20454545454545456,200.0,43.0,0.13728452592052265,65.0,130.17525773195877,316.5813953488372,225.04255319148936,91.53884215734783,True,True,True,True,True,—,39555.0,12303.0,226.02857142857144,175.0,4.0,5.0,0.3376628437813161,True,22234.0,34290.25,59738.0
183,91403.0,264276.0,172873.0,1.5287291826948106,0.5792349726775956,499.46994535519127,2493.169811320755,-2245.103896103896,15937.0,13957.0,0.15937,10,9,0.9,18.3,6.034069936618235,0.32973059762941176,7,0.02976926359091058,5.735270126121604,31.90782578252355,5.959494576286874,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,,,,,,,2250,2500,,132,43812.0,179352.0,135540.0,1.3232403718459496,0.5454545454545454,331.90909090909093,2491.0,-2259.0,16390.0,15520.0,0.1639,5,4,0.8,26.4,6.887670143089026,0.26089659632912976,15,0.05685656897653611,2.6730933496034166,49.380991509175566,3.905107787891533,True,True,True,,,47.0,7.0,-34.0,28.0,13.0,6.0,-1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,-2.75,317.35869565217394,40.0,112.07336751323503,True,True,6.756156673434421,0.8057508187416675,5,5,1,1,0.9393201864728294,0.6440953806010419,10.0,0.3376628437813161,0.1590909090909091,200.0,43.0,0.10036362209320929,66.0,51.810810810810814,331.90909090909093,134.12977099236642,197.77931991672452,True,True,True,True,True,—,39555.0,12303.0,226.02857142857144,175.0,4.0,5.0,0.3376628437813161,True,20502.0,30874.899999999998,44660.0
187,76982.0,332354.0,255372.0,1.301450433093683,0.39572192513368987,411.668449197861,4491.27027027027,-2259.929203539823,28915.0,27375.0,0.28915,10,6,0.6,18.7,10.040418317978588,0.5369207656673042,6,0.05853316359668494,2.6623551789728515,70.23856226130783,3.6466101775149986,2012-01-13 02:00:00,2021-06-01 17:00:00,TF_M,5,,,,,,,2250,4500,,196,110736.0,368262.0,257526.0,1.4299993010414482,0.41836734693877553,564.9795918367347,4491.0,-2259.0,24081.0,20628.0,0.24081,5,4,0.8,39.2,17.6,0.4489795918367347,17,0.04055591677503251,4.598480129562726,42.62277850021673,5.484017807710108,True,True,True,,,54.0,9.0,-48.0,17.0,13.0,5.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,-9.0,683.2724612232954,51.0,276.44788786146216,True,True,6.612797414642749,0.17494794936618,5,5,1,1,0.9692014254686123,0.7012272718166761,8.0,0.48930597114620883,0.07407407407407407,200.0,53.0,0.03970099153738133,98.0,120.47745901639344,564.9795918367347,105.98181818181818,458.9977736549165,True,True,True,True,True,—,43596.0,27207.0,360.297520661157,121.0,2.0,4.0,0.48930597114620883,True,32010.0,50393.75,77319.0
202,101057.0,302091.0,201034.0,1.5026861127968403,0.5,500.2821782178218,2991.0,-1990.4356435643565,14370.0,12144.0,0.1437,10,9,0.9,20.2,11.478675881825394,0.5682512812784849,8,0.02959715803952225,7.03249826026444,28.72378954451448,6.286226175682423,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,,,,,,,2000,3000,,166,51506.0,230307.0,178801.0,1.2880632658654034,0.463855421686747,310.27710843373495,2991.0,-2009.0,16635.0,15090.0,0.16635,5,4,0.8,33.2,9.239047569960876,0.2782845653602673,19,0.05807090436065701,3.0962428614367297,53.61336543315342,3.623611986090077,True,True,True,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,133.85714285714286,305.2857142857143,50.0,151.82044186660622,True,True,6.534549391537682,2.862918305685171,5,5,1,1,0.9458593290731452,0.7654181579776517,8.0,0.48930597114620883,0.08771929824561403,200.0,56.0,0.05029107543334196,83.0,-37.70193618761931,310.27710843373495,-9.0,319.27710843373495,True,True,True,True,True,—,43596.0,27207.0,360.297520661157,121.0,2.0,4.0,0.48930597114620883,True,23193.5,36252.0,70720.0
