n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_source,p_n_sess,p_lev_include_sess0,p_breakout_offset_ticks,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
112,104047.0,186076.0,82029.0,2.268417267064087,0.2767857142857143,928.9910714285714,6002.451612903225,-1012.7037037037037,17197.0,14126.0,0.17197,10,8,0.8,11.2,5.688585061331157,0.5079093804759962,5,0.06089555681566984,6.0502994708379365,18.511480388670503,10.670592846668365,2012-02-03 12:00:00,2021-05-04 17:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,1000,6000,0,93,25163.0,101847.0,76684.0,1.3281388555630902,0.1827956989247312,270.5698924731183,5991.0,-1009.0,41550.0,37333.0,0.4155,5,4,0.8,18.6,8.16333265278342,0.4388888523001839,6,0.23808766840201884,0.6056077015643803,153.5647577792791,1.9993890517146389,False,False,False
108,102288.0,149865.0,47577.0,3.1499464026735606,0.1388888888888889,947.1111111111111,9991.0,-511.5806451612903,18382.0,9671.0,0.18382,10,7,0.7,10.8,5.758472019555188,0.5331918536625173,5,0.09767519161582981,5.564574039821564,19.408493664946036,10.522232781518147,2012-02-03 12:00:00,2021-05-07 14:45:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,500,10000,0,95,56645.0,99910.0,43265.0,2.3092569051196117,0.10526315789473684,596.2631578947369,9991.0,-509.0,24856.0,19851.0,0.24856,5,3,0.6,19.0,8.532291603080617,0.4490679791095062,6,0.1763792038132227,2.2789266173157388,41.68629181745961,5.696730971952221,True,True,True
169,132024.0,203918.0,71894.0,2.8363702117005594,0.16568047337278108,781.207100591716,7282.785714285715,-509.88652482269504,13142.0,10180.0,0.13142,10,10,1.0,16.9,6.073713855624086,0.3593913524037921,7,0.05673968369387384,10.045959519099071,16.822683754468883,10.264523782343575,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,500,7500,0,124,8884.0,67419.0,58535.0,1.1517724438370205,0.07258064516129033,71.64516129032258,7491.0,-509.0,18144.0,16288.0,0.18144,5,3,0.6,24.8,6.615134163416491,0.266739280782923,16,0.8432012606933813,0.4896384479717813,253.24808644754617,0.8011681960289514,False,False,False
151,124936.0,278992.0,154056.0,1.8109778262450018,0.7417218543046358,827.3907284768212,2491.0,-3950.153846153846,14840.0,13545.0,0.1484,10,9,0.9,15.1,6.685057965343308,0.44271907055253695,7,0.019938208362681693,8.418867924528302,17.935903182429403,10.230504581454385,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,4000,2500,0,127,36857.0,209244.0,172387.0,1.2138038251144228,0.6614173228346457,290.21259842519686,2491.0,-4009.0,39964.0,36549.0,0.39964,5,3,0.6,25.4,6.590902821313632,0.2594843630438438,15,0.06758553327726076,0.9222550295265739,137.70594459668447,2.1866795388555613,False,False,False
171,131006.0,203918.0,72912.0,2.796768707482993,0.16374269005847952,766.1169590643275,7282.785714285715,-509.87412587412587,13142.0,10180.0,0.13142,10,10,1.0,17.1,5.923681287847955,0.34641411040046516,8,0.05718058714868021,9.968497945518186,17.154038746316964,10.06624970563653,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,6,0,4,0,0,0,47,56,-1,38,5,4,-1,500,7500,0,128,6848.0,67419.0,60571.0,1.1130574037080452,0.0703125,53.5,7491.0,-509.0,18653.0,16797.0,0.18653,5,3,0.6,25.6,7.337574531137657,0.2866240051225647,16,1.0938960280373833,0.36712593148555195,348.6542056074766,0.5900418167981407,False,False,False
203,131228.0,251299.0,120071.0,2.0929200223201274,0.41379310344827586,646.4433497536946,2991.654761904762,-1009.0,9504.0,7099.0,0.09504,10,10,1.0,20.3,4.495553358597805,0.22145583047279827,13,0.02321150973877526,13.807659932659933,14.701984332611941,9.988047818178869,2012-01-10 13:15:00,2021-06-01 17:45:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1000,3000,0,132,2812.0,101694.0,98882.0,1.0284379361258875,0.25757575757575757,21.303030303030305,2991.0,-1009.0,13503.0,11207.0,0.13503,5,2,0.4,26.4,7.1442284397967,0.2706147136286629,15,1.0636557610241821,0.2082500185144042,633.8534850640114,0.2761401815105308,False,False,False
104,90264.0,172293.0,82029.0,2.1003913250192006,0.22115384615384615,867.9230769230769,7491.0,-1012.7037037037037,17197.0,14126.0,0.17197,10,8,0.8,10.4,5.44426303552648,0.5234868303390846,5,0.08298989630417442,5.2488224690352965,19.81396791633431,9.969152622567336,2012-02-03 12:00:00,2021-05-04 18:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,1000,7500,0,92,26172.0,104874.0,78702.0,1.332545551574293,0.15217391304347827,284.4782608695652,7491.0,-1009.0,41550.0,37333.0,0.4155,5,5,1.0,18.4,8.06473806146238,0.43830098160121633,6,0.2862219165520403,0.6298916967509025,146.05685465382854,2.102165599559232,False,False,False
124,95239.0,168103.0,72864.0,2.307078941589811,0.22580645161290322,768.0564516129032,6003.678571428572,-759.0,13947.0,10626.0,0.13947,10,8,0.8,12.4,5.043808085167397,0.4067587165457578,6,0.0665273679900041,6.828636982863698,18.158821491195834,9.796165096678376,2012-02-03 12:00:00,2021-05-04 17:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,750,6000,0,94,29904.0,89865.0,59961.0,1.4987241707109622,0.1595744680851064,318.1276595744681,5991.0,-759.0,33847.0,28842.0,0.33847,5,5,1.0,18.8,8.280096617793781,0.44043067115924367,6,0.20034109149277687,0.8835051850976453,106.39439539860888,2.604621939339069,False,False,False
146,112131.0,239070.0,126939.0,1.8833455439226716,0.821917808219178,768.0205479452055,1992.25,-4882.2692307692305,14150.0,11045.0,0.1415,10,8,0.8,14.6,7.269112738154498,0.49788443412017114,7,0.019004557169738968,7.924452296819788,18.423986230391236,9.725187298904231,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,5000,2000,0,128,51848.0,197109.0,145261.0,1.356929939901281,0.7734375,405.0625,1991.0,-5009.0,20341.0,17270.0,0.20341,5,3,0.6,25.6,6.343500610861482,0.24779299261177662,18,0.038400709767011265,2.54894056339413,50.21694182996451,4.277984863101938,True,True,True
147,120342.0,229319.0,108977.0,2.104288060783468,0.2653061224489796,818.6530612244898,5879.974358974359,-1009.0462962962963,16111.0,14131.0,0.16111,10,8,0.8,14.7,4.405678154382138,0.2997059968967441,9,0.04978311811337688,7.469554962448017,19.679887321134768,9.71498190404072,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1000,6000,0,125,-7125.0,101847.0,108972.0,0.9346162316925448,0.136,-57.0,5991.0,-1009.0,33884.0,30648.0,0.33884,5,2,0.4,25.0,6.44980619863884,0.2579922479455536,15,0.0,0.0,0.0,0.0,False,False,False
