n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_direction,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,p_trailing_stop,p_breakeven,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
402,121799.40204600524,216093.08009026456,94293.67804425929,2.2917027373652283,0.5696517412935324,302.98358717911754,943.6379043242994,-545.050162105545,10787.889198041521,8231.471454956933,0.10787889198041521,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.08202831731658475,11.290383114809634,35.605523383231805,4.393940980770373,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,0,1000,163,-11477.067003599943,117329.65494435451,128806.72194795444,0.9108969871289998,0.2392638036809816,-70.4114540098156,3008.452690880885,-1038.763886677052,37990.805933013486,35931.88820819465,0.37990805933013483,5,2,0.4,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
402,142191.33399896408,260262.1472705632,118070.8132715991,2.204288596470327,0.6218905472636815,353.70978606707484,1041.0485890822529,-776.7816662605204,15787.889198041521,11813.0,0.15787889198041521,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.07026447898767718,9.006354948108125,44.635149548979754,4.240220050778704,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,0,0,163,-22255.2815223093,190058.65141342813,212313.93293573745,0.8951774798074816,0.3803680981595092,-136.53546946202025,3065.4621195714217,-2102.118147878589,41333.743509803375,39841.07993309022,0.4133374350980337,5,2,0.4,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
473,142493.0601824846,286431.16514768836,143938.1049652038,1.9899606516073798,0.6067653276955602,301.2538270242803,998.017997030273,-773.8607793828161,11528.180848656186,9313.606251886304,0.11528180848656186,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.07011569536933915,12.360411590792722,38.267334103367396,4.226253437166685,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,0,0,208,9216.34609376543,236529.10876627735,227312.76267251192,1.040544780615963,0.40865384615384615,44.30935622002611,2782.6953972503215,-1848.0712412399344,45682.53980231647,37583.22869386404,0.4568253980231647,5,3,0.6,41.6,13.734627770711517,0.3301593214113345,21,1.0840521719077583,0.20174767282308784,1030.9908267561273,0.312265262281233,False,False,False
402,106239.29444395352,206438.2919846493,100198.99754069577,2.0602830073305323,0.6019900497512438,264.27685185063063,853.050793324997,-626.2437346293485,9253.761134086533,7384.107428566764,0.09253761134086533,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.053708941026619834,11.48066098795414,35.01540550860187,4.138122443459602,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,2000,0,163,-6578.513834150064,117176.26640588183,123754.78024003189,0.9468423456339179,0.3987730061349693,-40.35898057760775,1802.7117908597206,-1262.8038800003253,29628.022449634533,28964.022449634533,0.29628022449634533,5,3,0.6,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
559,156806.23753532788,267609.9283419853,110803.69080665738,2.4151716102033176,0.5313059033989267,280.51205283600694,901.0435297709942,-422.91485040708926,10946.945663587874,5579.410935760265,0.10946945663587875,10,10,1.0,55.9,10.261091559868278,0.18356156636615883,27,0.06371557762648991,14.32419985940941,39.024867391304866,4.038391321209807,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,0,1000,262,-1259.8342144967755,176256.34213088674,177516.17634538352,0.9929029892349327,0.22900763358778625,-4.808527536247235,2937.605702181446,-878.7929522048689,36578.644454437366,32806.71376587405,0.36578644454437365,5,3,0.6,52.4,14.71869559437928,0.2808911372973145,31,0.0,0.0,0.0,0.0,False,False,False
518,149079.2242054171,314324.32587900886,165245.10167359177,1.902170307594914,0.6042471042471043,287.79773012628783,1004.231073095875,-806.0736667004477,11802.0,10521.468346221816,0.11802,10,10,1.0,51.8,8.874683092933516,0.17132592843500996,28,0.06701805736682226,12.631691595103973,41.00796762650349,3.9903676762246536,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,8,3,0.3,4.0,5,0,1,53,11,-9,53,1,5,4,2000,10000,0,0,0,227,-863.103516632953,254575.65915587897,255438.76267251192,0.996621094200415,0.3964757709251101,-3.8022181349469295,2828.618435065322,-1864.5165158577513,44307.05314523713,39394.67830426242,0.4430705314523713,5,3,0.6,45.4,14.122322755127783,0.31106437786625074,24,0.0,0.0,0.0,0.0,False,False,False
530,154391.4449331703,314645.36563756055,160253.92070439027,1.9634175828868854,0.5943396226415094,291.3046130814534,998.8741766271763,-745.3670730436756,12274.0,10168.0,0.12274,10,9,0.9,53.0,9.23038460737146,0.17415820013908417,27,0.06471213482278562,12.578739199378386,42.13458849883711,3.9605696701101505,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,8,3,0.3,4.0,5,0,1,53,11,52,-10,1,5,4,2000,10000,0,0,0,222,-766.7640857627412,246762.7163547104,247529.48044047315,0.9969023322620064,0.3963963963963964,-3.453892278210546,2804.121776758073,-1847.2349286602475,53718.53980231647,45619.22869386404,0.5371853980231647,5,3,0.6,44.4,13.305637902783918,0.29967652934198014,24,0.0,0.0,0.0,0.0,False,False,False
564,124656.9780972175,212999.61434224437,88342.63624502686,2.4110624653702803,0.450354609929078,221.02301081066935,838.5811588277337,-284.9762459516996,7816.3266366348835,5820.375783522279,0.07816326636634884,10,10,1.0,56.4,10.248902380255165,0.18171812730948875,28,0.058199638695453616,15.948281576790057,35.364311652285075,3.7656460421038678,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,0,500,269,-7211.905857851649,95427.42350479923,102639.32936265088,0.9297354542100509,0.10408921933085502,-26.81005895112137,3408.1222680285437,-425.88933345498293,26356.851420789135,20433.259826429072,0.26356851420789135,5,3,0.6,53.8,14.756693396557376,0.2742879813486501,32,0.0,0.0,0.0,0.0,False,False,False
458,151485.2192817953,297564.26185333065,146079.0425715354,2.037008571627326,0.611353711790393,330.7537538903827,1062.7295066190381,-820.6687784917718,18046.88919804152,14072.0,0.1804688919804152,10,10,1.0,45.8,8.304215796810679,0.18131475538887945,25,0.06595362932019512,8.393979572847087,54.562915721351295,3.7085740971921974,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,8,3,0.3,9.5,200,0,0,53,11,52,38,2,4,-1,2250,10000,0,0,0,194,-8251.493631964346,238865.4393037731,247116.93293573745,0.9666089509369633,0.3917525773195876,-42.53347232971312,3142.9663066285934,-2094.211296065572,49315.16220827139,46632.80536338466,0.49315162208271385,5,2,0.4,38.8,10.186265262597475,0.26253260986075966,22,0.0,0.0,0.0,0.0,False,False,False
473,116450.11143943496,230479.64346684987,114029.53202741491,2.0212276536523723,0.5496828752642706,246.19473877258977,886.4601671801918,-535.3499156216662,10833.000865076552,8658.701627111477,0.10833000865076552,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.07042500774475681,10.749570953589327,44.00175616702761,3.562933638758145,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,0,1000,208,-13743.918105574186,126369.97379011677,140113.89189569096,0.9019089547822569,0.1875,-66.07652935372205,3240.2557382081222,-829.0762834064554,33097.240698508205,32561.240698508205,0.33097240698508207,5,2,0.4,41.6,13.734627770711517,0.3301593214113345,21,0.0,0.0,0.0,0.0,False,False,False
402,93932.19644025009,185584.1896544826,91651.9932142325,2.0248789267538103,0.5746268656716418,233.66218019962707,803.3947604090155,-535.9765685042836,10831.125160476702,8961.471454956933,0.10831125160476703,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.06074594458812176,8.672432000233291,46.353779423025294,3.381855071242469,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,2000,1000,163,3644.321973461163,112711.94922696547,109067.62725350431,1.0334134157424248,0.3803680981595092,22.357803518166644,1817.934664951056,-1079.8774975594486,24752.94408335068,24088.94408335068,0.2475294408335068,5,3,0.6,32.6,8.685620300243386,0.26643007055961304,17,1.8061875196692556,0.147227819090514,1107.127722239704,0.21405188638293943,False,False,False
402,81607.68238301948,148603.21059347354,66995.52821045405,2.2181064104258432,0.4502487562189055,203.00418503238677,821.0122132236107,-303.1471864726428,8404.592549252673,4780.669471625966,0.08404592549252674,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.0699198878509908,9.709891574729097,41.401080218675425,3.335416047520409,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,0,500,163,-1021.598815752106,74960.4011842479,75982.0,0.9865547259120304,0.12269938650306748,-6.2674773972521844,3748.0200592123947,-531.3426573426574,25981.24794967106,22090.0,0.2598124794967106,5,3,0.6,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
544,156845.53984384207,339842.70216314617,182997.16231930413,1.8570927431659776,0.6047794117647058,288.3190070658861,1032.9565415293196,-851.1495921828099,17482.0,15813.0,0.17482,10,10,1.0,54.4,9.840731680114036,0.18089580294327273,27,0.06369961179608422,8.971830445248946,60.634226573917985,3.2845892742105423,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,8,3,0.3,9.5,200,0,0,53,56,9,38,2,4,-1,2250,10000,0,0,0,211,-17152.172787830044,263110.7601479074,280262.9329357375,0.9387997099432234,0.3744075829383886,-81.28991842573481,3330.5159512393343,-2123.204037391951,52120.99226286962,48919.32868615647,0.5212099226286963,5,2,0.4,42.2,10.225458424931373,0.24230944134908466,25,0.0,0.0,0.0,0.0,False,False,False
402,76672.62986818764,146890.46362709385,70217.8337589062,2.091925309622112,0.4601990049751244,190.72793499549164,794.0025060923992,-323.58448736823135,8206.125160476702,6090.471454956933,0.08206125160476702,10,10,1.0,40.2,6.749814812274482,0.16790584110135526,24,0.0744202984795163,9.343341512443327,43.025292339429335,3.1713822642035865,2012-01-18 02:15:00,2021-05-27 23:00:00,VBO,7,3,0.3,9.5,200,0,0,53,11,9,38,2,4,-1,2250,10000,0,2000,500,163,-1819.2757590014953,71051.23021390241,72870.5059729039,0.9750341275292095,0.25766871165644173,-11.161200975469296,1691.6959574738669,-602.2355865529248,19982.12209164312,18768.12209164312,0.1998212209164312,5,2,0.4,32.6,8.685620300243386,0.26643007055961304,17,0.0,0.0,0.0,0.0,False,False,False
673,164106.9914090616,401265.6135696832,237158.6221606216,1.6919714320903587,0.5854383358098069,243.843969404252,1018.4406435778762,-850.0309038015112,13628.65363349425,12023.0,0.1362865363349425,10,10,1.0,67.3,11.463420083029323,0.17033313644917272,35,0.06088101374728098,12.041320868684092,55.890878362877416,3.146218619437882,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,8,3,0.3,4.0,5,0,1,53,56,-9,-10,1,5,4,2000,10000,0,0,0,269,359.55295188827586,306093.7511433042,305734.198191416,1.0011760311866162,0.38661710037174724,1.336628073934111,2943.2091456086946,-1852.9345344934302,38724.29855124543,37732.77027289258,0.38724298551245434,5,3,0.6,53.8,15.509996776273038,0.2882899029047033,27,27.787284035716972,0.00928494421693565,28971.633400806713,0.010231095851005548,False,False,False
556,152884.93154438995,311779.9210219544,158894.9894775644,1.9621759128281195,0.579136690647482,274.972898461133,968.2606242917839,-679.0384165707881,17848.117945005113,11795.176361191829,0.17848117945005113,10,10,1.0,55.6,10.403845442911962,0.1871195223545317,26,0.06534980196592576,8.565885322781362,64.9086438877827,3.100252258896335,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,0,0,259,39168.79953096692,348179.7696712781,309010.97014031117,1.1267553689539944,0.44787644787644787,151.2308862199495,3001.5497385455005,-2160.9158751070713,36260.73784505194,34353.88514825509,0.3626073784505194,5,3,0.6,51.8,14.119490075778232,0.27257702848992726,31,0.2550754712842577,1.0801986351833657,239.77071583323587,1.1962598680013319,True,False,False
473,101704.07906505384,232565.735160683,130861.65609562918,1.7771877729465075,0.5856236786469344,215.0191946407058,839.5874915548122,-667.6615106919857,11848.530069464992,9674.230831499917,0.11848530069464992,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.06062687019717262,8.583687467456981,55.104522595127975,2.975420480363457,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,2000,0,208,13526.127941239363,159665.66121712647,146139.53327588708,1.0925562552311174,0.3798076923076923,65.02946125595848,2021.0843192041325,-1132.8645990378843,19660.676233237857,17422.83767138305,0.19660676233237856,5,4,0.8,41.6,13.734627770711517,0.3301593214113345,21,0.5760214188749154,0.687978774523148,302.33490872471896,0.698577003591374,False,False,False
473,92353.3849869547,178646.37115820416,86292.98617124947,2.0702304913133758,0.4630021141649049,195.25028538468223,815.736854603672,-339.7361660285412,10144.844135232444,7638.544897267369,0.10144844135232445,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.08880021020516385,9.103479930876103,51.958152661570075,2.919929343605433,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,0,500,208,-33386.51748909676,54479.06961338959,87865.58710248634,0.62002737829368,0.08653846153846154,-160.5121033129652,3026.614978521644,-462.4504584341387,41035.409487002646,38606.7628563582,0.41035409487002644,5,1,0.2,41.6,13.734627770711517,0.3301593214113345,21,0.0,0.0,0.0,0.0,False,False,False
702,152538.90189931492,277632.01248974033,125093.11059042541,2.219402900602187,0.43304843304843305,217.29188304745716,913.263198979409,-314.304297965893,12888.004291025529,6809.3266366348835,0.1288800429102553,10,10,1.0,70.2,12.480384609458156,0.17778325654498797,36,0.06583358898063256,11.835727119173471,59.311945344091626,2.883062267105537,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,8,3,0.3,4.0,14,0,0,53,11,9,53,-1,18,4,2500,10000,0,0,500,357,16291.73797020266,160776.45978875196,144484.72181854933,1.1127575134944896,0.12324929971988796,45.63512036471333,3654.0104497443626,-461.6125297717231,36065.451141530255,31274.963129167605,0.3606545114153025,5,3,0.6,71.4,17.715529910222838,0.24811666540928343,46,0.6132556279921385,0.45172699784815173,790.3003400297224,0.3619569086870163,False,False,False
553,158475.168562866,332999.4528615024,174524.28429863643,1.9080407875599246,0.596745027124774,286.5735417050018,1009.0892510954619,-782.6201089624952,23023.0,20849.0,0.23023,10,10,1.0,55.3,9.859513172565874,0.17829137744242088,30,0.06304457720792163,6.883341378745863,80.33888914874015,2.844844213602555,2012-01-17 02:15:00,2021-05-27 23:00:00,VBO,8,3,0.3,9.5,200,0,0,53,11,9,53,2,4,-1,2250,10000,0,0,0,222,-6008.792902348148,263071.12594384165,269079.9188461898,0.9776691143355708,0.4009009009009009,-27.06663469526193,2955.855347683614,-2023.157284557818,40576.19350719609,39083.52993048294,0.4057619350719609,5,3,0.6,44.4,12.043255373859678,0.271244490402245,24,0.0,0.0,0.0,0.0,False,False,False
560,115671.81341139582,249706.75934215524,134034.94593075942,1.862997426590154,0.5714285714285714,206.55680966320682,780.3336229442351,-558.4789413781642,12232.874885214464,9750.814923287398,0.12232874885214463,10,10,1.0,56.0,9.979979959899719,0.17821392785535212,28,0.06272047504193777,9.455815946520072,59.222810931095914,2.8130574706466995,2012-01-10 04:00:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,14,0,0,53,11,9,46,-1,18,4,2500,10000,0,2000,0,268,26073.914982821414,213107.5636257871,187033.6486429657,1.1394076155387134,0.3880597014925373,97.2907275478411,2049.111188709491,-1140.4490770912544,26971.844979885485,22706.546751597627,0.26971844979885484,5,3,0.6,53.6,15.370100845472681,0.2867556127886694,31,0.28114252034632925,0.9667086179038286,277.22934815779365,0.8923176395451209,False,False,False
473,95552.40647464803,213809.31356286546,118256.90708821746,1.808006980965329,0.5560253699788583,202.01354434386477,812.9631694405531,-563.1281289915117,12725.936104208806,10201.63686624373,0.12725936104208807,10,10,1.0,47.3,7.642643521714199,0.16157808713983507,26,0.06453003359612888,7.508477623351126,62.995459762573574,2.697360378905834,2012-01-10 01:45:00,2021-05-27 23:00:00,VBO,7,3,0.3,4.0,5,0,1,53,11,-9,-10,1,5,4,2000,10000,0,2000,1000,208,19832.773442472797,143278.96157896396,123446.18813649117,1.1606592616739548,0.32211538461538464,95.34987231958075,2138.4919638651336,-875.5048804006466,17283.2233109276,14959.223310927599,0.17283223310927598,5,3,0.6,41.6,13.734627770711517,0.3301593214113345,21,0.392851732572653,1.1475158936315544,181.2611059719098,1.0924739746246608,False,False,False
