n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_bb_length,p_bb_num_devs,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
618,161964.46146683596,348926.97758513346,186962.51611829753,1.866293762137623,0.5372168284789643,262.0784166130032,1050.9848722443778,-653.7150913227186,9506.293015845236,8026.381751073903,0.09506293015845237,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.0695876390156856,17.037604584339142,36.2727047068613,4.048825062412919,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,1750,0,0,282,-8019.609893474051,254018.43799320539,262038.04788667947,0.9693952463844402,0.36524822695035464,-28.438332955581743,2466.198427118499,-1463.899708864131,29315.567122784058,27185.60248827526,0.2931556712278406,5,2,0.4,56.4,17.3735431043872,0.30804154440402837,31,0.0,0.0,0.0,0.0,False,False,False
618,161704.6232656702,348667.13938396773,186962.51611829753,1.864903974459534,0.5372168284789643,261.6579664493045,1050.2022270601437,-653.7150913227186,9506.293015845236,8026.381751073903,0.09506293015845237,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.06178549381105471,17.010271300930704,36.33099020391207,4.042329566971977,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,1750,10000,0,282,-13587.723407244019,248450.32447943545,262038.04788667947,0.9481459905657664,0.36524822695035464,-48.183416337744745,2412.1390726158784,-1463.899708864131,34294.868368139476,32164.90373363068,0.34294868368139475,5,1,0.2,56.4,17.3735431043872,0.30804154440402837,31,0.0,0.0,0.0,0.0,False,False,False
618,157870.01259955624,348926.97758513346,191056.96498557721,1.826298128474268,0.5372168284789643,255.4530948212884,1050.9848722443778,-668.0313461034168,9363.687345492566,8317.74293293264,0.09363687345492566,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.0713924341446197,16.85981246218678,36.65521199515425,3.976409211126232,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,2000,0,0,282,10479.45149083832,281428.35946670704,270948.90797586873,1.0386768545004494,0.38652482269503546,37.16117549942667,2581.9115547404317,-1566.1786588200505,28637.80690688124,25459.38716163161,0.2863780690688124,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,1.3035989464095765,0.3659306568032018,770.6378100801217,0.3307675677626601,False,False,False
618,157610.17439839052,348667.13938396773,191056.96498557721,1.8249381246597758,0.5372168284789643,255.03264465758983,1050.2022270601437,-668.0313461034168,9363.687345492566,8317.74293293264,0.09363687345492566,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.06339057765868461,16.832062902469712,36.715642258520965,3.969864440529813,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,2000,10000,0,282,4911.337977068353,275860.2459529371,270948.90797586873,1.0181264357688637,0.38652482269503546,17.416092117263663,2530.827944522359,-1566.1786588200505,28637.80690688124,25459.38716163161,0.2863780690688124,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,2.034272543785262,0.17149839696308,1644.3302386127182,0.15501873533700827,False,False,False
618,157453.07688206938,344415.5930003668,186962.51611829753,1.8421638740807456,0.5372168284789643,254.77844155674657,1037.3963644589362,-653.7150913227186,9506.293015845236,8026.381751073903,0.09506293015845237,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.04757607884417957,16.563036361242407,37.31199923258777,3.9360484272945637,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,1750,7500,0,282,-8435.58698717258,251843.46089950687,260279.04788667947,0.9675902188222031,0.36879432624113473,-29.91342903252688,2421.5717394183353,-1462.241842059997,36666.99041791366,34449.33560102472,0.3666699041791366,5,2,0.4,56.4,17.3735431043872,0.30804154440402837,31,0.0,0.0,0.0,0.0,False,False,False
618,148969.8437519572,334173.3598702547,185203.51611829753,1.8043575352900085,0.5388349514563107,241.05152710672687,1003.523603213978,-649.8368986606931,8718.326748531224,7817.7429329326405,0.08718326748531224,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.033503425084544514,17.0869764404109,36.1678967695199,3.888630435835182,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,1750,5000,0,282,3966.8697122048543,258968.91759888432,255002.04788667947,1.0155562268816276,0.37943262411347517,14.06691387306686,2420.270257933498,-1457.154559352454,28120.61705516284,25902.962238273903,0.2812061705516284,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,1.2581708909279796,0.1410662399200999,1999.0608678570093,0.12635422257074222,False,False,False
618,153358.6280147897,344415.5930003668,191056.96498557721,1.802685356309133,0.5372168284789643,248.15311976503187,1037.3963644589362,-668.0313461034168,9363.687345492566,8317.74293293264,0.09363687345492566,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.04884628988254628,16.378016731689844,37.73350645101193,3.862777046775287,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,2000,7500,0,282,3959.79080126551,274908.69877713424,270948.90797586873,1.0146145294729079,0.38652482269503546,14.041811352005354,2522.098153918663,-1566.1786588200505,29070.707191394875,26447.317335233623,0.29070707191394873,5,2,0.4,56.4,17.3735431043872,0.30804154440402837,31,1.8917666048433546,0.13621240017296982,2070.296093761664,0.1240505489259709,False,False,False
618,146646.7151880777,333609.2313063752,186962.51611829753,1.784364257781433,0.5372168284789643,237.292419398184,1004.847082248118,-653.7150913227186,8718.326748531239,7817.7429329326405,0.0871832674853124,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.040853284659778485,16.82051148321357,36.740856579584275,3.8279887098835723,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,1750,6000,0,282,5972.738221860738,264492.7861085402,258520.04788667947,1.023103578506526,0.3723404255319149,21.17992277255581,2518.9789153194306,-1460.565242297624,38263.06039773994,36045.405580851,0.38263060397739934,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,1.0030575219373288,0.15609671991144564,1806.5722339327815,0.16309395906609123,False,False,False
618,153631.34882917348,350347.9121729057,196716.5633437322,1.7809782065007211,0.5388349514563107,248.59441558118687,1052.095832351068,-690.2335555920429,9621.288064676803,8817.74293293264,0.09621288064676803,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.07336213971834811,15.967856673287773,38.702752200540274,3.8174918119351693,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,2250,0,0,282,24713.825381626404,299836.0662054673,275122.24082384096,1.0898285260676197,0.4078014184397163,87.63767865824965,2607.270140917107,-1647.438567807431,29011.237490140367,23190.36837733761,0.2901123749014037,5,4,0.8,56.4,17.3735431043872,0.30804154440402837,31,0.5527675991659077,0.8518707755925798,331.03612435094357,0.7750167575684909,False,False,False
618,153371.51062800773,350088.07397173997,196716.5633437322,1.7796573304303533,0.5388349514563107,248.17396541748823,1051.3155374526725,-690.2335555920429,9621.288064676832,8817.74293293264,0.09621288064676832,10,9,0.9,61.8,12.568213874691981,0.20336915654841395,29,0.0651424763249056,15.940850081299308,38.76832144133859,3.8110352507389123,2012-01-10 13:30:00,2021-05-27 23:00:00,RBB_M,5,50,1.5,1,17,46,27,45,1,0,4,2250,10000,0,282,19145.711867856437,294267.95269169734,275122.24082384096,1.0695898369049532,0.4078014184397163,67.89259527608665,2558.8517625364984,-1647.438567807431,29011.237490140367,23190.36837733761,0.2901123749014037,5,3,0.6,56.4,17.3735431043872,0.30804154440402837,31,0.5218400897787353,0.6599412339567802,427.3107747931209,0.600402701890021,False,False,False
