window,is_start,is_end,oos_start,oos_end,is_net,is_avg_trade,is_n_trades,oos_net,oos_avg_trade,oos_n_trades,oos_max_dd,valid,seconds,params
1,2012-01-10,2013-10-21,2013-10-21,2014-09-11,11182.0,196.17543859649123,57,-2564.0,-98.61538461538461,26,3647.0,True,93.2,"{'channel_len': 10, 'breakout_offset_ticks': 2, 'intraday_only': 1, 'direction': 1, 'dvol_min': 0, 'ptn_neut_yes': 28, 'ptn_neut_no': 47, 'ptn_dir_yes': 49, 'ptn_dir_no': 35, 'start_hour': 5, 'end_hour': 4, 'skip_day': 4, 'stop_loss': 250, 'take_profit': 2000, 'max_bars': 368, 'trailing_stop': 0, 'breakeven': 0}"
2,2012-01-10,2016-06-24,2016-06-24,2017-05-18,65844.0,1116.0,59,11843.0,1480.375,8,5580.0,True,185.2,"{'channel_len': 10, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'direction': 1, 'dvol_min': 0, 'ptn_neut_yes': 29, 'ptn_neut_no': 54, 'ptn_dir_yes': -13, 'ptn_dir_no': -2, 'start_hour': 23, 'end_hour': 22, 'skip_day': -1, 'stop_loss': 5000, 'take_profit': 4500, 'max_bars': 920, 'trailing_stop': 0, 'breakeven': 0}"
3,2012-01-10,2019-03-06,2019-03-06,2020-01-28,29812.0,414.05555555555554,72,-1421.0,-74.78947368421052,19,7661.0,True,272.7,"{'channel_len': 75, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'direction': 1, 'dvol_min': 0, 'ptn_neut_yes': 22, 'ptn_neut_no': 38, 'ptn_dir_yes': 12, 'ptn_dir_no': 38, 'start_hour': 10, 'end_hour': 9, 'skip_day': -1, 'stop_loss': 2000, 'take_profit': 3000, 'max_bars': 0, 'trailing_stop': 1000, 'breakeven': 0}"
4,2012-01-10,2021-11-10,2021-11-10,2022-09-29,181480.0,698.0,260,-2777.0,-84.15151515151516,33,11345.0,True,364.3,"{'channel_len': 155, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'direction': 1, 'dvol_min': 0, 'ptn_neut_yes': 55, 'ptn_neut_no': 33, 'ptn_dir_yes': 52, 'ptn_dir_no': 35, 'start_hour': 19, 'end_hour': 18, 'skip_day': -1, 'stop_loss': 5000, 'take_profit': 10000, 'max_bars': 0, 'trailing_stop': 2000, 'breakeven': 0}"
5,2012-01-10,2024-07-10,2024-07-10,2025-05-30,201839.0,663.9440789473684,304,-1526.0,-52.62068965517241,29,13915.0,True,454.9,"{'channel_len': 155, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'direction': 1, 'dvol_min': 0, 'ptn_neut_yes': 3, 'ptn_neut_no': 33, 'ptn_dir_yes': 27, 'ptn_dir_no': 37, 'start_hour': 12, 'end_hour': 11, 'skip_day': -1, 'stop_loss': 5000, 'take_profit': 10000, 'max_bars': 0, 'trailing_stop': 2000, 'breakeven': 1000}"
