rank,engine,block,start,end,net_profit,avg_trade,n_trades
201,TF_U,1,2021-06-02,2022-09-29,2476.0,28.790697674418606,86
201,TF_U,2,2022-09-29,2024-01-30,36493.0,392.39784946236557,93
201,TF_U,3,2024-01-30,2025-05-30,28500.0,271.42857142857144,105
202,TF_U,1,2021-06-02,2022-09-29,407.0,4.67816091954023,87
202,TF_U,2,2022-09-29,2024-01-30,3980.0,41.89473684210526,95
202,TF_U,3,2024-01-30,2025-05-30,28878.0,267.3888888888889,108
203,TF_U,1,2021-06-02,2022-09-29,6719.0,79.98809523809524,84
203,TF_U,2,2022-09-29,2024-01-30,4066.0,42.354166666666664,96
203,TF_U,3,2024-01-30,2025-05-30,24022.0,224.50467289719626,107
204,TF_U,1,2021-06-02,2022-09-29,9667.0,117.89024390243902,82
204,TF_U,2,2022-09-29,2024-01-30,5105.0,53.73684210526316,95
204,TF_U,3,2024-01-30,2025-05-30,24506.0,231.18867924528303,106
205,BIAS,1,2021-06-02,2022-09-29,37379.0,131.6161971830986,284
205,BIAS,2,2022-09-29,2024-01-30,46232.0,161.0871080139373,287
205,BIAS,3,2024-01-30,2025-05-30,33967.0,120.45035460992908,282
206,BIAS,1,2021-06-02,2022-09-29,34050.0,115.42372881355932,295
206,BIAS,2,2022-09-29,2024-01-30,47720.0,156.45901639344262,305
206,BIAS,3,2024-01-30,2025-05-30,12567.0,42.313131313131315,297
207,MAC,1,2021-06-02,2022-09-29,-5112.0,-43.32203389830509,118
207,MAC,2,2022-09-29,2024-01-30,23512.0,171.62043795620437,137
207,MAC,3,2024-01-30,2025-05-30,25459.0,183.15827338129498,139
208,BIAS,1,2021-06-02,2022-09-29,35512.0,115.6742671009772,307
208,BIAS,2,2022-09-29,2024-01-30,23722.0,72.54434250764525,327
208,BIAS,3,2024-01-30,2025-05-30,25462.0,81.60897435897436,312
209,BIAS,1,2021-06-02,2022-09-29,26537.0,81.15290519877676,327
209,BIAS,2,2022-09-29,2024-01-30,5640.0,16.347826086956523,345
209,BIAS,3,2024-01-30,2025-05-30,15650.0,47.42424242424242,330
