symbol,timeframe,gates_failed,engine,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
NQ,15m,0,TF_M,True,—,323.71012597855633,0.48930597114620883,661.5699481865284,127683.0,24911.0,193,1.4846666287080794,59.37579617834395,18644.0,24575.0,314,0.5705136472147437,6.313694195619522,2.971960908210825,3.0,3.0,127.36363636363636,1.6014318925195195,0.7043426623651935,0.7586571719226857,5.125567018586167,413.88918686977047,37.654370589663465,0.037037037037037035,171.20034843205576,661.5699481865284,158.6362484157161,502.9336997708124,53.0,200.0,97.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,58550.399999999994,80011.0,True,True,True,True,True,True,,,,,,,2500,4500,,,,54.0,9.0,-48.0,17.0,13.0,5.0,-1.0,644.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,322.1150758027254,0.48930597114620883,658.3101265822785,104013.0,26548.0,158,1.5029666487748974,243.75757575757575,80440.0,14680.0,330,3.0303894747954443,6.085804345137011,5.087445805652581,3.0,3.0,305.9074074074074,0.9963457135580751,0.7850663067376454,5.479564032697548,3.9179222540304353,60.22376926902039,40.32749752434792,0.017241379310344827,27.061946902654867,658.3101265822785,63.0199146514936,595.2902119307848,57.0,200.0,79.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,40085.399999999994,78846.0,True,True,True,True,True,True,,,,,,,3000,4500,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,317.8695703611996,0.48930597114620883,649.6335403726708,104591.0,23116.0,161,1.4954195797571004,371.65602836879435,104807.0,20377.0,282,3.9217004093699557,6.435991340162555,5.534566151595601,3.0,3.0,324.22033898305085,0.9571694389169652,0.7462322717365414,5.143396967168867,4.524614985291573,54.82757831060902,35.583138128519664,0.017857142857142856,33.72549019607843,649.6335403726708,35.07738095238095,614.5561594202899,55.0,200.0,81.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,40032.799999999996,59406.0,True,True,True,True,True,True,,,,,,,4000,3000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,311.0618351104697,0.48930597114620883,635.72049689441,102351.0,18823.0,161,1.5489843754190424,290.0877192982456,82675.0,22293.0,285,2.9264994055542664,6.979513437473981,5.396931490249791,3.0,3.0,419.14814814814815,1.0570369930789507,0.9231016275246515,3.7085632261247925,5.437549806088296,76.84916843060176,29.608924192240426,0.017543859649122806,22.035353535353536,635.72049689441,4.83989145183175,630.8806054425783,56.0,200.0,81.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,36288.0,53596.0,True,True,True,True,True,True,,,,,,,3000,3000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,300.74524281086525,0.48930597114620883,614.6363636363636,94654.0,27705.0,154,1.4546738399462005,335.8581560283688,94712.0,19724.0,282,3.602149695685708,5.562147841511274,5.112694162853398,3.0,3.0,342.85185185185185,0.9609919409583761,0.8501545827616608,4.8018657473129185,3.416495217469771,58.727172903116816,45.07543262830942,0.05172413793103448,91.9,614.6363636363636,102.30403458213256,512.3323290542311,57.0,200.0,77.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,42328.0,70293.0,True,True,True,True,True,True,,,,,,,2500,4500,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,BO,True,—,291.92359773410533,0.3376628437813161,864.5416666666666,82996.0,21099.0,96,1.7254260991172101,225.55696202531647,35638.0,21719.0,158,2.305364910453457,8.965166251090286,5.158593841708219,2.0,3.0,-120.11111111111111,1.0237182531066806,0.3639248535983816,1.6408674432524517,3.9336461443670316,96.29053257758572,24.404838787411443,0.017857142857142856,210.96875,864.5416666666666,218.87234042553192,645.6693262411347,55.0,200.0,48.0,True,0.3376628437813161,39555.0,226.02857142857144,4.0,5.0,37778.7,53833.0,True,True,True,True,True,True,,,,,,,4000,3000,,,,47.0,48.0,35.0,50.0,10.0,5.0,-1.0,644.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,290.1219708794301,0.48930597114620883,592.9254658385094,95461.0,25170.0,161,1.4095948717508646,338.6607142857143,94825.0,22098.0,280,3.4315607368527115,5.629396650321195,5.278587643088996,3.0,3.0,312.48148148148147,1.036365477843903,0.9090164499502946,4.29111231785682,3.7926499801350815,65.25114684945953,42.450529535621875,0.03571428571428571,-29.64864864864865,592.9254658385094,-28.84152139461173,621.7669872331211,55.0,200.0,81.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,48759.39999999997,69023.0,True,True,True,True,True,True,,,,,,,5000,3000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,289.8410532327421,0.48930597114620883,592.3513513513514,87668.0,22911.0,148,1.3717171374541015,924.8768115942029,127633.0,26565.0,138,8.547366681154536,5.894686538321671,8.904015569380187,3.0,3.0,269.84615384615387,0.9953307307145352,0.8551789167514307,4.80455486542443,3.826458906202261,28.722744117900543,38.67805812839348,0.034482758620689655,-21.1656050955414,592.3513513513514,-41.02970297029703,633.3810543216484,57.0,200.0,74.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,52842.0,88531.0,True,True,True,True,True,True,,,,,,,2500,6000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,289.1499932174615,0.48930597114620883,590.939024390244,96914.0,28223.0,164,1.461767901046332,272.58610271903325,90226.0,14698.0,331,3.386709480851823,5.298396286138894,5.19919601019209,3.0,3.0,367.3888888888889,0.9413469689670582,0.5626601342378491,6.138658320859981,3.433865995819013,53.920577217210116,47.759580659141086,0.03571428571428571,-56.732919254658384,590.939024390244,-84.56204379562044,675.5010681858644,55.0,200.0,82.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,40965.9,71313.0,True,True,True,True,True,True,,,,,,,5000,3000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,289.0693405023119,0.48930597114620883,590.7741935483871,91570.0,22053.0,155,1.4471169574367313,244.9481707317073,80343.0,12057.0,328,3.360144271595659,5.992265286104776,4.904333236242664,3.0,3.0,342.34615384615387,0.9401421026339971,0.5519034656692853,6.663597909927843,4.15226953248991,49.222657854449054,37.328983291471005,0.05172413793103448,-1.2121212121212122,590.7741935483871,38.605839416058394,552.1683541323287,57.0,200.0,78.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,41250.1,63647.0,True,True,True,True,True,True,,,,,,,2500,6000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,286.53200233139665,0.48930597114620883,585.5886075949367,92523.0,27128.0,158,1.4325222635158825,280.4139194139194,76553.0,14404.0,273,3.5193411376133326,5.355340454236003,4.220712539357153,3.0,3.0,205.57627118644066,3.2040043708850363,0.6309278923160538,5.314704248819773,3.410608964907107,51.366922263007325,46.3260378500481,0.03125,108.28483606557377,585.5886075949367,106.37106918238993,479.21753841254673,63.0,200.0,79.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,43457.9,66620.0,True,True,True,True,True,True,,,,,,,4000,3000,,,,47.0,1.0,12.0,21.0,18.0,17.0,-1.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
