n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
538,45963.0,158769.0,112806.0,1.4074517312908887,0.3513011152416357,85.43308550185874,840.047619047619,-323.22636103151865,20449.0,19450.0,0.20449,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.2211779039662337,2.2476893735634995,239.3569175206144,0.899898253259643,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,2000,0,4000.0,207,22162.0,160759.0,138597.0,1.1599024509910028,0.30917874396135264,107.06280193236715,2511.859375,-969.2097902097902,25028.0,22784.0,0.25028,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.5354209908852992,0.8854882531564647,233.7693348975724,1.019363048646462,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,45558.0,156444.0,110886.0,1.4108543909961582,0.3513011152416357,84.68029739776952,827.7460317460317,-317.7249283667622,20959.0,19960.0,0.20959,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.13150269985512972,2.1736724080347343,247.5073971640546,0.8810497867997958,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,1500,6000,0.0,207,12147.0,151000.0,138853.0,1.0874810050917156,0.2898550724637681,58.68115942028985,2516.6666666666665,-944.578231292517,23820.0,21727.0,0.2382,5,2,0.4,41.4,16.29232948353304,0.3935345285877546,23,0.4932081995554458,0.5099496221662468,405.9224499876513,0.5727052471117469,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,44298.0,158769.0,114471.0,1.3869801084990958,0.3513011152416357,82.33828996282529,840.047619047619,-327.9971346704871,19969.0,18970.0,0.19969,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.22949117341640707,2.218338424558065,242.52386112239827,0.8776614829308377,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,3000,0,4000.0,207,16537.0,162870.0,146333.0,1.113009369041843,0.3140096618357488,79.88888888888889,2505.6923076923076,-1030.5140845070423,28148.0,25904.0,0.28148,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.7175424804982766,0.5875017763251386,352.3393602225313,0.7172424154209408,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,53070.0,216203.0,163133.0,1.3253173790710646,0.4041666666666667,55.28125,557.2242268041238,-285.1975524475524,9276.0,8961.0,0.09276,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.03751648765781044,5.721216041397154,167.79649519502544,0.8645713488207457,2012-01-11 16:45:00,2021-05-27 16:00:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,2000,2000,1000.0,394,17119.0,168834.0,151715.0,1.1128365685660613,0.4289340101522843,43.4492385786802,999.0177514792899,-674.2888888888889,14169.0,13003.0,0.14169,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.11630352240200946,1.2082010021878749,326.1046790116245,0.549814165175323,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,53060.0,216203.0,163143.0,1.3252361425252692,0.4041666666666667,55.270833333333336,557.2242268041238,-285.215034965035,9276.0,8961.0,0.09276,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.03752355823595929,5.720137990513153,167.828119110441,0.8644084373172936,2012-01-11 16:45:00,2021-05-27 16:00:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,2000,1000.0,394,13559.0,170825.0,157266.0,1.0862169826917452,0.43147208121827413,34.41370558375635,1004.8529411764706,-702.0803571428571,16972.0,15801.0,0.16972,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.1468397374437643,0.7989040773037945,493.17560292056936,0.39789481699151724,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,43638.0,156444.0,112806.0,1.3868411254720494,0.3513011152416357,81.11152416356877,827.7460317460317,-323.22636103151865,20449.0,19450.0,0.20449,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.1372886016774371,2.1339918822436306,252.10967505385216,0.8543776510615996,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,2000,6000,0.0,207,8277.0,156383.0,148106.0,1.0558856494672735,0.30434782608695654,39.98550724637681,2482.2698412698414,-1028.513888888889,26842.0,25167.0,0.26842,5,2,0.4,41.4,16.29232948353304,0.3935345285877546,23,0.723812975715839,0.3083600327844423,671.29322218195,0.3676194901529879,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,42953.0,156444.0,113491.0,1.3784705395141466,0.3513011152416357,79.83828996282529,827.7460317460317,-325.18911174785103,19969.0,18970.0,0.19969,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.1394780341303285,2.150984025239121,250.11808255535118,0.8510134470253345,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,3000,6000,0.0,207,9047.0,163580.0,154533.0,1.058544129732808,0.3140096618357488,43.70531400966183,2516.6153846153848,-1088.2605633802816,30747.0,29072.0,0.30747,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.6622084668951034,0.2942400884639152,703.5071294351719,0.3754362692569639,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,41973.0,156444.0,114471.0,1.366669287417774,0.3513011152416357,78.01672862453532,827.7460317460317,-327.9971346704871,19969.0,18970.0,0.19969,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.1427346151097134,2.1019079573338675,255.95792533295213,0.8315970342466036,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,3000,6000,4000.0,207,11027.0,157360.0,146333.0,1.0753555247278468,0.3140096618357488,53.270531400966185,2420.923076923077,-1030.5140845070423,28148.0,25904.0,0.28148,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.5433028022127505,0.3917507460565582,528.3972068558992,0.47826281156477685,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,50950.0,214083.0,163133.0,1.312321847817425,0.4041666666666667,53.072916666666664,551.7603092783505,-285.1975524475524,9276.0,8961.0,0.09276,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.07833169774288518,5.4926692539887885,174.7784102060844,0.8300341100888825,2012-01-11 16:45:00,2021-05-27 16:00:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,2000,4000,1000.0,394,9749.0,161792.0,152043.0,1.0641200186789264,0.42385786802030456,24.743654822335024,968.814371257485,-669.7929515418502,17922.0,16338.0,0.17922,5,4,0.8,78.8,28.589508565206224,0.3628110224010942,42,0.409375320545697,0.5439683071085817,724.3069032721305,0.2784030358534474,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,50940.0,214083.0,163143.0,1.3122414078446516,0.4041666666666667,53.0625,551.7603092783505,-285.215034965035,9276.0,8961.0,0.09276,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.07834707499018453,5.491591203104787,174.81272084805653,0.8298711985854303,2012-01-11 16:45:00,2021-05-27 16:00:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,4000,1000.0,394,8189.0,165783.0,157594.0,1.051962638171504,0.4263959390862944,20.784263959390863,986.8035714285714,-697.3185840707964,20212.0,18628.0,0.20212,5,4,0.8,78.8,28.589508565206224,0.3628110224010942,42,0.48736109415068996,0.4051553532554918,972.4664794236171,0.22020813520042845,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
