window,is_start,is_end,oos_start,oos_end,is_net,is_avg_trade,is_n_trades,oos_net,oos_avg_trade,oos_n_trades,oos_max_dd,valid,seconds,params
1,2012-01-10,2013-10-21,2013-10-21,2014-09-11,24109.0,112.6588785046729,214,-4842.0,-44.833333333333336,108,8765.0,True,90.0,"{'level_source': 1, 'n_sess': 1, 'lev_include_sess0': 0, 'breakout_offset_ticks': 5, 'intraday_only': 1, 'ptn_neut_yes': 28, 'ptn_neut_no': 30, 'ptn_dir_yes': 27, 'ptn_dir_no': -2, 'start_hour': 15, 'end_hour': 14, 'skip_day': -1, 'stop_loss': 1750, 'take_profit': 0, 'max_bars': 0}"
2,2012-01-10,2016-06-24,2016-06-24,2017-05-18,52541.0,1030.2156862745098,51,937.0,133.85714285714286,7,4991.0,True,180.4,"{'level_source': 0, 'n_sess': 5, 'lev_include_sess0': 0, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'ptn_neut_yes': 47, 'ptn_neut_no': 29, 'ptn_dir_yes': 36, 'ptn_dir_no': 7, 'start_hour': 4, 'end_hour': 3, 'skip_day': -1, 'stop_loss': 1000, 'take_profit': 3000, 'max_bars': 0}"
3,2012-01-10,2019-03-06,2019-03-06,2020-01-28,58630.0,509.82608695652175,115,37293.0,1621.4347826086957,23,15652.0,True,268.8,"{'level_source': 1, 'n_sess': 1, 'lev_include_sess0': 0, 'breakout_offset_ticks': 10, 'intraday_only': 0, 'ptn_neut_yes': 53, 'ptn_neut_no': 7, 'ptn_dir_yes': 52, 'ptn_dir_no': 37, 'start_hour': 20, 'end_hour': 18, 'skip_day': 4, 'stop_loss': 1500, 'take_profit': 7500, 'max_bars': 0}"
4,2012-01-10,2021-11-10,2021-11-10,2022-09-29,149753.0,1085.1666666666667,138,3302.0,150.0909090909091,22,12632.0,True,356.8,"{'level_source': 0, 'n_sess': 5, 'lev_include_sess0': 0, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'ptn_neut_yes': 47, 'ptn_neut_no': 7, 'ptn_dir_yes': -34, 'ptn_dir_no': 28, 'start_hour': 21, 'end_hour': 16, 'skip_day': -1, 'stop_loss': 1000, 'take_profit': 7500, 'max_bars': 0}"
5,2012-01-10,2024-07-10,2024-07-10,2025-05-30,176847.0,1028.1802325581396,172,2865.0,191.0,15,10863.0,True,447.8,"{'level_source': 0, 'n_sess': 5, 'lev_include_sess0': 0, 'breakout_offset_ticks': 0, 'intraday_only': 0, 'ptn_neut_yes': 47, 'ptn_neut_no': 48, 'ptn_dir_yes': -2, 'ptn_dir_no': -21, 'start_hour': 2, 'end_hour': 1, 'skip_day': -1, 'stop_loss': 4000, 'take_profit': 3000, 'max_bars': 0}"
