codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
NQ-4H-TFM-c66f9e,NQ,4h,TF_M,,overnight 1 giornate,0.0,12.0,56.0,52.0,-1.0,-1.0,6.0,0.2,0.0,,,,,,,,,53.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,13.15,433232.0845,534124.6560999999,100892.5968,57301.55,315.7668254373178,133308.61539999966,24.78134110787172,74.27113702623906,0.5473760932944607,56.12244897959183,1.0,4,32938.80492581703,3.2498431042889755,105,0.94,-26413.513,-20556.2371,5857.277499999998,2521.2288,-251.55726666666666,70750.657,19.047619047619047,79.04761904761905,0.38095238095238093,49.523809523809526,1.0,1,-27963.87137173913,-0.37333240594500766,-0.8489643578362308
NQ-4H-VBO-5aaf95,NQ,4h,VBO,,intraday,1.0,55.0,56.0,52.0,-1.0,12.0,0.0,2.2,1.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.5,-1.0,5.0,0.0,,,,,,,,,,1578,13.19,490447.9395,540711.2134,50263.306200000006,127.248,310.8035104562737,100851.63419999997,51.39416983523447,0.12674271229404308,0.0006337135614702154,52.344740177439796,1.0,2,37180.5956625934,4.863063879831509,141,0.96,-37448.21389999999,-32968.37609999998,4479.8379,0.0,-265.590169503546,119880.47259999995,50.35460992907801,0.7092198581560284,0.0,48.226950354609926,2.0,1,-39191.86282800858,-0.3123795985101914,-1.0540945385508893
YM-15M-BO-2f48d5,YM,15m,BO,,overnight 5 giornate,0.0,55.0,56.0,52.0,-1.0,-1.0,460.0,0.3,0.0,,,,,,,,,53.0,4.0,,,0.0,2.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,13.18,118448.10210000002,176571.47130000003,58123.3686,50621.7225,178.65475429864256,36284.141500000005,18.401206636500756,80.69381598793363,2.206636500754148,48.56711915535445,58.0,5,8985.08188827103,3.264459270725752,59,0.95,-38542.681099999994,-35819.390499999994,2723.2907999999998,2055.7235,-653.2657813559321,41868.688899999994,5.084745762711865,94.91525423728814,1.0338983050847457,55.932203389830505,19.0,2,-40453.20193038792,-0.9205609755790561,-4.502263021463926
YM-15M-LF-8a2596,YM,15m,LF,,intraday,1.0,55.0,56.0,52.0,10.0,-1.0,0.0,1.15,0.0,41.0,42.0,41.0,42.0,-1.0,3.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,13.19,164473.3984,178286.1174,13812.718200000001,-2.5305,134.703847993448,26031.14410000002,50.696150696150696,3.357903357903358,0.000819000819000819,54.70925470925471,22.0,4,12468.640258530511,6.318331525044259,103,0.98,-4812.014100000004,-3646.5999999999967,1165.4140999999993,0.0,-46.71858349514567,16930.0762,48.54368932038835,0.0,0.0,59.22330097087378,23.0,1,-4923.216106512609,-0.2842287325322259,-0.3948478747026449
YM-15M-LFHL-920960,YM,15m,LF_HL,,intraday,1.0,32.0,56.0,-50.0,-1.0,21.0,0.0,0.65,0.0,41.0,42.0,41.0,42.0,-1.0,0.0,2.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,13.1,202709.1204,206838.9865,4129.8655,0.0,555.3674531506849,15215.278299999987,51.23287671232877,12.876712328767123,0.0,63.287671232876704,21.0,2,15476.485415154684,13.322734977512715,24,0.87,-5371.0417,-5099.488899999999,271.5528,0.0,-223.79340416666665,8810.7713,45.83333333333333,29.166666666666668,0.0,70.83333333333334,21.5,2,-6188.55829944795,-0.6095994910229936,-0.3998684542026622
YM-15M-MAC-87cbcb,YM,15m,MAC,,del motore,,,,,,,,0.3,0.0,,,,,,,,,,,,,,,,,1.0,0.0,20.0,24.0,2.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,13.19,108698.31120000001,138009.8553,29311.543299999998,18121.305,109.90729140546007,15873.323600000003,43.78159757330637,13.549039433771487,0.31243680485338726,100.0,16.0,4,8240.360765006228,6.847860847491321,84,0.95,-5569.0288999999975,-3478.2124999999987,2090.8163999999997,1140.3816,-66.29796309523806,7008.227099999999,35.714285714285715,22.61904761904762,0.25,100.0,16.0,2,-5861.9245121757895,-0.7946416148529203,-0.71136746064192
YM-15M-PC-33088c,YM,15m,PC,,intraday,1.0,55.0,56.0,-9.0,14.0,6.0,0.0,0.65,0.0,,,,,,,,,53.0,3.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,1872,13.19,285053.30909999995,306293.0743,21239.763399999993,58.645,152.27206682692307,43139.07110000003,51.65598290598291,23.344017094017094,0.0005341880341880342,100.0,67.0,1,21609.73871913138,6.607775777999999,154,0.95,4115.546900000001,5858.010700000002,1742.4638,0.0,26.724330519480528,14953.887000000002,49.35064935064935,28.57142857142857,0.0,100.0,55.0,0,4344.518801228325,0.2752158619360973,0.20104448543758036
YM-15M-RBBM-cb8dc7,YM,15m,RBB_M,,intraday,1.0,55.0,56.0,52.0,14.0,14.0,0.0,0.5,0.0,,,,,,,,,53.0,0.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,13.19,166936.4413,179292.0944,12355.652399999999,0.0,152.872198992674,31813.89699999999,48.26007326007326,30.4029304029304,0.0,50.18315018315018,33.0,3,12657.989450866722,5.247280498204922,86,0.96,-24665.6552,-23692.591000000004,973.0642000000001,0.0,-286.80994418604655,27182.0142,39.53488372093023,40.69767441860465,0.0,52.32558139534884,33.5,2,-25740.373033714288,-0.9074255873208984,-2.0335277678677306
YM-15M-TFM-a7b654,YM,15m,TF_M,,intraday,1.0,55.0,56.0,28.0,19.0,6.0,0.0,0.2,0.0,,,,,,,,,53.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,13.17,118435.3044,130564.66379999998,12129.3584,0.0,110.48069440298507,17019.478400000007,32.742537313432834,61.66044776119403,0.0,60.447761194029844,14.0,2,8991.58073832883,6.958809289948624,86,0.93,7330.822000000002,8303.886199999999,973.0642000000001,0.0,85.24211627906979,9536.799600000002,34.883720930232556,59.30232558139535,0.0,54.65116279069767,22.5,1,7852.148784457479,0.7686878520546873,0.8732779044051463
YM-15M-VBO-01f0dd,YM,15m,VBO,,intraday,1.0,55.0,56.0,52.0,20.0,10.0,0.0,0.5,0.0,,,,,,,,,6.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.5,8.5,5.0,0.0,,,,,,,,,,741,13.15,130274.53450000001,138658.72759999998,8384.1927,0.0,175.8090883940621,12439.362999999987,55.19568151147099,14.5748987854251,0.0,100.0,9.0,1,9906.886055824485,10.472765727634137,32,0.8,8176.2538,8538.3242,362.0704,0.0,255.50793125,3738.739,53.125,9.375,0.0,100.0,10.0,1,10157.743879081632,2.18690146597556,1.0253215613709075
YM-1H-BIASBO-e5a983,YM,1h,BIAS_BO,,del motore,,,,,,,,0.6,1.3,152.0,153.0,153.0,153.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,2.0,10.0,3.0,1.0,3.0,12.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,1536,13.17,137883.4402,155321.46600000001,17438.0242,58.645,89.76786471354167,37360.96039999995,50.78125,23.4375,0.0006510416666666666,100.0,10.0,3,10468.07868074205,3.6905753686139233,128,0.95,12079.819500000001,13528.101099999998,1448.2815999999996,0.0,94.37358984375001,11742.0354,50.78125,28.125,0.0,100.0,10.0,1,12678.603656250001,1.0287670824088984,1.2111681658998816
