codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
YM-30M-RHL-76a351,YM,30m,RHL,,intraday,1.0,32.0,56.0,9.0,1.0,15.0,0.0,0.5,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.15,0.5,,,,,,,,,,,,,,,189,13.05,175266.83299999998,177405.3114,2138.4782999999998,0.0,927.3377407407406,20533.2754,45.5026455026455,45.5026455026455,0.0,100.0,19.0,2,13434.671721563484,8.535746469362604,15,0.58,9113.604,9283.3245,169.72049999999996,0.0,607.5735999999999,4643.4241,53.333333333333336,33.33333333333333,0.0,100.0,21.0,0,15627.905450704226,1.9626904206316194,1.1632517544601009
YM-30M-VBO-dc4c81,YM,30m,VBO,,intraday,1.0,33.0,56.0,52.0,18.0,10.0,0.0,0.5,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.5,3.0,5.0,0.0,,,,,,,,,,693,13.17,123708.1672,131549.2548,7841.0871,0.0,178.51106378066376,14319.514700000029,56.709956709956714,13.275613275613276,0.0,96.3924963924964,7.0,3,9391.895254583247,8.639131268882998,58,0.93,445.95949999999954,1102.2121000000016,656.2526,0.0,7.6889568965517165,7698.462600000001,46.55172413793103,15.517241379310345,0.0,100.0,7.0,1,481.91333542899355,0.057928384298444144,0.05131161734302986
YM-4H-BIASW-8adfb4,YM,4h,BIASW,,del motore,,,,,,,,0.0,0.0,152.0,153.0,152.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,400.0,1200.0,-1.0,0.0,400.0,400.0,1.0,676,13.17,211177.0943,260111.9115,48934.81719999999,41286.08,312.39215133136094,30448.046400000017,54.585798816568044,0.0,1.0414201183431953,100.0,7.0,2,16035.849000639291,6.935653326513582,50,0.94,18475.0361,21737.2,3262.1639,2696.4289,369.500722,8846.508,52.0,0.0,1.0,100.0,7.0,1,19616.299231177327,2.0883987331498486,1.2232778713740255
YM-4H-LFHL-14aa4a,YM,4h,LF_HL,,overnight 5 giornate,0.0,55.0,56.0,52.0,-1.0,12.0,30.0,0.6,5.5,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,13.17,143886.8505,154243.68860000002,10356.8382,9383.774000000001,1673.1029127906977,10935.5634,44.18604651162791,52.32558139534884,3.8255813953488373,52.32558139534884,18.5,3,10928.399281581409,13.15769889825704,4,0.33,2533.2269000000006,3500.8324000000002,967.6054999999999,922.3466999999999,633.3067250000001,4089.6268,25.0,50.0,5.5,75.0,26.5,0,7710.509376875002,0.6194274010528297,0.7055479195265313
YM-4H-MAC-922e04,YM,4h,MAC,,del motore,,,,,,,,0.8,0.0,,,,,,,,,,,,,,,,,0.0,0.0,20.0,30.0,3.0,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,13.15,137013.6466,148440.64609999995,11426.9996,9922.1445,1030.1777939849624,10258.828999999998,51.127819548872175,36.84210526315789,2.691729323308271,48.87218045112782,8.0,5,10419.370064678327,13.355680906660988,16,0.94,-4486.013699999999,-2820.483800000002,1665.5299,1484.4946999999997,-280.3758562499999,13939.1748,31.25,50.0,3.0,56.25,10.0,1,-4790.983929605261,-0.321827781369095,-0.45981512316629397
YM-4H-PC-ae2a80,YM,4h,PC,,overnight 10 giornate,0.0,55.0,56.0,52.0,-1.0,4.0,60.0,1.6,0.0,,,,,,,,,53.0,0.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,340,13.19,99603.1409,313223.3027,213620.16299999997,209773.16499999998,292.9504144117647,77457.29949999996,46.76470588235294,40.0,10.520588235294118,100.0,60.0,3,7553.996514477782,1.2859103214668623,28,0.98,-12715.371900000002,560.8582000000026,13276.23,12959.4184,-454.12042500000007,37314.3348,42.857142857142854,46.42857142857143,8.607142857142858,100.0,49.0,2,-12972.875939874304,-0.3407637297610355,-1.7173526510120634
YM-4H-RBBU-ab5182,YM,4h,RBB_U,,overnight 5 giornate,0.0,,,,12.0,-1.0,30.0,1.6,0.0,152.0,153.0,152.0,153.0,,,,,,-1.0,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,13.18,69898.76929999997,151656.79879999996,81758.02960000001,76462.75,149.35634465811958,97428.65869999997,47.64957264957265,30.128205128205128,6.3076923076923075,48.717948717948715,30.0,4,5302.289820732085,0.7174354058925374,35,0.97,218.25970000000154,5910.818399999998,5692.5585,5296.544000000001,6.235991428571473,15906.1177,54.285714285714285,22.857142857142858,6.514285714285714,48.57142857142857,30.0,1,223.93077366573192,0.01372174556460132,0.04223284302381153
YM-4H-RHL-e90851,YM,4h,RHL,,overnight 10 giornate,0.0,31.0,25.0,52.0,8.0,8.0,60.0,0.3,0.0,,,,,,,,,53.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.15,0.5,,,,,,,,,,,,,,,69,12.96,222161.1955,243526.3048,21365.109299999996,20584.394999999997,3219.727471014493,13632.13639999996,30.434782608695656,69.56521739130434,5.086956521739131,100.0,3.0,1,17137.14396121964,16.29687299050211,4,0.23,-3923.2018,-3622.6345,300.56739999999996,255.3086,-980.80045,3923.2018,0.0,100.0,1.25,100.0,1.0,1,-17264.451294578314,-1.0,-1.0074287368797719
YM-4H-TFM-49c3d4,YM,4h,TF_M,,intraday,1.0,55.0,56.0,52.0,-1.0,4.0,0.0,0.2,2.2,,,,,,,,,53.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,13.17,127599.36150000001,136809.52740000002,9210.165799999999,0.0,156.75597235872237,20502.818100000008,31.08108108108108,66.21621621621621,0.0,61.17936117936118,2.0,3,9691.342646678104,6.223503563151642,69,0.92,4574.389000000001,5355.103299999999,780.7143000000001,0.0,66.29549275362321,6106.1589,30.434782608695656,69.56521739130434,0.0,50.72463768115942,2.0,1,4972.605899553572,0.749143459073756,0.5130977286473335
YM-4H-VBO-06a4c2,YM,4h,VBO,,overnight 3 giornate,0.0,32.0,56.0,52.0,4.0,8.0,18.0,0.6,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.5,6.0,5.0,0.0,,,,,,,,,,72,13.02,85475.80690000003,96956.2638,11480.4569,10665.798499999999,1187.1639847222225,15372.9545,47.22222222222222,45.83333333333333,2.5694444444444446,98.61111111111111,18.0,3,6564.347870106183,5.5601417996781315,3,0.21,17082.7473,17695.475,612.7277,578.7836,5694.2491,0.0,100.0,0.0,3.6666666666666665,100.0,18.0,0,81032.12274448051,,12.344276133429497
