# Piootoo Spread Dump v2.0.1 - broker ICS (conto 2094690). File UNITO a mano il 22/09/2026.
# SpreadTable legge il solo file spread-by-symbol piu' recente della cartella, quindi le misure di
# tutti i simboli devono stare in UN file: copiare la sola raccolta nuova avrebbe tolto @FDAX e @NQ
# dai run senza dirlo. Gli originali sono in storico/, che il caricatore non guarda.
# @BP, @CL, @GC: finestra UTC 2026-07-21 -> 2026-09-20, raccolta della notte del 21/09.
# @FDAX, @NQ: finestra UTC 2026-08-01 -> 2026-09-01; la colonna broker dice RAWTRADINGLTD, che e'
# l'entita' legale con cui cTrader nomina ICS. Due finestre diverse nello stesso file: ogni misura
# vale per il suo simbolo, e i simboli non si confrontano fra loro su periodi diversi.
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
ICS,@BP,20,94560,1E-05,0.00000,0.00002,0.00005,0.00012,0.00021,0.00038,0,2,4.93,12,21,38,2
ICS,@BP,21,32357,1E-05,0.00025,0.00098,0.00098,0.00137,0.00170,0.00217,25,98,97.96,137,170,217,0
ICS,@BP,22,58395,1E-05,0.00000,0.00001,0.00001,0.00002,0.00008,0.00120,0,1,1.23,2,8,120,15826
ICS,@BP,23,82351,1E-05,0.00000,0.00002,0.00002,0.00003,0.00003,0.00010,0,2,1.75,3,3,10,37
ICS,@CL,0,60366,0.01,0.02,0.02,0.02,0.02,0.02,0.16,2,2,2.01,2,2,16,0
ICS,@CL,1,118439,0.01,0.02,0.02,0.02,0.02,0.02,0.21,2,2,2.01,2,2,21,0
ICS,@CL,2,74589,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.00,2,2,12,0
ICS,@CL,3,53844,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.00,2,2,12,0
ICS,@CL,4,36498,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.00,2,2,12,0
ICS,@CL,5,72023,0.01,0.02,0.02,0.02,0.02,0.02,0.17,2,2,2.00,2,2,17,0
ICS,@CL,6,102745,0.01,0.02,0.02,0.02,0.02,0.02,0.17,2,2,2.01,2,2,17,0
ICS,@CL,7,116560,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.01,2,2,12,0
ICS,@CL,8,142117,0.01,0.02,0.02,0.02,0.02,0.02,0.16,2,2,2.01,2,2,16,0
ICS,@CL,9,112700,0.01,0.02,0.02,0.02,0.02,0.02,0.17,2,2,2.01,2,2,17,0
ICS,@CL,10,104358,0.01,0.02,0.02,0.02,0.02,0.02,0.17,2,2,2.01,2,2,17,0
ICS,@CL,11,107557,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.01,2,2,12,0
ICS,@CL,12,135502,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.01,2,2,12,0
ICS,@CL,13,175577,0.01,0.02,0.02,0.02,0.02,0.02,0.17,2,2,2.01,2,2,17,0
ICS,@CL,14,161454,0.01,0.02,0.02,0.02,0.02,0.02,0.12,2,2,2.01,2,2,12,0
ICS,@CL,15,170990,0.01,0.02,0.02,0.02,0.02,0.02,0.21,2,2,2.02,2,2,21,0
